VTBB,VTBB_CTR,,,,,,,,,,,,
BKK1,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,
0,0,600,,,,,,,,,,,
callsign,atype,adep,ades,ifl,rfl,cfl,squawk,spawntime,special,specialtime,route,,
AIQ470,A320,VTBD,ZSPD,F15,F360,F160,2000,0,0,0,DE21R INTOS BD207 DISCO TANGO NOBER LEDER NOHET,F360,LVL
AIQ3419,A225,VTBD,VTCC,F15,F360,F160,1123,120,0,0,DE21R INTOS BD207 DISCO TANGO DUKEN BORNO SANAL RINKA MARNI UPDOS CC101 CC102 CC103 PUKAT RIGTA VTCC,F360,LVL
AIQ562,A320,VTBD,ZUTF,F15,F360,F160,2146,240,0,0,DE21R INTOS BD207 DISCO TANGO NOBER YAKUA,F360,LVL
AIQ124,A320,VTBD,VEGT,F15,F360,F160,4775,360,0,0,VTBD DE21R INTOS TEMPO TARED BETNO,F360,LVL
AIQ120,A320,VTBD,VECC,F15,F360,F160,4036,480,0,0,DE21R INTOS TEMPO TARED BETNO,F360,LVL
AIQ123,A320,RCKH,VTBD,F370,F370,F370,7304,600,0,0,BUTRA BAMBO GRASO RAMEI UBLOD ENDUU BD115 OPERA DUDAT BD114 AROKA BD111 VTBD,F360,LVL
NOK958,B738,VTBD,VOHS,F15,F350,F160,3246,720,0,0,VTBD DE21R INTOS OBMAR PASTO TANEK,F360,LVL
AXM897,A320,VTBD,WMKK,F15,F370,F160,2274,840,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KIGOB PIDEL NOMEP RILVI TENUM PASVA,F360,LVL
IRM550,A320,VTBD,OIEE,F15,F370,F160,4251,960,0,0,VTBD DE21R INTOS TEMPO TARED BETNO,F360,LVL
CQH7420,A320,VTBD,ZGGG,F15,F360,F160,1161,1080,0,0,VTBD DE21R INTOS BD207 DISCO TANGO NOBER LEDER NOHET,F360,LVL
AIQ598,A320,VTBD,ZGSZ,F15,F390,F160,5601,1200,0,0,DE21R BD201 BD202 BD203 MATLO BD204 BD205 ROBKA SELKA TOPER SANOT GRASO GUROK OKENA ENBIL,F360,LVL
CES2082,A320,VTSP,ZLXY,F10,F330,F140,6102,1320,0,0,SP401 SP402 EMRIT OSPEX BITEN EMVEL AKVUG VEGNA NIXET NONEL EGUBO EMTIX HOTEL MOTNA NOBER YAKUA SAGAG,F330,LVL
CES2814,A320,VTSP,ZSNJ,F10,F350,F140,3706,1440,0,0,SP401 SP402 EMRIT OSPEX BITEN EMVEL AKVUG VEGNA NIXET NONEL EGUBO EMTIX HOTEL MOTNA ALBOS LEDER NOHET,F350,LVL
IGO1912,A320,VTSP,VABB,F10,F340,F140,2524,1560,0,0,SP501 UBNEN SAPAM MAPSO,F340,LVL
MYT317,A320,VTSP,VTBS,F10,F330,F140,1577,1680,0,0,SP401 SP402 EMRIT OSPEX EMVEL AKVUG NIXET NONEL OLSEL SURMA LEBIM INNDY SALSA LATIN BS503 EKCHO,F330,LVL
BKP298,AT75,VTSP,VTSS,F10,F210,F140,4410,1800,0,0,SP401 SP402 EPGOT PADPA,F210,LVL
THA226,A320,VTSP,VTBD,F10,F350,F140,6311,1920,0,0,SP601 SP604 IGEVI ANDAX NOMEK MENEX EGUBO EMTIX HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F350,LVL
AIQ3036,A320,VTSP,VTBD,F10,F350,F140,6016,2040,0,0,SP601 SP604 IGEVI ANDAX NOMEK MENEX EGUBO EMTIX HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F350,LVL
MYT415,A320,VTSP,VTCC,F10,F370,F140,2471,2160,0,0,SP601 P604 IGEVI ANDAX NOMEK MENEX EGUBO EMTIX HOTEL MOTNA TANGO DUKEN BORNO SANAL RINKA MARNI CC101 CC103 PUKAT RIGTA,F370,LVL
AIQ3002,A320,VTSP,VTBD,F10,F330,F140,2642,2280,0,0,SP601 SP604 IGEVI ANDAX NOMEK MENEX EGUBO EMTIX HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F330,LVL
NOK556,B738,VTBD,ZUCK,F15,F370,F160,1602,2400,0,0,DE21R INTOS BD207 DISCO TANGO NOBER YAKUA,F360,LVL
NOK506,B738,VTBD,VTCC,F15,F360,F160,3400,2520,0,0,DE21R INTOS BD207 DISCO TANGO DUKEN BORNO SANAL RINKA MARNI UPDOS CC101 CC102 CC103 PUKAT RIGTA VTCC,F360,LVL
TLM600,B738,VTBD,VTUD,F15,F340,F160,6712,2640,0,0,DE21R BD201 INTOS DISCO TANGO NOBER SURGU VEKVA EMTER OTLOR MUNUR,F360,LVL
NOK570,B738,VTBD,VTSB,F15,F350,F160,3660,2760,0,0,DE21R INTOS BD207 OBMAR BD206 POTEP TUPKA SABIS VANKO BUXEL MENEX IKERA GUPES GULNA,F360,LVL
AIQ359,A320,VTBD,WSSS,F15,F370,F160,3634,2880,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KIGOB PIDEL NOMEP RILVI TENUM PASVA,F360,LVL
AIQ396,A320,VTBD,WADD,F15,F370,F160,4911,3000,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KIGOB PIDEL DIPUN SIRAT TONIK TIDAR ODONO,F360,LVL
TLM702,B738,VTBD,VTSS,F15,F370,F160,6229,3120,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KASNI ASEKU NULBO MABKO VALSI ROBDA LOSDA OBLEX KASLA RISRO,F360,LVL
NOK320,B738,VTBD,VTUU,F15,F350,F160,1305,3240,0,0,DE21R BD201 BD202 BD203 MATLO BD204 BD205 ROBKA SELKA TOPER SANOT PASAT KATIB NANOI KANYA UBPNF,F360,LVL
AIQ508,A320,VTBD,VHHH,F15,F370,F160,3185,3360,0,0,DE21R BD201 BD202 BD203 MATLO BD204 BD205 ROBKA SELKA TOPER SANOT GRASO GUROK OKENA ENBIL VILAO,F360,LVL
AIQ3258,A320,VTBD,VTUK,F10,F350,F160,2417,3480,0,0,DE21L BD201 BD202 BD203 MATLO BD204 BD205 ROBKA SELKA SITTA EMRUT KASRA BOPLA,F350,LVL
AIQ3205,A320,VTBD,VTCT,F10,F340,F160,7361,3600,0,0,DE21L INTOS BD207 DISCO TANGO SEMBO PEBLI NIROP BENVI REDIP,F340,LVL
TLM720,B738,VTBD,VTSS,F10,F370,F160,6006,3720,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KASNI ASEKU NULBO MABKO VALSI ROBDA LOSDA OBLEX KASLA RISRO,F370,LVL
AMU935,B738,VTBD,VMMC,F10,F370,F160,6006,3840,0,0,DE21R BD201 BD202 BD203 MATLO BD204 BD205 ROBKA SELKA TOPER SANOT GRASO GUROK OKENA ENBIL,F370,LVL
AIQ3350,A320,VTBD,VTUU,F10,F330,F160,6006,3960,0,0,DE21R BD202 BD203 MATLO BD204 BD205 ROBKA SELKA TOPER SANOT PASAT KATIB NANOI KANYA UBPNF,F330,LVL
