VTBB,VTBB_CTR,,,,,,,,,,,,
BKK3,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,
0,0,600,,,,,,,,,,,
callsign,atype,adep,ades,ifl,rfl,cfl,squawk,spawntime,special,specialtime,route,,
THA2,A320,VTBS,VTUD,F10,F320,F130,4670,0,0,0,ROVEN BS901 BS902 MEZZO ROBKA SELKA SITTA EMRUT ALGIT ANPUS EMTER OTLOR MUNUR,F320,LVL
THA110,A320,VTBS,VTCC,F10,F360,F130,2532,30,0,0,ROVEN BS907 BS909 BS910 BS911 MEKET INTOS DISCO TANGO DUKEN BORNO SANAL RINKA MARNI UPDOS CC101 CC102 CC103 PUKAT RIGTA,F360,LVL
THA133,A320,VTCT,VTBS,F10,F390,F130,3014,0,0,0,NODOV NITED UDIBO BENVI NIROP PEBLI NORTA BS512 IRTIS BS508 BS506 BS504 BS502 WALTZ LETMA LAVOG LOTMU BS590,F390,LVL
THA407,A320,VTBS,WSSS,F10,F390,F130,3401,60,0,0,ROVEN BS903 SAMBA BS904 KIGOB PIDEL NOMEP ANBUX OSROG TIKAL PASVA,F390,LVL
THA922,B77W,VTBS,EDDF,F10,F450,F130,4723,90,0,0,ROVEN BS907 BS909 BS910 BS911 MEKET INTOS TEMPO TARED BETNO POXEM,F450,LVL
THA204,A320,VTSP,VTBS,F10,F320,F130,7302,0,0,0,SP401 SP402 EMRIT OSPEX EMVEL AKVUG NIXET NONEL OLSEL SURMA LEBIM INNDY SALSA LATIN BS503 EKCHO,F320,LVL
THA677,A359,RJAA,VTBS,F450,F450,F130,2406,0,0,0,PAPRA BUTRA BAMBO GRASO PAKRI RUKSA EASTE DUMIG SOVKI TERIB BS507 BS505 BS503 BS501 EKCHO LETMA LAVOG LOTMU BS590,F450,LVL
THA607,A320,VHHH,VTBS,F390,F390,F390,5617,30,0,0,PAPRA BUTRA BAMBO GRASO PAKRI RUKSA EASTE DUMIG SOVKI TERIB BS507 BS505 BS503 BS501 EKCHO LETMA LAVOG LOTMU BS590,F390,LVL
TLM105,B738,WSSS,VTBD,F390,F390,F390,2050,0,0,0,GUGIT ABTOK DUGON TONIK ALUMO ALEMI SEHNA BD120 BD119 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F390,LVL
TLM395,B738,RCTP,VTBD,F390,F390,F390,1211,0,0,0,PAPRA BUTRA BAMBO GRASO PAKRI RUKSA UBLOD ENDUU BD115 OPERA DUDAT BD114 AROKA BD111,F390,LVL
AIQ503,A320,VHHH,VTBD,F390,F390,F390,6145,0,0,0,PAPRA BUTRA BAMBO GRASO PAKRI RUKSA UBLOD ENDUU BD115 OPERA DUDAT BD114 AROKA BD111,F390,LVL
AIQ3420,A320,VTCC,VTBD,F10,F390,F390,5524,0,0,0,CC201 CC204 POVUT CC205 CC206 NUDMA PANTA KEXIL PAKMO NAKON DOGVA BD114 AROKA BD111,F390,LVL
TLM507,B738,VTCC,VTBD,F10,F390,F390,1641,0,0,0,CC201 CC204 POVUT CC205 CC206 NUDMA PANTA KEXIL PAKMO NAKON DOGVA BD114 AROKA BD111,F390,LVL
AIQ3036,A320,VTSP,VTBD,F10,F340,F130,2076,0,0,0,SP601 SP604 IGEVI ANDAX NOMEK MENEX EGUBO EMTIX HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F340,LVL
NOK5341,B738,VTSP,VTBD,F10,F380,F130,4350,0,0,0,SP601 SP604 IGEVI ANDAX NOMEK MENEX EGUBO EMTIX HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F380,LVL
TLM751,B738,VTSP,VTBD,F10,F320,F130,7025,0,0,0,SP601 SP604 IGEVI ANDAX NOMEK MENEX EGUBO EMTIX HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F320,LVL
AIQ3548,A320,VTBD,VTUL,F10,F340,F130,2423,0,0,0,DE21R INTOS BD207 DISCO TANGO NOBER DUBOL SUPVO TOMUG MAKEP UL007 UL006 UL005,F340,LVL
AIQ3543,A320,VTUL,VTBD,F10,F390,F130,5624,0,0,0,UGARI ELDUS KHOTO DUBOL NOBER NAKON DOGVA BD114 AROKA BD111,F390,LVL
TLM746,B738,VTSB,VTBD,F10,F320,F130,3546,0,0,0,UPDUL NIXET NONEL EGUBO EMTIX  HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F320,LVL
AIQ3238,A320,VTSB,VTBD,F10,F360,F130,3243,0,0,0,UPDUL NIXET NONEL EGUBO EMTIX  HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F360,LVL
NOK575,B738,VTSB,VTBD,F10,F320,F130,3667,0,0,0,UPDUL NIXET NONEL EGUBO EMTIX  HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F320,LVL
NOK208,B738,VTBD,VTPP,F10,F280,F130,4155,0,0,0,DE21R INTOS BD207 DISCO TANGO PEBLI NOGEM PUGAN,F280,LVL
AIQ3308,A320,VTBD,VTPP,F10,F290,F130,5217,0,0,0,DE21R INTOS BD207 DISCO TANGO PEBLI NOGEM PUGAN,F290,LVL
TLM556,B738,VTBD,VTPP,F10,F290,F130,2416,0,0,0,DE21R INTOS BD207 DISCO TANGO PEBLI NOGEM PUGAN,F290,LVL
TLM557,B738,VTPP,VTBD,F10,F390,F130,4025,0,0,0,PULUM PP322 PP323 PEBLI NAKON DOGVA BD114 AROKA BD111,F390,LVL
AIQ3309,A320,VTPP,VTBD,F10,F220,F130,3171,0,0,0,PULUM PP322 PP323 PEBLI NAKON DOGVA BD114 AROKA BD111,F220,LVL
NOK209,B738,VTPP,VTBD,F10,F220,F130,7150,0,0,0,PULUM PP322 PP323 PEBLI NAKON DOGVA BD114 AROKA BD111,F220,LVL
