VTBB,,
0,0,
VTBB_C_CTR,120.5,ACC
0,460,
162304N,0985447E,
161748N,1004455E,
161329N,1020259E,
160947N,1030000E,
141249N,1030000E,
141039N,1025631E,
140110N,1025449E,
135556N,1024741E,
134609N,1024358E,
134009N,1023347E,
133621N,1023736E,
133308N,1022038E,
131545N,1022147E,
130506N,1022618E,
125958N,1023155E,
125826N,1022908E,
124842N,1023241E,
124005N,1023057E,
123612N,1023835E,
122612N,1024733E,
121021N,1024256E,
114539N,1025444E,
113810N,1025510E,
113906N,1025459E,
100007N,1021447E,
100244N,1013740E,
104130N,1012501E,
110006N,1005948E,
112906N,0995948E,
113950N,0993525E,
114855N,0994007E,
115212N,0993549E,
115933N,0993545E,
120037N,0993310E,
120819N,0993450E,
120756N,0992847E,
121607N,0992928E,
122718N,0992455E,
123453N,0992638E,
124332N,0991454E,
125905N,0991152E,
130403N,0990636E,
131128N,0990806E,
131149N,0991235E,
131524N,0991301E,
134225N,0991043E,
135326N,0990657E,
135647N,0990143E,
140550N,0985748E,
141852N,0983637E,
143155N,0982959E,
144853N,0981522E,
150559N,0981131E,
151402N,0981235E,
151413N,0981608E,
151836N,0981815E,
151504N,0982442E,
152136N,0982545E,
152309N,0982944E,
151944N,0983343E,
152143N,0983501E,
154141N,0983335E,
155757N,0983705E,
160309N,0983340E,
160323N,0983730E,
160828N,0984126E,
160829N,0985049E,
162304N,0985447E,
