VTBB,,
0,1,
VTBB_N_CTR,124.55,ACC
130,460,
135505N,1003548E,
132947N,0991147E,
134225N,0991043E,
135326N,0990657E,
135647N,0990143E,
140550N,0985748E,
141852N,0983637E,
143155N,0982959E,
144853N,0981522E,
150559N,0981131E,
151402N,0981235E,
151413N,0981608E,
151836N,0981815E,
151504N,0982442E,
152136N,0982545E,
152309N,0982944E,
151944N,0983343E,
152143N,0983501E,
154141N,0983335E,
155757N,0983705E,
160309N,0983340E,
160323N,0983730E,
160828N,0984126E,
160829N,0985049E,
162351N,0985459E,
162556N,0984958E,
161604N,0984052E,
162759N,0983931E,
164331N,0982804E,
164835N,0983258E,
165006N,0982948E,
165120N,0983239E,
165640N,0983034E,
170256N,0982446E,
170334N,0981930E,
171327N,0981453E,
171715N,0980829E,
172210N,0980725E,
174259N,0974619E,
175201N,0974042E,
175816N,0974435E,
181359N,0973656E,
181715N,0973836E,
182013N,0973339E,
181609N,0973007E,
183402N,0972044E,
182930N,0973159E,
183336N,0973700E,
183445N,0974603E,
185142N,0974441E,
185643N,0974016E,
190556N,0974955E,
191241N,0975018E,
191617N,0974709E,
191744N,0975031E,
192357N,0974707E,
192956N,0975316E,
193425N,0975148E,
193925N,0980234E,
194830N,0980242E,
194612N,0981016E,
194042N,0981518E,
194257N,0983054E,
194023N,0983359E,
194841N,0985013E,
194440N,0985504E,
194630N,0990012E,
200533N,0990431E,
200737N,0991256E,
200350N,0991949E,
200841N,0993214E,
201209N,0993334E,
202324N,0992759E,
201855N,0994119E,
202008N,0994827E,
202631N,0995302E,
202747N,0995807E,
202230N,1000502E,
201510N,1000622E,
201414N,1001009E,
202330N,1001603E,
202227N,1002127E,
201139N,1002725E,
200824N,1003138E,
201007N,1003453E,
195422N,1003115E,
194538N,1002443E,
193122N,1003132E,
193006N,1003520E,
193329N,1003833E,
192924N,1004615E,
193752N,1005351E,
193413N,1011708E,
192131N,1011214E,
190741N,1011530E,
190248N,1012118E,
185337N,1011503E,
184358N,1011340E,
184115N,1011626E,
182648N,1010343E,
181958N,1011112E,
181536N,1010901E,
180356N,1011118E,
175322N,1010129E,
173419N,1005736E,
172800N,1010959E,
173857N,1011856E,
174050N,1012428E,
174358N,1012434E,
174331N,1012954E,
174701N,1013451E,
175158N,1013451E,
175505N,1014414E,
180350N,1014637E,
180156N,1015433E,
181311N,1020503E,
181235N,1020955E,
180411N,1021618E,
175842N,1022648E,
175742N,1023605E,
175045N,1023523E,
174817N,1024043E,
175217N,1024125E,
175814N,1025139E,
175905N,1030242E,
181432N,1030925E,
181837N,1031743E,
182151N,1031432E,
182608N,1031852E,
182614N,1033049E,
181718N,1035158E,
182004N,1035824E,
175222N,1041630E,
172400N,1044810E,
171035N,1044827E,
170101N,1044359E,
163111N,1044525E,
161457N,1050044E,
160703N,1050306E,
160012N,1052532E,
155514N,1052044E,
154802N,1052357E,
154306N,1053610E,
153928N,1053816E,
152510N,1053536E,
152041N,1052814E,
151847N,1053502E,
150643N,1052802E,
145828N,1053720E,
145632N,1053335E,
145246N,1053446E,
144803N,1053051E,
143310N,1053206E,
142510N,1052624E,
142001N,1051041E,
141327N,1050805E,
141251N,1050306E,
142222N,1045953E,
142603N,1044819E,
142516N,1043846E,
142058N,1043333E,
142402N,1041220E,
142105N,1041030E,
141936N,1035532E,
142239N,1034250E,
142622N,1033945E,
142348N,1033744E,
142510N,1033333E,
142144N,1032808E,
141946N,1031112E,
141249N,1030000E,
135505N,1003548E,
