VTBB,,
0,1,
VTBB_S_CTR,135.5,ACC
160,460,
135505N,1003548E,
141249N,1030000E,
141039N,1025631E,
140110N,1025449E,
135556N,1024741E,
134609N,1024358E,
134009N,1023347E,
133621N,1023736E,
133308N,1022038E,
131545N,1022147E,
130506N,1022618E,
125958N,1023155E,
125826N,1022908E,
124842N,1023241E,
124005N,1023057E,
123612N,1023835E,
122612N,1024733E,
121021N,1024256E,
114539N,1025444E,
113810N,1025510E,
113906N,1025459E,
100007N,1021447E,
070000N,1030000E,
064500N,1023959E,
061500N,1021500E,
061417N,1020619E,
054354N,1014933E,
054759N,1014511E,
054519N,1014140E,
055601N,1013502E,
054836N,1011612E,
054225N,1011529E,
053636N,1010818E,
054757N,1005903E,
055505N,1010154E,
055447N,1010506E,
055839N,1010715E,
060629N,1010733E,
060838N,1010341E,
061115N,1010726E,
061514N,1010629E,
061646N,1005828E,
061352N,1005102E,
062610N,1004901E,
063020N,1004401E,
062631N,1003906E,
063214N,1002151E,
064209N,1001719E,
064119N,1001016E,
063358N,1001101E,
062521N,1000716E,
062354N,1000224E,
063324N,0995251E,
062519N,0993433E,
062958N,0992959E,
071507N,0975949E,
100006N,0962950E,
100000N,0983448E,
095812N,0983544E,
102950N,0984906E,
104039N,0984646E,
104908N,0985518E,
104953N,0990006E,
105744N,0990123E,
105723N,0990515E,
110617N,0991407E,
113133N,0992825E,
113702N,0992843E,
113731N,0993414E,
114855N,0994007E,
115212N,0993549E,
115933N,0993545E,
120037N,0993310E,
120819N,0993450E,
120756N,0992847E,
121607N,0992928E,
122718N,0992455E,
123453N,0992638E,
124332N,0991454E,
125905N,0991152E,
130403N,0990636E,
131128N,0990806E,
131149N,0991235E,
131524N,0991301E,
132947N,0991147E,
135505N,1003548E,
