VTBB,,
1,0,
VDPP_CTR,127.5,ACC
130,460,
144109N,1073240E,
143703N,1073324E,
142437N,1072936E,
142455N,1072659E,
141904N,1072342E,
141407N,1072426E,
140639N,1072021E,
140453N,1072226E,
140040N,1072203E,
135845N,1072728E,
134717N,1072721E,
134412N,1073209E,
133057N,1073706E,
132126N,1073734E,
125712N,1072921E,
124719N,1073352E,
123514N,1073519E,
122043N,1073245E,
121443N,1072601E,
121931N,1072101E,
121616N,1070926E,
120521N,1065957E,
120335N,1065507E,
120430N,1064740E,
115806N,1064319E,
115820N,1062504E,
115202N,1062802E,
114606N,1062507E,
114002N,1062655E,
114158N,1062315E,
114020N,1061823E,
114511N,1061133E,
114630N,1060212E,
113830N,1055731E,
113928N,1055102E,
113553N,1054840E,
113204N,1055257E,
111738N,1055217E,
110415N,1060634E,
110554N,1060857E,
110436N,1061036E,
105840N,1061225E,
105833N,1060859E,
105443N,1060845E,
104723N,1061132E,
104844N,1060422E,
105410N,1055715E,
105014N,1055601E,
105134N,1055136E,
105421N,1055149E,
110135N,1054639E,
105700N,1053241E,
105759N,1052546E,
105058N,1052124E,
105500N,1050643E,
105721N,1050635E,
105245N,1050203E,
104239N,1050535E,
103742N,1045701E,
103130N,1045233E,
103147N,1043534E,
102435N,1043009E,
102941N,1042113E,
102841N,1041728E,
103412N,1041452E,
103223N,1041057E,
103527N,1041020E,
103253N,1040300E,
103915N,1035122E,
103221N,1034945E,
102200N,1034359E,
100000N,1032659E,
094005N,1031159E,
091959N,1025400E,
090000N,1023959E,
070000N,1030000E,
100007N,1021447E,
113806N,1025459E,
113810N,1025510E,
114539N,1025444E,
114943N,1025111E,
121021N,1024256E,
122207N,1024440E,
122612N,1024733E,
123612N,1023835E,
124004N,1023057E,
124842N,1023241E,
125101N,1023013E,
125826N,1022908E,
125958N,1023155E,
131018N,1022341E,
131752N,1022105E,
133004N,1022156E,
133235N,1022023E,
133429N,1022216E,
133344N,1023158E,
133621N,1023736E,
134009N,1023347E,
134609N,1024358E,
135556N,1024741E,
140110N,1025449E,
141039N,1025631E,
141628N,1030350E,
142308N,1032610E,
142144N,1032808E,
142510N,1033333E,
142348N,1033744E,
142622N,1033945E,
142545N,1034222E,
142239N,1034250E,
141936N,1035532E,
142212N,1040644E,
142105N,1041030E,
142402N,1041220E,
142204N,1041416E,
142337N,1041704E,
142058N,1043333E,
142516N,1043845E,
142335N,1044059E,
142603N,1044819E,
142222N,1045953E,
141251N,1050306E,
141327N,1050805E,
142027N,1051227E,
141609N,1051241E,
140607N,1052200E,
140608N,1052730E,
140923N,1053349E,
140556N,1053838E,
140501N,1054727E,
140115N,1054754E,
135600N,1055416E,
135436N,1060610E,
135903N,1060618E,
140346N,1061049E,
141355N,1060206E,
142141N,1060009E,
142048N,1061133E,
142854N,1061518E,
142613N,1061919E,
142653N,1062456E,
143047N,1062608E,
143034N,1062852E,
143248N,1062749E,
143515N,1063157E,
142955N,1063401E,
142923N,1063654E,
142618N,1063801E,
142541N,1064408E,
141713N,1065047E,
141947N,1065417E,
141828N,1065804E,
142623N,1070230E,
142320N,1070530E,
142456N,1071025E,
142849N,1071238E,
142907N,1071537E,
143459N,1071816E,
143124N,1072658E,
143631N,1072757E,
144109N,1073240E,
