VTBB,,
0,0,
VLVT_CTR,124.1,ACC
130,460,
185419N,1043511E,
184822N,1044443E,
184256N,1050816E,
183857N,1051203E,
182656N,1050631E,
182254N,1051209E,
181926N,1051132E,
181538N,1051950E,
180940N,1052208E,
181308N,1052650E,
181145N,1053013E,
175932N,1053842E,
175312N,1053704E,
174014N,1054532E,
173729N,1055205E,
171645N,1061133E,
171447N,1061502E,
171735N,1061822E,
165946N,1062621E,
165936N,1063312E,
164116N,1063327E,
163456N,1064004E,
162706N,1064043E,
162527N,1064558E,
163245N,1065050E,
161820N,1065817E,
161710N,1070747E,
161107N,1070835E,
160258N,1072027E,
160411N,1072745E,
155412N,1072450E,
155003N,1071346E,
154430N,1071304E,
152945N,1072337E,
152858N,1073124E,
152428N,1073143E,
152352N,1073556E,
151535N,1074148E,
150238N,1073705E,
150023N,1072817E,
145206N,1073605E,
144732N,1073053E,
144201N,1073301E,
143140N,1072710E,
143459N,1071816E,
142456N,1071025E,
142320N,1070530E,
142623N,1070230E,
141841N,1065822E,
141947N,1065417E,
141707N,1065117E,
142541N,1064408E,
142955N,1063401E,
143515N,1063157E,
142653N,1062456E,
142854N,1061518E,
142136N,1061315E,
142128N,1060001E,
141355N,1060206E,
140346N,1061049E,
135436N,1060610E,
135600N,1055416E,
140501N,1054727E,
140923N,1053349E,
140607N,1052200E,
141609N,1051241E,
142009N,1051247E,
142510N,1052624E,
143310N,1053206E,
144804N,1053051E,
145246N,1053446E,
145632N,1053335E,
145828N,1053720E,
150643N,1052802E,
151847N,1053502E,
152041N,1052814E,
152510N,1053536E,
153928N,1053816E,
154306N,1053610E,
154802N,1052357E,
155514N,1052044E,
160012N,1052532E,
160703N,1050306E,
161457N,1050044E,
163111N,1044525E,
170101N,1044359E,
171035N,1044827E,
172400N,1044810E,
175222N,1041630E,
181927N,1035914E,
181718N,1035158E,
182614N,1033049E,
182608N,1031852E,
182151N,1031432E,
181837N,1031743E,
181432N,1030925E,
175905N,1030242E,
175814N,1025139E,
175217N,1024125E,
174817N,1024043E,
175045N,1023523E,
175742N,1023605E,
175842N,1022648E,
180411N,1021618E,
181235N,1020955E,
181311N,1020503E,
180156N,1015433E,
180350N,1014637E,
175505N,1014414E,
175158N,1013451E,
174701N,1013451E,
174331N,1012954E,
174358N,1012434E,
174050N,1012428E,
173857N,1011856E,
172800N,1010959E,
173419N,1005736E,
175322N,1010129E,
180455N,1011033E,
181230N,1011134E,
181536N,1010901E,
181958N,1011112E,
182543N,1010328E,
184115N,1011626E,
184358N,1011340E,
185337N,1011503E,
190248N,1012118E,
190741N,1011530E,
192131N,1011214E,
193413N,1011708E,
193752N,1005351E,
192924N,1004615E,
193324N,1003907E,
193006N,1003520E,
193142N,1003056E,
194538N,1002443E,
195422N,1003115E,
201007N,1003453E,
200824N,1003138E,
201139N,1002725E,
202334N,1001942E,
202321N,1001551E,
201414N,1001009E,
201530N,1000605E,
202120N,1000535E,
204448N,1001534E,
204925N,1002207E,
204839N,1003137E,
205231N,1003850E,
205352N,1003056E,
210133N,1003301E,
210738N,1004030E,
211843N,1004337E,
211741N,1004946E,
212331N,1010019E,
213140N,1011005E,
213349N,1010917E,
213316N,1011305E,
212442N,1011151E,
212226N,1011606E,
211844N,1011351E,
211043N,1011706E,
211454N,1013348E,
211032N,1013619E,
211155N,1014028E,
210824N,1014716E,
211211N,1014656E,
211507N,1015049E,
211853N,1014425E,
213438N,1014544E,
213610N,1014936E,
214325N,1014509E,
214957N,1014653E,
215638N,1014218E,
215809N,1013724E,
221453N,1013249E,
221647N,1013742E,
222655N,1014030E,
223000N,1014448E,
222251N,1015318E,
222611N,1015529E,
222606N,1020734E,
221437N,1021437E,
215504N,1023648E,
213933N,1024037E,
214301N,1024837E,
215048N,1025037E,
214300N,1025142E,
214124N,1025909E,
213516N,1025937E,
212547N,1025227E,
212725N,1025634E,
211815N,1025406E,
211545N,1024834E,
211355N,1025430E,
210429N,1025805E,
210335N,1030207E,
205103N,1031033E,
204706N,1032410E,
204938N,1032813E,
204519N,1033054E,
203953N,1034156E,
204518N,1034746E,
205125N,1034835E,
205427N,1040157E,
205854N,1040723E,
205447N,1041821E,
204255N,1043008E,
204004N,1043836E,
203116N,1043256E,
203150N,1042750E,
202640N,1042242E,
202521N,1043712E,
201924N,1044303E,
201248N,1044037E,
201347N,1045022E,
201035N,1045657E,
200000N,1045839E,
195953N,1045350E,
195501N,1044758E,
195249N,1044631E,
195134N,1045021E,
194806N,1045022E,
194437N,1044209E,
193727N,1043903E,
193734N,1043049E,
194235N,1042511E,
193953N,1040642E,
194210N,1040243E,
193014N,1040734E,
192524N,1040444E,
191843N,1035234E,
191151N,1041115E,
190710N,1041325E,
185849N,1043232E,
185419N,1043511E,
