VTBB,,
0,0,
VTBB_1N_CTR,124.5,ACC
130,460,
173315N,1005942E,
170000N,1004517E,
165942N,1004527E,
165914N,1004541E,
165846N,1004555E,
165818N,1004608E,
165749N,1004620E,
165720N,1004632E,
165651N,1004644E,
165622N,1004655E,
165553N,1004706E,
165524N,1004716E,
165454N,1004725E,
165424N,1004734E,
165354N,1004743E,
165324N,1004751E,
165254N,1004758E,
165224N,1004805E,
165153N,1004811E,
165123N,1004817E,
165052N,1004822E,
165021N,1004827E,
164951N,1004831E,
164920N,1004834E,
164849N,1004837E,
164818N,1004840E,
164747N,1004842E,
164716N,1004843E,
164645N,1004844E,
164614N,1004844E,
164543N,1004844E,
164512N,1004843E,
164441N,1004842E,
164410N,1004840E,
164339N,1004837E,
164308N,1004834E,
164237N,1004831E,
164206N,1004826E,
164136N,1004822E,
164105N,1004816E,
164035N,1004811E,
164004N,1004804E,
163934N,1004757E,
163904N,1004750E,
163834N,1004742E,
163804N,1004734E,
163734N,1004725E,
163704N,1004715E,
163635N,1004705E,
163606N,1004654E,
163536N,1004643E,
163507N,1004632E,
163439N,1004620E,
163410N,1004607E,
163342N,1004554E,
163314N,1004540E,
163246N,1004526E,
163218N,1004511E,
163202N,1004502E,
161748N,1004455E,
162304N,0985447E,
162351N,0985459E,
162556N,0984958E,
161604N,0984052E,
162759N,0983931E,
164331N,0982804E,
164835N,0983258E,
165006N,0982948E,
165120N,0983239E,
165640N,0983034E,
170256N,0982446E,
170334N,0981930E,
171327N,0981453E,
171715N,0980829E,
172210N,0980725E,
174259N,0974619E,
175201N,0974042E,
175816N,0974435E,
181359N,0973656E,
181715N,0973836E,
182013N,0973339E,
181609N,0973007E,
183402N,0972044E,
182930N,0973159E,
183336N,0973700E,
183445N,0974603E,
185142N,0974441E,
185643N,0974016E,
190556N,0974955E,
191241N,0975018E,
191617N,0974709E,
191744N,0975031E,
192357N,0974707E,
192956N,0975316E,
193425N,0975148E,
193925N,0980234E,
194830N,0980242E,
194612N,0981016E,
194042N,0981518E,
194257N,0983054E,
194023N,0983359E,
194841N,0985013E,
194440N,0985504E,
194630N,0990012E,
200533N,0990431E,
200737N,0991256E,
200350N,0991949E,
200841N,0993214E,
201209N,0993334E,
202324N,0992759E,
201855N,0994119E,
202008N,0994827E,
202631N,0995302E,
202747N,0995807E,
202230N,1000502E,
201510N,1000622E,
201414N,1001009E,
202330N,1001603E,
202227N,1002127E,
201139N,1002725E,
200824N,1003138E,
201007N,1003453E,
195422N,1003115E,
194538N,1002443E,
193122N,1003132E,
193006N,1003520E,
193329N,1003833E,
192924N,1004615E,
193752N,1005351E,
193413N,1011708E,
192131N,1011214E,
190741N,1011530E,
190248N,1012118E,
185337N,1011503E,
184358N,1011340E,
184115N,1011626E,
182648N,1010343E,
181958N,1011112E,
181536N,1010901E,
180356N,1011118E,
175322N,1010129E,
173419N,1005736E,
173315N,1005942E,
