VTBB,,
0,1,
VTBB_6S_CTR,123.95,ACC
130,460,
100007N,1021447E,
070000N,1030000E,
064500N,1023959E,
061500N,1021500E,
061417N,1020619E,
054354N,1014933E,
054759N,1014511E,
054519N,1014140E,
055601N,1013502E,
054836N,1011612E,
054225N,1011529E,
053636N,1010818E,
054757N,1005903E,
055505N,1010154E,
055447N,1010506E,
055839N,1010715E,
060629N,1010733E,
060838N,1010341E,
061115N,1010726E,
061514N,1010629E,
061646N,1005828E,
061352N,1005102E,
062610N,1004901E,
063020N,1004401E,
062631N,1003906E,
063214N,1002151E,
064209N,1001719E,
064119N,1001016E,
063859N,1001031E,
064716N,1000000E,
090239N,1000012E,
112906N,0995948E,
110006N,1005948E,
104130N,1012501E,
100244N,1013740E,
100007N,1021447E,
