VTBB,,
1,0,
VTBB_APP,125.2,APP
0,140,
143415N,1000532E,
143445N,1000615E,
143515N,1000659E,
143543N,1000743E,
143611N,1000828E,
143638N,1000914E,
143705N,1000959E,
143730N,1001046E,
143755N,1001133E,
143819N,1001220E,
143842N,1001307E,
143905N,1001355E,
143926N,1001444E,
143947N,1001532E,
144007N,1001622E,
144026N,1001711E,
144045N,1001801E,
144102N,1001851E,
144119N,1001941E,
144135N,1002032E,
144149N,1002123E,
144204N,1002214E,
144217N,1002306E,
144229N,1002358E,
144241N,1002450E,
144251N,1002542E,
144301N,1002634E,
144310N,1002727E,
144318N,1002819E,
144325N,1002912E,
144331N,1003005E,
144336N,1003058E,
144341N,1003151E,
144344N,1003244E,
144347N,1003337E,
144348N,1003431E,
144349N,1003524E,
144349N,1003617E,
144348N,1003710E,
144346N,1003804E,
144343N,1003857E,
144340N,1003950E,
144335N,1004043E,
144330N,1004136E,
144324N,1004229E,
144316N,1004322E,
144308N,1004414E,
144259N,1004507E,
144249N,1004559E,
144239N,1004651E,
144227N,1004743E,
144215N,1004835E,
144201N,1004926E,
144147N,1005017E,
144132N,1005108E,
144116N,1005159E,
144059N,1005249E,
144042N,1005339E,
144023N,1005429E,
144004N,1005519E,
143944N,1005608E,
143923N,1005656E,
143901N,1005745E,
143838N,1005833E,
143815N,1005920E,
143751N,1010007E,
143726N,1010054E,
143700N,1010140E,
143634N,1010226E,
143606N,1010311E,
143538N,1010356E,
143509N,1010440E,
143440N,1010524E,
143410N,1010607E,
143339N,1010650E,
143307N,1010732E,
143235N,1010813E,
143202N,1010854E,
143128N,1010935E,
143054N,1011014E,
143019N,1011053E,
142943N,1011132E,
142907N,1011210E,
142830N,1011247E,
142752N,1011324E,
142714N,1011359E,
142635N,1011435E,
142556N,1011509E,
142516N,1011543E,
142435N,1011616E,
142354N,1011648E,
142312N,1011720E,
142230N,1011751E,
142148N,1011821E,
142104N,1011850E,
142021N,1011919E,
141937N,1011947E,
141852N,1012014E,
141807N,1012040E,
141722N,1012105E,
141636N,1012130E,
141549N,1012154E,
141503N,1012217E,
141416N,1012239E,
141328N,1012300E,
141241N,1012321E,
141152N,1012341E,
141104N,1012359E,
141015N,1012417E,
140926N,1012434E,
140837N,1012451E,
140747N,1012506E,
140658N,1012520E,
140607N,1012534E,
140517N,1012547E,
140427N,1012559E,
140336N,1012609E,
140245N,1012619E,
140154N,1012629E,
140103N,1012637E,
140012N,1012644E,
135920N,1012651E,
135829N,1012656E,
135737N,1012701E,
135646N,1012704E,
135554N,1012707E,
135502N,1012709E,
135410N,1012710E,
135318N,1012710E,
135227N,1012709E,
135135N,1012707E,
135043N,1012705E,
134952N,1012701E,
134900N,1012657E,
134808N,1012651E,
134717N,1012645E,
134626N,1012638E,
134535N,1012630E,
134444N,1012621E,
134353N,1012611E,
134302N,1012600E,
134212N,1012548E,
134122N,1012536E,
134032N,1012522E,
133942N,1012508E,
133853N,1012453E,
133803N,1012437E,
133714N,1012420E,
133626N,1012402E,
133537N,1012344E,
133449N,1012324E,
133402N,1012304E,
133314N,1012243E,
133227N,1012221E,
133141N,1012158E,
133054N,1012135E,
133009N,1012111E,
132923N,1012045E,
132838N,1012020E,
132754N,1011953E,
132710N,1011925E,
132626N,1011857E,
132543N,1011828E,
132500N,1011758E,
132418N,1011728E,
132336N,1011657E,
132255N,1011625E,
132215N,1011552E,
132135N,1011519E,
132055N,1011445E,
132016N,1011410E,
131938N,1011335E,
131900N,1011259E,
131823N,1011222E,
131747N,1011144E,
131711N,1011107E,
131636N,1011028E,
131601N,1010949E,
131527N,1010909E,
131454N,1010829E,
131422N,1010748E,
131350N,1010706E,
131319N,1010624E,
131248N,1010541E,
131219N,1010458E,
131150N,1010415E,
131121N,1010331E,
131054N,1010246E,
131027N,1010201E,
131001N,1010115E,
130936N,1010029E,
130911N,1005943E,
130848N,1005856E,
130825N,1005809E,
130803N,1005721E,
130742N,1005634E,
130721N,1005546E,
130702N,1005458E,
130643N,1005409E,
130625N,1005320E,
130608N,1005231E,
130552N,1005141E,
130536N,1005051E,
130522N,1005001E,
130508N,1004911E,
130455N,1004820E,
130443N,1004729E,
130432N,1004638E,
130421N,1004547E,
130412N,1004456E,
130403N,1004404E,
130355N,1004313E,
130348N,1004221E,
130342N,1004129E,
130337N,1004037E,
130332N,1003945E,
130329N,1003853E,
130326N,1003801E,
130324N,1003708E,
130323N,1003616E,
130323N,1003524E,
130324N,1003432E,
130326N,1003339E,
130328N,1003247E,
130332N,1003155E,
130336N,1003103E,
130341N,1003011E,
130347N,1002919E,
130354N,1002827E,
130402N,1002736E,
130410N,1002644E,
130420N,1002553E,
130430N,1002501E,
130430N,1002501E,
130441N,1002410E,
130453N,1002319E,
130506N,1002228E,
130520N,1002137E,
130535N,1002046E,
130550N,1001956E,
130606N,1001906E,
130624N,1001816E,
130642N,1001727E,
130700N,1001638E,
130720N,1001549E,
130740N,1001501E,
130802N,1001413E,
130824N,1001325E,
130847N,1001238E,
130910N,1001151E,
130935N,1001104E,
131000N,1001018E,
131026N,1000933E,
131053N,1000847E,
131120N,1000803E,
131148N,1000719E,
131217N,1000635E,
131247N,1000552E,
131318N,1000509E,
131349N,1000427E,
131421N,1000345E,
131453N,1000304E,
131526N,1000224E,
131600N,1000144E,
131635N,1000105E,
131710N,1000026E,
131746N,0995948E,
131822N,0995911E,
131859N,0995834E,
131937N,0995758E,
132015N,0995723E,
132054N,0995648E,
132134N,0995614E,
132214N,0995540E,
132254N,0995508E,
132335N,0995436E,
132417N,0995404E,
132459N,0995334E,
132542N,0995304E,
132625N,0995235E,
132709N,0995207E,
132753N,0995139E,
132837N,0995113E,
132922N,0995047E,
133008N,0995022E,
133054N,0994957E,
133140N,0994934E,
133227N,0994911E,
133314N,0994849E,
133401N,0994828E,
133449N,0994808E,
133537N,0994748E,
133537N,0994748E,
133625N,0994729E,
133714N,0994712E,
133803N,0994655E,
133853N,0994639E,
133943N,0994623E,
134033N,0994609E,
134123N,0994556E,
134213N,0994543E,
134304N,0994531E,
134355N,0994521E,
134446N,0994511E,
134537N,0994502E,
134628N,0994454E,
134719N,0994446E,
134811N,0994440E,
134903N,0994435E,
134954N,0994430E,
135046N,0994427E,
135138N,0994424E,
135230N,0994422E,
135322N,0994422E,
135414N,0994422E,
135505N,0994423E,
135557N,0994425E,
135649N,0994427E,
135741N,0994431E,
135833N,0994436E,
135924N,0994442E,
140016N,0994448E,
140107N,0994455E,
140158N,0994504E,
140249N,0994513E,
140340N,0994523E,
140431N,0994534E,
140522N,0994546E,
140612N,0994559E,
140702N,0994612E,
140752N,0994627E,
140842N,0994642E,
140931N,0994659E,
141020N,0994716E,
141109N,0994734E,
141158N,0994753E,
141246N,0994813E,
141334N,0994833E,
141421N,0994855E,
141508N,0994917E,
141555N,0994940E,
141641N,0995004E,
141727N,0995029E,
141813N,0995055E,
141858N,0995121E,
141942N,0995148E,
142026N,0995216E,
142110N,0995245E,
142153N,0995315E,
142236N,0995345E,
142318N,0995416E,
142400N,0995448E,
142441N,0995520E,
142521N,0995553E,
142601N,0995627E,
142641N,0995702E,
142719N,0995737E,
142758N,0995813E,
142835N,0995850E,
142912N,0995928E,
142949N,1000006E,
143024N,1000044E,
143059N,1000124E,
143134N,1000204E,
143207N,1000244E,
143240N,1000325E,
143313N,1000407E,
143344N,1000449E,
143415N,1000532E,
