VTBB,,
0,0,
VTBU_APP,119.7,APP
0,160,
131219N,1010458E,
131248N,1010541E,
131319N,1010624E,
131350N,1010706E,
131422N,1010748E,
131454N,1010829E,
131527N,1010909E,
131601N,1010949E,
131636N,1011028E,
131711N,1011107E,
131747N,1011144E,
131823N,1011222E,
131900N,1011259E,
131938N,1011335E,
132016N,1011410E,
132055N,1011445E,
132135N,1011519E,
132215N,1011552E,
132255N,1011625E,
132336N,1011657E,
132418N,1011728E,
132500N,1011758E,
132543N,1011828E,
132626N,1011857E,
132710N,1011925E,
132719N,1011931E,
132719N,1011932E,
132658N,1012022E,
132637N,1012111E,
132616N,1012159E,
132553N,1012248E,
132529N,1012336E,
132505N,1012423E,
132440N,1012510E,
132414N,1012557E,
132347N,1012643E,
132320N,1012729E,
132252N,1012814E,
132223N,1012858E,
132153N,1012942E,
132122N,1013026E,
132051N,1013109E,
132019N,1013151E,
131946N,1013233E,
131913N,1013314E,
131839N,1013355E,
131804N,1013435E,
131728N,1013514E,
131652N,1013553E,
131615N,1013631E,
131538N,1013709E,
131500N,1013746E,
131421N,1013822E,
131342N,1013857E,
131302N,1013932E,
131221N,1014006E,
131140N,1014039E,
131058N,1014111E,
131016N,1014143E,
130933N,1014214E,
130850N,1014244E,
130806N,1014314E,
130722N,1014343E,
130637N,1014410E,
130552N,1014438E,
130506N,1014504E,
130420N,1014529E,
130334N,1014554E,
130247N,1014618E,
130159N,1014641E,
130112N,1014703E,
130024N,1014724E,
125935N,1014744E,
125846N,1014804E,
125757N,1014823E,
125708N,1014840E,
125618N,1014857E,
125528N,1014913E,
125438N,1014928E,
125347N,1014943E,
125256N,1014956E,
125205N,1015008E,
125114N,1015020E,
125023N,1015030E,
124931N,1015040E,
124839N,1015049E,
124747N,1015057E,
124655N,1015104E,
124603N,1015110E,
124511N,1015115E,
124419N,1015119E,
124326N,1015122E,
124234N,1015124E,
124142N,1015126E,
124049N,1015126E,
123957N,1015126E,
123904N,1015124E,
123812N,1015122E,
123720N,1015119E,
123627N,1015114E,
123535N,1015109E,
123443N,1015103E,
123351N,1015056E,
123259N,1015048E,
123207N,1015040E,
123116N,1015030E,
123024N,1015019E,
122933N,1015008E,
122842N,1014955E,
122751N,1014942E,
122701N,1014928E,
122611N,1014912E,
122521N,1014856E,
122431N,1014839E,
122341N,1014822E,
122252N,1014803E,
122203N,1014744E,
122115N,1014723E,
122027N,1014702E,
121939N,1014640E,
121852N,1014617E,
121805N,1014553E,
121718N,1014529E,
121632N,1014503E,
121546N,1014437E,
121501N,1014410E,
121416N,1014342E,
121332N,1014314E,
121248N,1014244E,
121205N,1014214E,
121122N,1014143E,
121040N,1014112E,
120959N,1014039E,
120917N,1014006E,
120837N,1013932E,
120757N,1013858E,
120718N,1013823E,
120639N,1013747E,
120601N,1013710E,
120523N,1013633E,
120446N,1013555E,
120410N,1013516E,
120335N,1013437E,
120300N,1013357E,
120226N,1013317E,
120152N,1013236E,
120119N,1013154E,
120047N,1013112E,
120016N,1013029E,
115945N,1012946E,
115915N,1012902E,
115846N,1012818E,
115818N,1012733E,
115750N,1012648E,
115724N,1012602E,
115658N,1012516E,
115632N,1012429E,
115608N,1012342E,
115544N,1012254E,
115522N,1012207E,
115500N,1012118E,
115438N,1012029E,
115418N,1011940E,
115359N,1011851E,
115340N,1011801E,
115322N,1011711E,
115305N,1011621E,
115249N,1011530E,
115234N,1011439E,
115220N,1011348E,
115207N,1011256E,
115154N,1011204E,
115142N,1011113E,
115132N,1011020E,
115122N,1010928E,
115113N,1010836E,
115105N,1010743E,
115058N,1010650E,
115051N,1010557E,
115046N,1010504E,
115041N,1010411E,
115038N,1010318E,
115035N,1010225E,
115034N,1010132E,
115033N,1010039E,
115033N,1005945E,
115034N,1005852E,
115036N,1005759E,
115039N,1005706E,
115042N,1005613E,
115047N,1005520E,
115052N,1005427E,
115059N,1005334E,
115106N,1005241E,
115114N,1005149E,
115124N,1005056E,
115134N,1005004E,
115145N,1004912E,
115156N,1004820E,
115209N,1004728E,
115223N,1004637E,
115237N,1004546E,
115252N,1004455E,
115309N,1004404E,
115326N,1004314E,
115344N,1004224E,
115402N,1004134E,
115422N,1004044E,
115443N,1003955E,
115504N,1003907E,
115526N,1003818E,
115549N,1003731E,
115613N,1003643E,
115637N,1003556E,
115703N,1003509E,
115729N,1003423E,
115756N,1003338E,
115823N,1003252E,
115852N,1003208E,
115921N,1003123E,
115951N,1003040E,
120022N,1002957E,
120053N,1002914E,
120126N,1002832E,
120159N,1002750E,
120232N,1002710E,
120306N,1002629E,
120341N,1002550E,
120417N,1002510E,
120453N,1002432E,
120530N,1002354E,
120608N,1002317E,
120646N,1002241E,
120725N,1002205E,
120805N,1002130E,
120845N,1002055E,
120925N,1002022E,
121007N,1001949E,
121048N,1001917E,
121131N,1001845E,
121214N,1001814E,
121257N,1001744E,
121341N,1001715E,
121425N,1001647E,
121510N,1001619E,
121555N,1001552E,
121641N,1001526E,
121727N,1001501E,
121814N,1001437E,
121901N,1001413E,
121948N,1001350E,
122036N,1001328E,
122124N,1001307E,
122213N,1001247E,
122302N,1001228E,
122351N,1001209E,
122441N,1001152E,
122530N,1001135E,
122620N,1001119E,
122711N,1001104E,
122801N,1001050E,
122852N,1001037E,
122943N,1001024E,
123023N,1001016E,
123039N,1001025E,
123105N,1001039E,
123132N,1001053E,
