VTBB,,
0,0,
VTCC_APP,125.2,APP
0,160,
185332N,0983232E,
185400N,0983242E,
185427N,0983252E,
185454N,0983302E,
185521N,0983313E,
185547N,0983325E,
185614N,0983337E,
185640N,0983349E,
185706N,0983402E,
185732N,0983416E,
185757N,0983430E,
185822N,0983445E,
185847N,0983500E,
185912N,0983516E,
185936N,0983532E,
190000N,0983549E,
190024N,0983606E,
190047N,0983623E,
190110N,0983642E,
190133N,0983700E,
190155N,0983719E,
190217N,0983738E,
190239N,0983758E,
190300N,0983819E,
190321N,0983839E,
190342N,0983901E,
190402N,0983922E,
190422N,0983944E,
190441N,0984007E,
190500N,0984029E,
190519N,0984052E,
190537N,0984116E,
190555N,0984140E,
190612N,0984204E,
190629N,0984229E,
190645N,0984254E,
190701N,0984319E,
190716N,0984344E,
190731N,0984410E,
190746N,0984436E,
190800N,0984503E,
190813N,0984529E,
190826N,0984556E,
190839N,0984624E,
190851N,0984651E,
190903N,0984719E,
190914N,0984747E,
190924N,0984815E,
190934N,0984843E,
190944N,0984912E,
190953N,0984941E,
191001N,0985010E,
191009N,0985039E,
191017N,0985108E,
191023N,0985138E,
191030N,0985207E,
191035N,0985237E,
191041N,0985307E,
191045N,0985336E,
191050N,0985406E,
191053N,0985436E,
191056N,0985507E,
191059N,0985537E,
191101N,0985607E,
191102N,0985637E,
191103N,0985708E,
191103N,0985738E,
191103N,0985808E,
191102N,0985838E,
191101N,0985909E,
191059N,0985939E,
191057N,0990009E,
191054N,0990039E,
191050N,0990109E,
191046N,0990139E,
191041N,0990209E,
191036N,0990239E,
191031N,0990309E,
191024N,0990338E,
191017N,0990408E,
191010N,0990437E,
191002N,0990506E,
190954N,0990535E,
190945N,0990604E,
190936N,0990632E,
190926N,0990701E,
190915N,0990729E,
190904N,0990757E,
190853N,0990825E,
190841N,0990852E,
190828N,0990920E,
190815N,0990947E,
190802N,0991013E,
190748N,0991040E,
190733N,0991106E,
190718N,0991132E,
190703N,0991157E,
190647N,0991223E,
190631N,0991248E,
190614N,0991312E,
190557N,0991337E,
190539N,0991401E,
190521N,0991424E,
190503N,0991447E,
190444N,0991510E,
190425N,0991533E,
190405N,0991555E,
190345N,0991616E,
190324N,0991637E,
190303N,0991658E,
190242N,0991719E,
190220N,0991739E,
190158N,0991758E,
190136N,0991817E,
190113N,0991836E,
190050N,0991854E,
190027N,0991912E,
190003N,0991929E,
185939N,0991945E,
185915N,0992002E,
185850N,0992017E,
185826N,0992033E,
185800N,0992047E,
185735N,0992102E,
185709N,0992115E,
185644N,0992129E,
185617N,0992141E,
185551N,0992153E,
185524N,0992205E,
185458N,0992216E,
185431N,0992227E,
185404N,0992237E,
185336N,0992246E,
185309N,0992255E,
185241N,0992303E,
185213N,0992311E,
185145N,0992318E,
185117N,0992325E,
185049N,0992331E,
185021N,0992337E,
184952N,0992342E,
184924N,0992346E,
184855N,0992350E,
184840N,0993737E,
184800N,0993740E,
184721N,0993741E,
184641N,0993742E,
184601N,0993743E,
184521N,0993742E,
184442N,0993741E,
184402N,0993739E,
184322N,0993737E,
184243N,0993734E,
184203N,0993730E,
184123N,0993725E,
184044N,0993719E,
184005N,0993713E,
183925N,0993706E,
183846N,0993659E,
183807N,0993651E,
183728N,0993642E,
183650N,0993632E,
183611N,0993621E,
183533N,0993610E,
183455N,0993559E,
183417N,0993546E,
183339N,0993533E,
183302N,0993519E,
183224N,0993504E,
183147N,0993449E,
183111N,0993433E,
183034N,0993417E,
182958N,0993400E,
182922N,0993342E,
182846N,0993323E,
182811N,0993304E,
182736N,0993244E,
182701N,0993224E,
182627N,0993203E,
182553N,0993141E,
182519N,0993119E,
182446N,0993056E,
182413N,0993032E,
182341N,0993008E,
182309N,0992944E,
182237N,0992918E,
182206N,0992853E,
182135N,0992826E,
182105N,0992759E,
182035N,0992732E,
182005N,0992704E,
181937N,0992635E,
181908N,0992606E,
181840N,0992537E,
181813N,0992506E,
181746N,0992436E,
181719N,0992405E,
181653N,0992333E,
181628N,0992301E,
181603N,0992229E,
181538N,0992156E,
181514N,0992123E,
181451N,0992049E,
181428N,0992015E,
181406N,0991940E,
181345N,0991905E,
181324N,0991830E,
181303N,0991754E,
181244N,0991718E,
181224N,0991641E,
181206N,0991605E,
181148N,0991528E,
181130N,0991450E,
181114N,0991412E,
181058N,0991334E,
181042N,0991256E,
181027N,0991217E,
181013N,0991139E,
181000N,0991059E,
180947N,0991020E,
180934N,0990940E,
180923N,0990901E,
180912N,0990821E,
180902N,0990740E,
180852N,0990700E,
180843N,0990620E,
180835N,0990539E,
180827N,0990458E,
180820N,0990417E,
180814N,0990336E,
180808N,0990255E,
180804N,0990213E,
180759N,0990132E,
180756N,0990051E,
180753N,0990009E,
180751N,0985928E,
180749N,0985846E,
180749N,0985804E,
180749N,0985723E,
180749N,0985641E,
180751N,0985600E,
180753N,0985518E,
180755N,0985437E,
180759N,0985355E,
180803N,0985314E,
180807N,0985232E,
180813N,0985151E,
180819N,0985110E,
180826N,0985029E,
180833N,0984948E,
180841N,0984908E,
180850N,0984827E,
180900N,0984747E,
180910N,0984706E,
180921N,0984626E,
180932N,0984547E,
180944N,0984507E,
180957N,0984427E,
181011N,0984348E,
181025N,0984309E,
181039N,0984231E,
181055N,0984152E,
181111N,0984114E,
181127N,0984036E,
181145N,0983959E,
181203N,0983922E,
181221N,0983845E,
181240N,0983808E,
181300N,0983732E,
181320N,0983656E,
181341N,0983621E,
181402N,0983546E,
181424N,0983511E,
184604N,0984748E,
185332N,0983232E,
