VTBB,,
0,0,
VTCL_APP,119.3,APP
0,160,
175130N,0993033E,
175130N,0993103E,
175132N,0993133E,
175133N,0993203E,
175136N,0993233E,
175139N,0993303E,
175142N,0993333E,
175146N,0993403E,
175151N,0993432E,
175156N,0993502E,
175202N,0993532E,
175208N,0993601E,
175215N,0993630E,
175222N,0993659E,
175230N,0993728E,
175238N,0993757E,
175247N,0993826E,
175256N,0993854E,
175306N,0993923E,
175316N,0993951E,
175327N,0994019E,
175339N,0994046E,
175351N,0994114E,
175403N,0994141E,
175416N,0994208E,
175430N,0994235E,
175443N,0994301E,
175458N,0994327E,
175513N,0994353E,
175528N,0994418E,
175544N,0994444E,
175600N,0994509E,
175617N,0994533E,
175634N,0994557E,
175652N,0994621E,
175710N,0994645E,
175728N,0994708E,
175747N,0994731E,
175806N,0994753E,
175826N,0994815E,
175846N,0994837E,
175906N,0994858E,
175927N,0994919E,
175949N,0994939E,
180010N,0994959E,
180032N,0995019E,
180055N,0995038E,
180117N,0995056E,
180140N,0995115E,
180204N,0995132E,
180227N,0995150E,
180251N,0995206E,
180315N,0995223E,
180340N,0995238E,
180405N,0995254E,
180430N,0995309E,
180455N,0995323E,
180521N,0995337E,
180547N,0995350E,
180613N,0995403E,
180639N,0995415E,
180706N,0995427E,
180733N,0995438E,
180800N,0995448E,
180827N,0995458E,
180854N,0995508E,
180922N,0995517E,
180950N,0995525E,
181017N,0995533E,
181045N,0995541E,
181114N,0995547E,
181142N,0995554E,
181210N,0995559E,
181239N,0995604E,
181307N,0995609E,
181336N,0995613E,
181404N,0995616E,
181433N,0995619E,
181502N,0995621E,
181531N,0995623E,
181600N,0995624E,
181628N,0995624E,
181657N,0995624E,
181726N,0995623E,
181755N,0995622E,
181824N,0995620E,
181852N,0995618E,
181921N,0995615E,
181950N,0995611E,
182018N,0995607E,
182047N,0995602E,
182115N,0995557E,
182144N,0995551E,
182212N,0995545E,
182240N,0995538E,
182308N,0995530E,
182335N,0995522E,
182403N,0995513E,
182431N,0995504E,
182458N,0995454E,
182525N,0995444E,
182552N,0995433E,
182619N,0995422E,
182645N,0995410E,
182711N,0995357E,
182737N,0995344E,
182803N,0995331E,
182829N,0995317E,
182854N,0995302E,
182919N,0995247E,
182944N,0995232E,
183008N,0995216E,
183032N,0995159E,
183056N,0995142E,
183120N,0995125E,
183143N,0995107E,
183206N,0995048E,
183228N,0995029E,
183251N,0995010E,
183312N,0994950E,
183334N,0994930E,
183355N,0994909E,
183416N,0994848E,
183436N,0994827E,
183456N,0994805E,
183515N,0994743E,
183534N,0994720E,
183553N,0994657E,
183611N,0994633E,
183629N,0994610E,
183647N,0994546E,
183703N,0994521E,
183720N,0994456E,
183736N,0994431E,
183752N,0994406E,
183807N,0994340E,
183821N,0994314E,
183835N,0994247E,
183849N,0994221E,
183902N,0994154E,
183915N,0994127E,
183927N,0994059E,
183939N,0994031E,
183950N,0994004E,
184001N,0993935E,
184011N,0993907E,
184020N,0993839E,
184029N,0993810E,
184038N,0993741E,
184044N,0993719E,
184044N,0993719E,
184005N,0993713E,
183925N,0993706E,
183846N,0993659E,
183807N,0993651E,
183728N,0993642E,
183650N,0993632E,
183611N,0993621E,
183533N,0993610E,
183455N,0993559E,
183417N,0993546E,
183339N,0993533E,
183302N,0993519E,
183224N,0993504E,
183147N,0993449E,
183111N,0993433E,
183034N,0993417E,
182958N,0993400E,
182922N,0993342E,
182846N,0993323E,
182811N,0993304E,
182736N,0993244E,
182701N,0993224E,
182627N,0993203E,
