VTBB,,
0,0,
VTCN_APP,120.25,APP
0,110,
182539N,1002004E,
182853N,1002300E,
182917N,1002239E,
182942N,1002218E,
183006N,1002158E,
183031N,1002138E,
183057N,1002118E,
183122N,1002059E,
183148N,1002040E,
183215N,1002022E,
183241N,1002005E,
183308N,1001947E,
183335N,1001931E,
183403N,1001915E,
183431N,1001859E,
183458N,1001844E,
183527N,1001829E,
183555N,1001815E,
183624N,1001801E,
183653N,1001748E,
183722N,1001736E,
183751N,1001724E,
183821N,1001712E,
183850N,1001701E,
183920N,1001651E,
183950N,1001641E,
184020N,1001632E,
184051N,1001623E,
184121N,1001615E,
184152N,1001607E,
184223N,1001600E,
184253N,1001554E,
184324N,1001548E,
184355N,1001542E,
184427N,1001537E,
184458N,1001533E,
184529N,1001529E,
184600N,1001526E,
184632N,1001524E,
184703N,1001522E,
184735N,1001520E,
184806N,1001520E,
184837N,1001519E,
184909N,1001520E,
184940N,1001521E,
185012N,1001522E,
185043N,1001524E,
185115N,1001527E,
185146N,1001530E,
185217N,1001534E,
185248N,1001538E,
185319N,1001543E,
185351N,1001549E,
185421N,1001555E,
185452N,1001601E,
185523N,1001608E,
185554N,1001616E,
185624N,1001624E,
185654N,1001633E,
185725N,1001643E,
185755N,1001653E,
185824N,1001703E,
185854N,1001714E,
185923N,1001726E,
185953N,1001738E,
190022N,1001751E,
190051N,1001804E,
190119N,1001818E,
190148N,1001832E,
190216N,1001847E,
190244N,1001902E,
190311N,1001918E,
190339N,1001934E,
190406N,1001951E,
190433N,1002008E,
190459N,1002026E,
190525N,1002044E,
190551N,1002103E,
190617N,1002122E,
190642N,1002142E,
190707N,1002202E,
190732N,1002223E,
190756N,1002244E,
190820N,1002305E,
190844N,1002327E,
190907N,1002350E,
190930N,1002413E,
190952N,1002436E,
191014N,1002459E,
191036N,1002523E,
191057N,1002548E,
191118N,1002613E,
191138N,1002638E,
191158N,1002703E,
191218N,1002729E,
191237N,1002756E,
191256N,1002822E,
191314N,1002849E,
191332N,1002917E,
191349N,1002944E,
191406N,1003012E,
191422N,1003040E,
191438N,1003109E,
191454N,1003138E,
191509N,1003207E,
191523N,1003236E,
191537N,1003306E,
191551N,1003336E,
191604N,1003406E,
191616N,1003436E,
191628N,1003507E,
191640N,1003538E,
191651N,1003609E,
191701N,1003640E,
191711N,1003712E,
191721N,1003743E,
191730N,1003815E,
191738N,1003847E,
191746N,1003919E,
191753N,1003951E,
191800N,1004024E,
191806N,1004056E,
191812N,1004129E,
191817N,1004201E,
191822N,1004234E,
191826N,1004307E,
191829N,1004340E,
191832N,1004413E,
191835N,1004446E,
191837N,1004519E,
191838N,1004552E,
191839N,1004627E,
191839N,1004700E,
191839N,1004733E,
191838N,1004807E,
191837N,1004840E,
191835N,1004913E,
191832N,1004946E,
191829N,1005019E,
191825N,1005052E,
191821N,1005125E,
191816N,1005158E,
191811N,1005231E,
191805N,1005303E,
191759N,1005336E,
191752N,1005408E,
191745N,1005440E,
191737N,1005513E,
191728N,1005545E,
191719N,1005616E,
191710N,1005648E,
191659N,1005719E,
191649N,1005751E,
191638N,1005822E,
191626N,1005853E,
191614N,1005923E,
191601N,1005954E,
191548N,1010024E,
191534N,1010054E,
191520N,1010124E,
191506N,1010153E,
191450N,1010222E,
191435N,1010251E,
191419N,1010319E,
191402N,1010348E,
191345N,1010416E,
191328N,1010443E,
191310N,1010511E,
191251N,1010538E,
191232N,1010604E,
191213N,1010630E,
191153N,1010656E,
191133N,1010722E,
191113N,1010747E,
191052N,1010812E,
191030N,1010836E,
191009N,1010900E,
190946N,1010924E,
190924N,1010947E,
190901N,1011010E,
190838N,1011032E,
190814N,1011054E,
190750N,1011115E,
190725N,1011136E,
190701N,1011157E,
190635N,1011217E,
190610N,1011237E,
190544N,1011256E,
190518N,1011314E,
190452N,1011333E,
190425N,1011350E,
190358N,1011407E,
190331N,1011424E,
190303N,1011440E,
190236N,1011456E,
190208N,1011511E,
190139N,1011526E,
190111N,1011540E,
190042N,1011554E,
190013N,1011607E,
185944N,1011619E,
185915N,1011631E,
185845N,1011643E,
185815N,1011654E,
185745N,1011704E,
185715N,1011714E,
185657N,1011719E,
185337N,1011503E,
184358N,1011340E,
184115N,1011626E,
182648N,1010343E,
182436N,1010607E,
182426N,1010553E,
182408N,1010527E,
