VTBB,,
0,0,
VTCP_APP,120.1,APP
0,160,
183644N,1000022E,
183648N,1000035E,
183657N,1000106E,
183705N,1000138E,
183713N,1000210E,
183721N,1000241E,
183728N,1000314E,
183734N,1000346E,
183740N,1000418E,
183745N,1000450E,
183750N,1000523E,
183754N,1000555E,
183758N,1000628E,
183801N,1000701E,
183804N,1000733E,
183806N,1000806E,
183808N,1000839E,
183809N,1000912E,
183809N,1000945E,
183809N,1001018E,
182802N,1001151E,
182759N,1001222E,
182755N,1001252E,
182751N,1001322E,
182746N,1001353E,
182740N,1001423E,
182734N,1001452E,
182727N,1001522E,
182719N,1001551E,
182710N,1001621E,
182701N,1001650E,
182651N,1001719E,
182641N,1001747E,
182629N,1001815E,
182617N,1001843E,
182605N,1001911E,
182552N,1001938E,
182538N,1002005E,
182524N,1002032E,
182509N,1002058E,
182453N,1002124E,
182437N,1002149E,
182420N,1002214E,
182403N,1002239E,
182345N,1002303E,
182326N,1002327E,
182307N,1002350E,
182248N,1002413E,
182228N,1002435E,
182207N,1002457E,
182146N,1002518E,
182125N,1002538E,
182103N,1002559E,
182040N,1002618E,
182017N,1002637E,
181954N,1002655E,
181930N,1002713E,
181906N,1002730E,
181841N,1002747E,
181816N,1002803E,
181751N,1002818E,
181725N,1002832E,
181659N,1002846E,
181633N,1002900E,
181606N,1002912E,
181539N,1002924E,
181512N,1002935E,
181445N,1002946E,
181417N,1002956E,
181349N,1003005E,
181321N,1003013E,
181253N,1003021E,
181225N,1003028E,
181156N,1003034E,
181127N,1003040E,
181059N,1003045E,
181030N,1003049E,
181001N,1003052E,
180932N,1003055E,
180902N,1003056E,
180833N,1003058E,
180804N,1003058E,
180735N,1003058E,
180706N,1003056E,
180637N,1003055E,
180607N,1003052E,
180538N,1003049E,
180509N,1003045E,
180441N,1003040E,
180412N,1003034E,
180343N,1003028E,
180315N,1003021E,
180247N,1003014E,
180219N,1003005E,
180151N,1002956E,
180123N,1002946E,
180056N,1002936E,
180028N,1002925E,
180002N,1002913E,
175935N,1002900E,
175909N,1002847E,
175843N,1002833E,
175817N,1002819E,
175752N,1002803E,
175727N,1002748E,
174956N,1003507E,
174931N,1003447E,
174907N,1003427E,
174843N,1003406E,
174819N,1003345E,
174756N,1003324E,
174733N,1003302E,
174711N,1003240E,
174648N,1003217E,
174627N,1003154E,
174605N,1003131E,
174544N,1003107E,
174523N,1003043E,
174503N,1003018E,
174443N,1002953E,
174424N,1002928E,
174405N,1002902E,
174346N,1002836E,
174328N,1002810E,
174310N,1002743E,
174253N,1002716E,
174236N,1002649E,
174220N,1002622E,
174204N,1002554E,
174149N,1002526E,
174134N,1002458E,
174119N,1002429E,
174105N,1002400E,
174051N,1002331E,
174038N,1002302E,
174026N,1002232E,
174013N,1002202E,
174002N,1002132E,
173951N,1002102E,
173940N,1002032E,
173930N,1002001E,
173920N,1001930E,
173911N,1001859E,
173902N,1001828E,
173854N,1001757E,
173847N,1001725E,
173840N,1001654E,
173833N,1001622E,
173827N,1001551E,
173821N,1001519E,
173816N,1001447E,
173812N,1001415E,
173808N,1001343E,
173805N,1001310E,
173802N,1001238E,
173759N,1001206E,
173757N,1001134E,
173756N,1001101E,
173755N,1001029E,
173755N,1000956E,
173755N,1000924E,
173756N,1000852E,
173758N,1000819E,
173759N,1000747E,
174810N,1000700E,
174814N,1000629E,
174819N,1000559E,
174825N,1000529E,
174832N,1000459E,
174839N,1000430E,
174847N,1000400E,
174856N,1000331E,
174905N,1000302E,
174915N,1000233E,
174926N,1000204E,
174937N,1000136E,
174949N,1000108E,
175002N,1000041E,
175015N,1000013E,
175029N,0995946E,
175044N,0995920E,
175059N,0995853E,
175115N,0995827E,
175131N,0995802E,
175148N,0995737E,
175206N,0995712E,
175224N,0995648E,
175242N,0995625E,
175302N,0995602E,
175321N,0995539E,
175342N,0995517E,
175402N,0995455E,
175424N,0995434E,
175446N,0995413E,
175508N,0995353E,
175530N,0995334E,
175554N,0995315E,
175617N,0995257E,
175641N,0995239E,
175706N,0995222E,
175730N,0995206E,
175756N,0995150E,
175821N,0995135E,
175847N,0995120E,
175913N,0995106E,
175940N,0995053E,
180006N,0995041E,
180034N,0995029E,
180041N,0995026E,
180055N,0995038E,
180117N,0995056E,
180140N,0995115E,
180204N,0995132E,
180227N,0995150E,
180251N,0995206E,
180315N,0995223E,
180340N,0995238E,
180405N,0995254E,
180430N,0995309E,
180455N,0995323E,
180521N,0995337E,
180547N,0995350E,
180613N,0995403E,
180639N,0995415E,
180706N,0995427E,
180733N,0995438E,
180800N,0995448E,
180827N,0995458E,
180854N,0995508E,
180922N,0995517E,
180950N,0995525E,
181017N,0995533E,
181045N,0995541E,
181114N,0995547E,
181142N,0995554E,
181210N,0995559E,
181239N,0995604E,
181307N,0995609E,
181336N,0995613E,
181404N,0995616E,
181433N,0995619E,
181502N,0995621E,
181531N,0995623E,
181600N,0995624E,
181628N,0995624E,
181657N,0995624E,
181726N,0995623E,
181755N,0995622E,
181824N,0995620E,
181852N,0995618E,
181921N,0995615E,
181950N,0995611E,
182018N,0995607E,
182047N,0995602E,
182115N,0995557E,
182144N,0995551E,
182212N,0995545E,
182243N,0995537E,
182257N,0995553E,
182316N,0995616E,
182335N,0995640E,
182354N,0995704E,
182411N,0995729E,
182428N,0995754E,
182445N,0995819E,
182501N,0995845E,
182516N,0995911E,
182531N,0995937E,
182545N,1000004E,
182559N,1000032E,
182612N,1000059E,
182624N,1000127E,
182635N,1000156E,
183644N,1000022E,
