VTBB,,
0,0,
VTCT_APP,120.05,APP
0,160,
194529N,1002447E,
193618N,1001610E,
193556N,1001547E,
193534N,1001524E,
193512N,1001501E,
193451N,1001437E,
193430N,1001412E,
193409N,1001347E,
193349N,1001322E,
193329N,1001257E,
193310N,1001231E,
193251N,1001205E,
193232N,1001138E,
193214N,1001112E,
193157N,1001044E,
193139N,1001017E,
193123N,1000949E,
193106N,1000921E,
193051N,1000853E,
193035N,1000824E,
193020N,1000755E,
193006N,1000726E,
192952N,1000657E,
192939N,1000627E,
192926N,1000557E,
192913N,1000527E,
192901N,1000456E,
192850N,1000426E,
192839N,1000355E,
192828N,1000324E,
192818N,1000253E,
192809N,1000221E,
192800N,1000150E,
192752N,1000118E,
192744N,1000046E,
192736N,1000015E,
192729N,0995942E,
192723N,0995910E,
192717N,0995838E,
192712N,0995805E,
192707N,0995733E,
192703N,0995700E,
192659N,0995628E,
192656N,0995555E,
192654N,0995522E,
192652N,0995449E,
192650N,0995417E,
192649N,0995344E,
192649N,0995311E,
192649N,0995238E,
192649N,0995205E,
192650N,0995132E,
192652N,0995059E,
192654N,0995027E,
192657N,0994954E,
192700N,0994921E,
192704N,0994848E,
192709N,0994816E,
192713N,0994743E,
192719N,0994711E,
192725N,0994639E,
192731N,0994607E,
192738N,0994534E,
192746N,0994503E,
192754N,0994431E,
192802N,0994359E,
192811N,0994328E,
192821N,0994256E,
192831N,0994225E,
192842N,0994154E,
192853N,0994124E,
192904N,0994053E,
192917N,0994023E,
192929N,0993953E,
192942N,0993923E,
192956N,0993853E,
193010N,0993824E,
193024N,0993755E,
193039N,0993726E,
193055N,0993657E,
193111N,0993629E,
193127N,0993601E,
193144N,0993533E,
193201N,0993506E,
193219N,0993439E,
193237N,0993412E,
193256N,0993346E,
193315N,0993320E,
193334N,0993254E,
193354N,0993228E,
193415N,0993203E,
193435N,0993139E,
193456N,0993115E,
194759N,0994010E,
194823N,0993952E,
194848N,0993934E,
194914N,0993918E,
194940N,0993902E,
195006N,0993847E,
195033N,0993833E,
195101N,0993821E,
195128N,0993809E,
195156N,0993758E,
195225N,0993748E,
195253N,0993739E,
195322N,0993731E,
195352N,0993724E,
195421N,0993718E,
195451N,0993713E,
195520N,0993709E,
195550N,0993706E,
195620N,0993704E,
195650N,0993703E,
195720N,0993704E,
195750N,0993705E,
195820N,0993708E,
195849N,0993711E,
195919N,0993715E,
195949N,0993721E,
200018N,0993728E,
200047N,0993735E,
200116N,0993744E,
200144N,0993753E,
200212N,0993804E,
200240N,0993816E,
200308N,0993828E,
200335N,0993842E,
200402N,0993856E,
200428N,0993911E,
200453N,0993928E,
200519N,0993945E,
200543N,0994003E,
200607N,0994022E,
200631N,0994042E,
200653N,0994102E,
200715N,0994124E,
200737N,0994146E,
200758N,0994209E,
200818N,0994232E,
200837N,0994256E,
200855N,0994321E,
200913N,0994347E,
200930N,0994413E,
200946N,0994440E,
201001N,0994507E,
201016N,0994535E,
201029N,0994603E,
201042N,0994632E,
201053N,0994701E,
201104N,0994731E,
201114N,0994801E,
201123N,0994831E,
201131N,0994902E,
201138N,0994933E,
201143N,0995004E,
201148N,0995035E,
201153N,0995106E,
201156N,0995138E,
201158N,0995210E,
201159N,0995241E,
201159N,0995313E,
201158N,0995345E,
202642N,0995345E,
202747N,0995807E,
202230N,1000502E,
201510N,1000622E,
201414N,1001009E,
202330N,1001603E,
202227N,1002127E,
201139N,1002725E,
200824N,1003138E,
201007N,1003453E,
195422N,1003115E,
194538N,1002443E,
194529N,1002447E,
