VTBB,,
0,0,
VTPB_APP,126.7,APP
0,160,
170204N,1004954E,
170226N,1005018E,
170247N,1005042E,
170308N,1005106E,
170329N,1005130E,
170349N,1005156E,
170409N,1005221E,
170428N,1005247E,
170447N,1005313E,
170506N,1005339E,
170524N,1005406E,
170541N,1005433E,
170558N,1005501E,
170615N,1005528E,
170631N,1005556E,
170647N,1005625E,
170702N,1005653E,
170717N,1005722E,
170731N,1005751E,
170745N,1005821E,
165919N,1010421E,
165929N,1010449E,
165938N,1010517E,
165947N,1010546E,
165955N,1010614E,
170002N,1010643E,
170008N,1010712E,
170014N,1010741E,
170020N,1010810E,
170024N,1010840E,
170028N,1010909E,
170032N,1010939E,
170034N,1011008E,
170036N,1011038E,
170037N,1011108E,
170038N,1011137E,
170038N,1011207E,
170037N,1011237E,
170036N,1011307E,
170034N,1011336E,
170031N,1011406E,
170027N,1011435E,
170023N,1011505E,
170018N,1011534E,
170013N,1011603E,
170006N,1011632E,
170000N,1011701E,
165952N,1011730E,
165944N,1011758E,
165935N,1011827E,
170815N,1012406E,
170802N,1012436E,
170749N,1012506E,
170735N,1012535E,
170721N,1012605E,
170707N,1012633E,
170652N,1012702E,
170636N,1012730E,
170620N,1012759E,
170603N,1012826E,
170547N,1012854E,
170529N,1012921E,
170511N,1012948E,
170453N,1013014E,
170434N,1013041E,
170415N,1013106E,
170355N,1013132E,
170335N,1013157E,
170315N,1013222E,
170254N,1013246E,
165419N,1012658E,
165358N,1012719E,
165336N,1012739E,
165313N,1012758E,
165250N,1012817E,
165227N,1012836E,
165203N,1012853E,
165138N,1012911E,
165114N,1012927E,
165048N,1012943E,
165023N,1012958E,
164957N,1013013E,
164931N,1013027E,
164905N,1013040E,
164838N,1013053E,
164811N,1013104E,
164743N,1013116E,
164716N,1013126E,
164648N,1013136E,
164620N,1013145E,
164552N,1013154E,
164523N,1013201E,
164455N,1013208E,
164426N,1013214E,
164357N,1013220E,
164328N,1013225E,
164259N,1013229E,
164230N,1013232E,
164200N,1013235E,
164131N,1013236E,
164102N,1013237E,
164032N,1013238E,
164003N,1013237E,
163933N,1013236E,
163904N,1013234E,
163835N,1013232E,
163806N,1013228E,
163736N,1013224E,
163707N,1013219E,
163639N,1013214E,
163610N,1013207E,
163541N,1013200E,
163513N,1013152E,
163445N,1013144E,
163417N,1013135E,
163349N,1013125E,
163321N,1013114E,
163254N,1013103E,
163227N,1013051E,
163200N,1013038E,
163134N,1013025E,
163108N,1013011E,
163042N,1012956E,
163016N,1012941E,
162951N,1012925E,
162927N,1012909E,
162902N,1012851E,
162839N,1012834E,
162815N,1012815E,
162752N,1012756E,
162730N,1012737E,
162707N,1012717E,
162646N,1012656E,
162625N,1012635E,
162604N,1012613E,
162544N,1012551E,
162524N,1012528E,
162505N,1012505E,
162447N,1012441E,
162429N,1012417E,
162412N,1012352E,
162355N,1012327E,
162339N,1012302E,
162323N,1012236E,
162308N,1012210E,
162254N,1012143E,
162240N,1012116E,
162227N,1012049E,
162215N,1012021E,
162203N,1011954E,
162152N,1011925E,
162142N,1011857E,
162132N,1011828E,
162123N,1011759E,
162114N,1011730E,
162107N,1011701E,
162100N,1011631E,
162053N,1011601E,
162048N,1011531E,
162043N,1011501E,
162039N,1011431E,
162035N,1011401E,
162032N,1011331E,
162030N,1011300E,
162029N,1011230E,
162028N,1011200E,
162028N,1011129E,
162029N,1011059E,
162031N,1011028E,
162033N,1010958E,
161051N,1010635E,
161057N,1010603E,
161103N,1010531E,
161109N,1010459E,
161116N,1010427E,
161124N,1010356E,
161132N,1010324E,
161141N,1010253E,
161150N,1010222E,
161200N,1010151E,
161210N,1010120E,
161221N,1010050E,
161232N,1010019E,
161244N,1005949E,
161256N,1005919E,
161309N,1005850E,
161322N,1005820E,
161336N,1005751E,
161350N,1005722E,
161405N,1005653E,
162343N,1010026E,
162359N,1010001E,
162416N,1005937E,
162433N,1005912E,
162451N,1005849E,
162510N,1005825E,
162528N,1005803E,
162548N,1005740E,
162608N,1005718E,
162628N,1005657E,
162649N,1005636E,
162710N,1005616E,
162732N,1005556E,
162755N,1005537E,
162817N,1005518E,
162841N,1005500E,
162904N,1005443E,
162928N,1005426E,
162952N,1005409E,
163017N,1005354E,
163042N,1005339E,
163108N,1005324E,
163134N,1005310E,
163200N,1005257E,
163226N,1005245E,
163253N,1005233E,
163320N,1005222E,
163347N,1005211E,
163414N,1005201E,
163442N,1005152E,
163510N,1005144E,
163538N,1005136E,
163606N,1005129E,
163634N,1005123E,
163703N,1005117E,
163731N,1005112E,
163755N,1004731E,
163743N,1004728E,
163814N,1004736E,
163844N,1004745E,
163914N,1004753E,
163945N,1004800E,
164016N,1004807E,
164047N,1004813E,
164118N,1004819E,
164149N,1004824E,
164220N,1004828E,
164251N,1004832E,
164323N,1004836E,
164354N,1004839E,
164425N,1004841E,
164457N,1004842E,
164528N,1004844E,
164600N,1004844E,
164631N,1004844E,
164702N,1004844E,
164735N,1004842E,
164713N,1005208E,
164740N,1005218E,
164806N,1005229E,
164833N,1005240E,
164859N,1005252E,
164924N,1005305E,
164949N,1005318E,
165014N,1005332E,
165039N,1005347E,
165103N,1005402E,
165127N,1005417E,
165151N,1005434E,
165214N,1005450E,
165237N,1005508E,
165300N,1005526E,
165322N,1005544E,
165343N,1005603E,
170204N,1004954E,
