VTBB,,
0,0,
VTPH_APP,126.2,APP
0,110,
124211N,1001149E,
124143N,1001157E,
124114N,1001204E,
124044N,1001210E,
124015N,1001215E,
123945N,1001218E,
123916N,1001221E,
123846N,1001223E,
123816N,1001224E,
123746N,1001224E,
123716N,1001223E,
123647N,1001221E,
123617N,1001218E,
123547N,1001214E,
123518N,1001209E,
123449N,1001203E,
123420N,1001155E,
123351N,1001147E,
123322N,1001138E,
123254N,1001129E,
123226N,1001118E,
123159N,1001106E,
123132N,1001053E,
123105N,1001039E,
123039N,1001025E,
123013N,1001010E,
122948N,1000953E,
122923N,1000936E,
122859N,1000918E,
122836N,1000900E,
122813N,1000840E,
122750N,1000820E,
122729N,1000759E,
122708N,1000737E,
122648N,1000715E,
122628N,1000652E,
122610N,1000628E,
122552N,1000604E,
122535N,1000539E,
122518N,1000514E,
122503N,1000448E,
122448N,1000421E,
121425N,1000542E,
121416N,1000515E,
121408N,1000448E,
121359N,1000421E,
121352N,1000353E,
121344N,1000326E,
121338N,1000258E,
121331N,1000231E,
121326N,1000203E,
121321N,1000135E,
121316N,1000107E,
121312N,1000039E,
121308N,1000011E,
121305N,0995942E,
121302N,0995914E,
121300N,0995846E,
121259N,0995818E,
121257N,0995749E,
121257N,0995721E,
121257N,0995652E,
121257N,0995624E,
121258N,0995556E,
122321N,0995342E,
122328N,0995313E,
122336N,0995243E,
122345N,0995215E,
122355N,0995146E,
122406N,0995118E,
122418N,0995050E,
122430N,0995022E,
122444N,0994955E,
122458N,0994929E,
122513N,0994902E,
122529N,0994837E,
122546N,0994812E,
122603N,0994747E,
122622N,0994724E,
122641N,0994700E,
122701N,0994638E,
122722N,0994616E,
122743N,0994555E,
122805N,0994534E,
122827N,0994515E,
122851N,0994456E,
122915N,0994437E,
122939N,0994420E,
123004N,0994404E,
123030N,0994348E,
123056N,0994333E,
123122N,0994319E,
123149N,0994306E,
123216N,0994254E,
123244N,0994243E,
123312N,0994233E,
123340N,0994223E,
123409N,0994215E,
123438N,0994207E,
123507N,0994201E,
123536N,0994156E,
123606N,0994151E,
123635N,0994148E,
123705N,0994145E,
123735N,0994144E,
123805N,0994143E,
123835N,0994144E,
123904N,0994145E,
123934N,0994148E,
124004N,0994151E,
124033N,0994156E,
124102N,0994201E,
124131N,0994208E,
124200N,0994215E,
124229N,0994224E,
124257N,0994233E,
125856N,0994250E,
125912N,0994315E,
125927N,0994340E,
125942N,0994405E,
125956N,0994430E,
130010N,0994456E,
130024N,0994522E,
130037N,0994548E,
130049N,0994615E,
130101N,0994642E,
130112N,0994709E,
130123N,0994736E,
130134N,0994803E,
130144N,0994831E,
130153N,0994859E,
130202N,0994927E,
130210N,0994955E,
130218N,0995023E,
130225N,0995052E,
130232N,0995120E,
130238N,0995149E,
130244N,0995218E,
130249N,0995247E,
130254N,0995316E,
130258N,0995345E,
130301N,0995414E,
130304N,0995444E,
130306N,0995513E,
130308N,0995542E,
130309N,0995612E,
130310N,0995641E,
130310N,0995711E,
130310N,0995740E,
130309N,0995809E,
130307N,0995839E,
130305N,0995908E,
130303N,0995938E,
130259N,1000007E,
130256N,1000036E,
130251N,1000105E,
130247N,1000134E,
130241N,1000203E,
130235N,1000232E,
130229N,1000300E,
130222N,1000329E,
130214N,1000357E,
130206N,1000426E,
130158N,1000454E,
130149N,1000522E,
130139N,1000549E,
130129N,1000617E,
130118N,1000644E,
130107N,1000711E,
130055N,1000738E,
130043N,1000805E,
130031N,1000831E,
130017N,1000858E,
130004N,1000923E,
125950N,1000949E,
125935N,1001014E,
125920N,1001040E,
125904N,1001104E,
125848N,1001129E,
125832N,1001153E,
125815N,1001217E,
125757N,1001240E,
125740N,1001303E,
125721N,1001326E,
125703N,1001348E,
125644N,1001411E,
125624N,1001432E,
125604N,1001453E,
125544N,1001514E,
125523N,1001535E,
125502N,1001555E,
125441N,1001615E,
125419N,1001634E,
125357N,1001653E,
125334N,1001711E,
125311N,1001729E,
125248N,1001746E,
125224N,1001803E,
125201N,1001820E,
125136N,1001836E,
125112N,1001852E,
125047N,1001907E,
124211N,1001149E,
