VTBB,,
0,0,
VTPI APP,124,APP
0,110,
155142N,1001716E,
155142N,1001754E,
155141N,1001832E,
155140N,1001910E,
155139N,1001948E,
155136N,1002026E,
155133N,1002104E,
155130N,1002141E,
155126N,1002219E,
155121N,1002257E,
155115N,1002334E,
155109N,1002412E,
155102N,1002449E,
155055N,1002526E,
155047N,1002603E,
155038N,1002640E,
155029N,1002716E,
155019N,1002753E,
155009N,1002829E,
154958N,1002905E,
154946N,1002941E,
154934N,1003017E,
154921N,1003053E,
154907N,1003128E,
154853N,1003203E,
154839N,1003238E,
154823N,1003312E,
154807N,1003346E,
154751N,1003420E,
154734N,1003454E,
154716N,1003527E,
154658N,1003600E,
154640N,1003633E,
154620N,1003705E,
154601N,1003737E,
154540N,1003808E,
154519N,1003840E,
154458N,1003910E,
154436N,1003941E,
154414N,1004011E,
154351N,1004040E,
154328N,1004110E,
154304N,1004138E,
154239N,1004207E,
154214N,1004235E,
154149N,1004302E,
154123N,1004329E,
154057N,1004356E,
154030N,1004422E,
154003N,1004447E,
153936N,1004512E,
153908N,1004537E,
153840N,1004601E,
153811N,1004624E,
153742N,1004647E,
153712N,1004710E,
153642N,1004732E,
153612N,1004753E,
153541N,1004814E,
153510N,1004834E,
153439N,1004854E,
153407N,1004913E,
153335N,1004932E,
153303N,1004950E,
153231N,1005007E,
153158N,1005024E,
153125N,1005041E,
153051N,1005056E,
153017N,1005111E,
152944N,1005126E,
152909N,1005140E,
152835N,1005153E,
152800N,1005205E,
152726N,1005217E,
152651N,1005229E,
152615N,1005239E,
152540N,1005250E,
152504N,1005259E,
152429N,1005308E,
152353N,1005316E,
152317N,1005323E,
152241N,1005330E,
152205N,1005337E,
152128N,1005342E,
152052N,1005347E,
152015N,1005351E,
151939N,1005355E,
151902N,1005358E,
151826N,1005400E,
151749N,1005402E,
151712N,1005403E,
151636N,1005403E,
151559N,1005403E,
151522N,1005402E,
151446N,1005400E,
151409N,1005358E,
151332N,1005355E,
151256N,1005351E,
151219N,1005347E,
151143N,1005342E,
151107N,1005336E,
151030N,1005330E,
150954N,1005323E,
150918N,1005316E,
150843N,1005308E,
150807N,1005259E,
150731N,1005249E,
150656N,1005239E,
150621N,1005229E,
150546N,1005217E,
150511N,1005205E,
150436N,1005153E,
150402N,1005140E,
150328N,1005126E,
150254N,1005111E,
150220N,1005056E,
150147N,1005041E,
150114N,1005025E,
150041N,1005008E,
150008N,1004950E,
145947N,1004939E,
150003N,1004925E,
150026N,1004905E,
150049N,1004845E,
150110N,1004823E,
150130N,1004800E,
150150N,1004736E,
150208N,1004712E,
150226N,1004647E,
150242N,1004621E,
150257N,1004554E,
150312N,1004527E,
150325N,1004459E,
150337N,1004431E,
150348N,1004402E,
150357N,1004332E,
150406N,1004303E,
150413N,1004233E,
150419N,1004202E,
150424N,1004132E,
150428N,1004101E,
150430N,1004030E,
150431N,1003959E,
150431N,1003928E,
150430N,1003857E,
150427N,1003827E,
150423N,1003756E,
150418N,1003725E,
150412N,1003655E,
150404N,1003625E,
150355N,1003555E,
150345N,1003526E,
150334N,1003458E,
150322N,1003429E,
150308N,1003402E,
150254N,1003334E,
150238N,1003308E,
150221N,1003242E,
150204N,1003217E,
150145N,1003153E,
150125N,1003130E,
150105N,1003107E,
150043N,1003045E,
150021N,1003025E,
145958N,1003005E,
145934N,1002946E,
145909N,1002929E,
145843N,1002912E,
145817N,1002857E,
145751N,1002842E,
145724N,1002829E,
145656N,1002817E,
145628N,1002806E,
145559N,1002756E,
145530N,1002748E,
145501N,1002741E,
145431N,1002735E,
145402N,1002730E,
145332N,1002727E,
145302N,1002725E,
145232N,1002724E,
145201N,1002725E,
145131N,1002727E,
145102N,1002730E,
145032N,1002734E,
145002N,1002740E,
144933N,1002747E,
144904N,1002755E,
144835N,1002804E,
144807N,1002815E,
144739N,1002826E,
144712N,1002839E,
144645N,1002853E,
144619N,1002909E,
144553N,1002925E,
144528N,1002943E,
144504N,1003001E,
144441N,1003020E,
144418N,1003041E,
144357N,1003102E,
144338N,1003122E,
144336N,1003058E,
144331N,1003005E,
144325N,1002912E,
144318N,1002819E,
144310N,1002727E,
144301N,1002634E,
144251N,1002542E,
144241N,1002450E,
144229N,1002358E,
144217N,1002306E,
144204N,1002214E,
144149N,1002123E,
144129N,1002012E,
144128N,1001959E,
144126N,1001921E,
144125N,1001843E,
144124N,1001806E,
144124N,1001728E,
144125N,1001650E,
144126N,1001613E,
144128N,1001535E,
144131N,1001457E,
144134N,1001420E,
144138N,1001342E,
144142N,1001305E,
144148N,1001228E,
144153N,1001150E,
144200N,1001113E,
144207N,1001036E,
144214N,1000959E,
144223N,1000923E,
144232N,1000846E,
144241N,1000810E,
144251N,1000733E,
144302N,1000657E,
144313N,1000621E,
144325N,1000546E,
144338N,1000510E,
144351N,1000435E,
144405N,1000400E,
144419N,1000325E,
144434N,1000251E,
144449N,1000217E,
144505N,1000143E,
144522N,1000109E,
144539N,1000036E,
144557N,1000003E,
144615N,0995930E,
144634N,0995858E,
144654N,0995826E,
144714N,0995754E,
144734N,0995723E,
144755N,0995652E,
144817N,0995621E,
144839N,0995551E,
144901N,0995521E,
