VTBB,,
0,0,
VTPM_APP,120.65,APP
0,160,
164253N,0985318E,
164223N,0985319E,
164154N,0985319E,
164124N,0985319E,
164055N,0985318E,
164026N,0985316E,
163956N,0985314E,
163927N,0985310E,
163858N,0985306E,
163829N,0985301E,
163800N,0985256E,
163731N,0985250E,
163702N,0985243E,
163634N,0985235E,
163606N,0985226E,
163537N,0985217E,
163510N,0985207E,
163442N,0985157E,
163415N,0985146E,
163347N,0985134E,
163321N,0985121E,
163254N,0985108E,
163228N,0985054E,
163202N,0985039E,
163137N,0985024E,
163112N,0985008E,
163047N,0984951E,
163023N,0984934E,
162959N,0984916E,
162935N,0984858E,
162912N,0984839E,
162849N,0984820E,
162827N,0984800E,
162806N,0984739E,
162744N,0984718E,
162724N,0984656E,
162704N,0984634E,
162644N,0984611E,
162625N,0984548E,
162606N,0984524E,
162548N,0984500E,
162531N,0984435E,
162514N,0984410E,
162458N,0984345E,
162442N,0984319E,
162427N,0984253E,
162413N,0984226E,
162359N,0984159E,
162346N,0984132E,
162334N,0984104E,
162322N,0984036E,
162311N,0984008E,
162309N,0984004E,
162759N,0983931E,
164331N,0982804E,
164835N,0983258E,
165006N,0982948E,
165120N,0983239E,
165640N,0983034E,
170105N,0982628E,
170113N,0982657E,
170121N,0982726E,
170127N,0982756E,
170134N,0982826E,
170139N,0982856E,
170144N,0982926E,
170148N,0982957E,
170151N,0983027E,
170153N,0983057E,
171159N,0983231E,
171159N,0983302E,
171158N,0983334E,
171157N,0983406E,
171155N,0983437E,
171152N,0983509E,
171150N,0983540E,
171146N,0983611E,
171142N,0983643E,
171138N,0983714E,
171133N,0983745E,
171128N,0983816E,
171122N,0983847E,
171116N,0983918E,
171109N,0983949E,
171101N,0984019E,
171054N,0984050E,
171045N,0984120E,
171036N,0984151E,
171027N,0984221E,
171017N,0984250E,
171007N,0984320E,
170001N,0984125E,
165948N,0984151E,
165935N,0984217E,
165922N,0984243E,
165907N,0984308E,
165853N,0984334E,
165837N,0984358E,
165821N,0984423E,
165805N,0984447E,
165748N,0984510E,
165730N,0984533E,
165712N,0984556E,
165654N,0984618E,
165635N,0984640E,
165615N,0984701E,
165555N,0984722E,
165535N,0984743E,
165514N,0984802E,
165453N,0984822E,
165431N,0984841E,
165409N,0984859E,
165346N,0984917E,
165323N,0984934E,
165300N,0984950E,
165236N,0985006E,
165212N,0985022E,
165330N,0985416E,
165328N,0985416E,
165258N,0985417E,
165229N,0985419E,
165200N,0985422E,
165131N,0985425E,
165101N,0985429E,
165032N,0985434E,
165004N,0985440E,
164935N,0985446E,
164906N,0985453E,
164838N,0985501E,
164810N,0985510E,
164742N,0985519E,
164714N,0985529E,
164646N,0985539E,
164619N,0985550E,
164552N,0985602E,
164525N,0985615E,
164459N,0985628E,
164433N,0985642E,
164407N,0985657E,
164342N,0985712E,
164317N,0985728E,
164253N,0985318E,
