VTBB,,
0,0,
VTPO_APP,120.7,APP
0,160,
172559N,0995857E,
172540N,0995921E,
172521N,0995945E,
172501N,1000008E,
172440N,1000030E,
172418N,1000051E,
172356N,1000112E,
172333N,1000132E,
172309N,1000151E,
172245N,1000209E,
172220N,1000227E,
172155N,1000243E,
172129N,1000259E,
172102N,1000314E,
172036N,1000328E,
172008N,1000341E,
171941N,1000353E,
171913N,1000404E,
171844N,1000414E,
171816N,1000423E,
171747N,1000431E,
171718N,1000438E,
171649N,1000444E,
171619N,1000449E,
171549N,1000453E,
171520N,1000456E,
171450N,1000458E,
171420N,1000459E,
171350N,1000459E,
171339N,1000433E,
171326N,1000404E,
171312N,1000334E,
171258N,1000305E,
171243N,1000236E,
171228N,1000207E,
171212N,1000139E,
171156N,1000111E,
171140N,1000043E,
171123N,1000016E,
171105N,0995948E,
171047N,0995922E,
171029N,0995855E,
171010N,0995829E,
170950N,0995803E,
170931N,0995738E,
170910N,0995713E,
170850N,0995648E,
170829N,0995623E,
170807N,0995600E,
170746N,0995536E,
170723N,0995513E,
170701N,0995450E,
170638N,0995428E,
170615N,0995406E,
170551N,0995344E,
170527N,0995323E,
170502N,0995302E,
170438N,0995242E,
170413N,0995223E,
170347N,0995203E,
170321N,0995144E,
170255N,0995126E,
170229N,0995108E,
170202N,0995051E,
170135N,0995034E,
170108N,0995018E,
170041N,0995002E,
170013N,0994946E,
165945N,0994931E,
165917N,0994917E,
165848N,0994903E,
165820N,0994850E,
165751N,0994837E,
165722N,0994824E,
165652N,0994813E,
165623N,0994801E,
165553N,0994751E,
165523N,0994740E,
165453N,0994731E,
165423N,0994722E,
165352N,0994713E,
165322N,0994705E,
165251N,0994658E,
165221N,0994651E,
165150N,0994645E,
165119N,0994639E,
165048N,0994634E,
165017N,0994629E,
164945N,0994625E,
164914N,0994621E,
164843N,0994618E,
164811N,0994616E,
164740N,0994614E,
164709N,0994613E,
164637N,0994612E,
164606N,0994612E,
164534N,0994613E,
164503N,0994614E,
164431N,0994615E,
164408N,0994617E,
164408N,0994611E,
164411N,0994539E,
164415N,0994508E,
164420N,0994436E,
164425N,0994404E,
164430N,0994333E,
164436N,0994301E,
164442N,0994230E,
164449N,0994158E,
164457N,0994127E,
164505N,0994056E,
164513N,0994025E,
164522N,0993955E,
164532N,0993924E,
164542N,0993854E,
170053N,0994149E,
170107N,0994123E,
170122N,0994057E,
170138N,0994031E,
170155N,0994006E,
170213N,0993942E,
170231N,0993918E,
170250N,0993855E,
170310N,0993833E,
170330N,0993811E,
170351N,0993750E,
170413N,0993730E,
170435N,0993710E,
170458N,0993651E,
170522N,0993633E,
170546N,0993616E,
170610N,0993600E,
170636N,0993544E,
170701N,0993529E,
170727N,0993515E,
170753N,0993502E,
170820N,0993450E,
170847N,0993439E,
170915N,0993429E,
170943N,0993419E,
171011N,0993411E,
171039N,0993404E,
171108N,0993357E,
171136N,0993352E,
171205N,0993347E,
171234N,0993343E,
171303N,0993341E,
171333N,0993339E,
172418N,0991948E,
172447N,0991959E,
172516N,0992011E,
172545N,0992023E,
172614N,0992036E,
172642N,0992050E,
172711N,0992103E,
172739N,0992118E,
172807N,0992133E,
172834N,0992148E,
172902N,0992204E,
172929N,0992220E,
172955N,0992237E,
173022N,0992254E,
173048N,0992312E,
173114N,0992330E,
173140N,0992349E,
173205N,0992408E,
173230N,0992428E,
173254N,0992448E,
173319N,0992509E,
173343N,0992530E,
173406N,0992551E,
173430N,0992613E,
173452N,0992635E,
173515N,0992658E,
173537N,0992721E,
173559N,0992744E,
173620N,0992808E,
173641N,0992833E,
173702N,0992857E,
173722N,0992922E,
173741N,0992948E,
173801N,0993013E,
173819N,0993039E,
173838N,0993106E,
173856N,0993132E,
173913N,0993159E,
173930N,0993227E,
173947N,0993254E,
174003N,0993322E,
174019N,0993351E,
174034N,0993419E,
174049N,0993448E,
174103N,0993517E,
174117N,0993546E,
174130N,0993616E,
174143N,0993646E,
174155N,0993716E,
174207N,0993746E,
174218N,0993816E,
174229N,0993847E,
174239N,0993918E,
174249N,0993949E,
174258N,0994020E,
174307N,0994052E,
174315N,0994123E,
174323N,0994155E,
174330N,0994226E,
174336N,0994258E,
174342N,0994330E,
174348N,0994403E,
174353N,0994435E,
174357N,0994507E,
174401N,0994539E,
174405N,0994612E,
174407N,0994644E,
174410N,0994717E,
174412N,0994750E,
174413N,0994822E,
174413N,0994855E,
174414N,0994927E,
174413N,0995000E,
174412N,0995033E,
174411N,0995105E,
174409N,0995138E,
174406N,0995210E,
174403N,0995243E,
174359N,0995315E,
174355N,0995348E,
174350N,0995420E,
174345N,0995452E,
174339N,0995524E,
174333N,0995556E,
174326N,0995628E,
174319N,0995700E,
174311N,0995731E,
174302N,0995803E,
174253N,0995834E,
174244N,0995905E,
174234N,0995936E,
174223N,1000007E,
174212N,1000037E,
174201N,1000108E,
174149N,1000138E,
174136N,1000208E,
174123N,1000237E,
174109N,1000307E,
174055N,1000336E,
174041N,1000405E,
172559N,0995857E,
