VTBB,,
0,0,
VTPP_APP,120.7,APP
0,160,
161606N,1001758E,
161606N,1001830E,
161608N,1001903E,
161610N,1001935E,
161612N,1002008E,
161615N,1002040E,
161618N,1002112E,
161622N,1002145E,
161627N,1002217E,
161632N,1002249E,
161638N,1002321E,
161644N,1002353E,
161651N,1002425E,
161658N,1002457E,
161706N,1002528E,
161714N,1002600E,
161723N,1002631E,
161732N,1002702E,
161742N,1002733E,
161753N,1002804E,
161803N,1002834E,
161815N,1002904E,
161827N,1002935E,
161839N,1003005E,
161852N,1003034E,
161906N,1003104E,
161919N,1003133E,
161934N,1003202E,
161949N,1003231E,
162004N,1003259E,
162020N,1003327E,
162036N,1003355E,
162053N,1003423E,
162110N,1003450E,
162128N,1003517E,
162146N,1003543E,
162205N,1003610E,
162224N,1003636E,
162243N,1003701E,
162303N,1003726E,
162323N,1003751E,
162344N,1003816E,
162405N,1003840E,
162427N,1003904E,
162449N,1003927E,
162511N,1003950E,
162534N,1004013E,
162557N,1004035E,
162620N,1004057E,
162644N,1004118E,
162708N,1004139E,
162733N,1004159E,
162757N,1004219E,
162823N,1004239E,
162848N,1004258E,
162914N,1004317E,
162940N,1004335E,
163006N,1004352E,
163033N,1004410E,
163100N,1004426E,
163127N,1004443E,
163155N,1004458E,
163223N,1004514E,
163251N,1004528E,
163319N,1004543E,
163348N,1004556E,
163416N,1004610E,
163445N,1004622E,
163515N,1004635E,
163544N,1004646E,
163614N,1004657E,
163643N,1004708E,
163713N,1004718E,
163743N,1004728E,
163814N,1004736E,
163844N,1004745E,
163914N,1004753E,
163945N,1004800E,
164016N,1004807E,
164047N,1004813E,
164118N,1004819E,
164149N,1004824E,
164220N,1004828E,
164251N,1004832E,
164323N,1004836E,
164354N,1004839E,
164425N,1004841E,
164457N,1004842E,
164528N,1004844E,
164600N,1004844E,
164631N,1004844E,
164702N,1004844E,
164734N,1004842E,
164805N,1004841E,
164837N,1004839E,
164908N,1004836E,
164939N,1004832E,
165011N,1004828E,
165042N,1004824E,
165113N,1004819E,
165144N,1004813E,
165215N,1004807E,
165245N,1004800E,
165316N,1004753E,
165347N,1004745E,
165417N,1004736E,
165447N,1004727E,
165517N,1004718E,
165547N,1004708E,
165617N,1004657E,
165647N,1004646E,
165716N,1004634E,
165745N,1004622E,
165814N,1004609E,
165843N,1004556E,
165911N,1004542E,
165940N,1004528E,
170008N,1004513E,
170035N,1004458E,
170103N,1004442E,
170130N,1004426E,
170157N,1004409E,
170224N,1004352E,
170250N,1004334E,
170316N,1004316E,
170342N,1004257E,
170408N,1004238E,
170433N,1004218E,
170458N,1004158E,
170522N,1004137E,
170546N,1004116E,
170610N,1004055E,
170633N,1004033E,
170656N,1004011E,
170719N,1003948E,
170741N,1003925E,
170803N,1003902E,
170825N,1003838E,
170846N,1003813E,
170906N,1003749E,
170927N,1003724E,
170947N,1003658E,
171006N,1003633E,
171025N,1003606E,
171043N,1003540E,
171102N,1003513E,
171119N,1003446E,
171136N,1003419E,
171153N,1003351E,
171209N,1003323E,
171225N,1003255E,
171240N,1003226E,
171255N,1003157E,
171309N,1003128E,
171323N,1003059E,
171337N,1003029E,
171349N,1002959E,
171402N,1002929E,
171414N,1002859E,
171425N,1002828E,
171436N,1002757E,
171446N,1002726E,
171456N,1002655E,
171505N,1002624E,
171514N,1002553E,
171522N,1002521E,
171530N,1002449E,
171537N,1002417E,
171543N,1002345E,
171549N,1002313E,
171555N,1002241E,
171600N,1002209E,
171604N,1002136E,
171608N,1002104E,
171612N,1002031E,
171614N,1001959E,
171617N,1001926E,
171618N,1001853E,
171619N,1001820E,
171620N,1001748E,
171620N,1001715E,
171620N,1001642E,
171619N,1001610E,
171617N,1001537E,
171615N,1001504E,
171612N,1001432E,
171609N,1001359E,
171605N,1001327E,
171601N,1001254E,
171556N,1001222E,
171551N,1001149E,
171545N,1001117E,
171538N,1001045E,
171531N,1001013E,
171524N,1000942E,
171515N,1000910E,
171507N,1000839E,
171458N,1000807E,
171448N,1000736E,
171438N,1000705E,
171427N,1000634E,
171416N,1000604E,
171404N,1000533E,
171352N,1000503E,
171339N,1000433E,
171326N,1000404E,
171312N,1000334E,
171258N,1000305E,
171243N,1000236E,
171228N,1000207E,
171212N,1000139E,
171156N,1000111E,
171140N,1000043E,
171123N,1000016E,
171105N,0995948E,
171047N,0995922E,
171029N,0995855E,
171010N,0995829E,
170950N,0995803E,
170931N,0995738E,
170910N,0995713E,
