VTBB,,
0,0,
VTPT_APP,126,APP
0,110,
164649N,0993437E,
164622N,0993426E,
164555N,0993414E,
164528N,0993401E,
164502N,0993348E,
164436N,0993334E,
164410N,0993319E,
164344N,0993304E,
164319N,0993248E,
164255N,0993232E,
164230N,0993215E,
164206N,0993157E,
164143N,0993139E,
164120N,0993120E,
164057N,0993100E,
164035N,0993040E,
164013N,0993020E,
163952N,0992959E,
163932N,0992937E,
163911N,0992915E,
163852N,0992852E,
163833N,0992829E,
163814N,0992805E,
163756N,0992741E,
163739N,0992717E,
163722N,0992652E,
163706N,0992626E,
163650N,0992600E,
163635N,0992534E,
163621N,0992508E,
163607N,0992441E,
163554N,0992414E,
163541N,0992346E,
163529N,0992318E,
163518N,0992250E,
163508N,0992222E,
163458N,0992153E,
163449N,0992124E,
163440N,0992055E,
163432N,0992025E,
163425N,0991956E,
163419N,0991926E,
163413N,0991856E,
163408N,0991826E,
163404N,0991756E,
163400N,0991726E,
163357N,0991656E,
163355N,0991625E,
163354N,0991555E,
163353N,0991524E,
163353N,0991454E,
163354N,0991423E,
163355N,0991353E,
163357N,0991323E,
163400N,0991252E,
163403N,0991222E,
163408N,0991152E,
163413N,0991122E,
163418N,0991052E,
163425N,0991022E,
163432N,0990953E,
163439N,0990923E,
163448N,0990854E,
163457N,0990825E,
163507N,0990756E,
163517N,0990728E,
163528N,0990700E,
163540N,0990632E,
163552N,0990604E,
163605N,0990537E,
163619N,0990510E,
163634N,0990443E,
163648N,0990417E,
163704N,0990351E,
163720N,0990326E,
163737N,0990301E,
163754N,0990236E,
163812N,0990212E,
163831N,0990148E,
163850N,0990125E,
163909N,0990103E,
163929N,0990040E,
163950N,0990019E,
164011N,0985957E,
164033N,0985937E,
164055N,0985917E,
164117N,0985857E,
164140N,0985838E,
164204N,0985820E,
164228N,0985802E,
164252N,0985745E,
164317N,0985728E,
164342N,0985712E,
164407N,0985657E,
164433N,0985642E,
164459N,0985628E,
164525N,0985615E,
164552N,0985602E,
164619N,0985550E,
164646N,0985539E,
164714N,0985529E,
164742N,0985519E,
164810N,0985510E,
164838N,0985501E,
164906N,0985453E,
164935N,0985446E,
165004N,0985440E,
165032N,0985434E,
165101N,0985429E,
165131N,0985425E,
165200N,0985422E,
165229N,0985419E,
165258N,0985417E,
165328N,0985416E,
165357N,0985416E,
165426N,0985416E,
165456N,0985417E,
165525N,0985419E,
165554N,0985422E,
165624N,0985425E,
165653N,0985429E,
165722N,0985434E,
165751N,0985439E,
165819N,0985445E,
165848N,0985452E,
165916N,0985500E,
165945N,0985509E,
170013N,0985518E,
170040N,0985527E,
170108N,0985538E,
170135N,0985549E,
170202N,0985601E,
170229N,0985614E,
170256N,0985627E,
170322N,0985641E,
170348N,0985656E,
170413N,0985711E,
170438N,0985727E,
170503N,0985743E,
170527N,0985800E,
170551N,0985818E,
170614N,0985837E,
170637N,0985855E,
170700N,0985915E,
170722N,0985935E,
170744N,0985956E,
170805N,0990017E,
170826N,0990039E,
170846N,0990101E,
170905N,0990124E,
170924N,0990147E,
170943N,0990211E,
171001N,0990235E,
171018N,0990300E,
171035N,0990325E,
171051N,0990350E,
171107N,0990416E,
171122N,0990442E,
171136N,0990509E,
171150N,0990536E,
171203N,0990603E,
171215N,0990631E,
171227N,0990659E,
171238N,0990727E,
171249N,0990756E,
171259N,0990825E,
171308N,0990854E,
171316N,0990923E,
171324N,0990952E,
171331N,0991022E,
171337N,0991052E,
171343N,0991122E,
171348N,0991152E,
171352N,0991222E,
171356N,0991253E,
171358N,0991323E,
171401N,0991354E,
171402N,0991424E,
171403N,0991455E,
171402N,0991525E,
171402N,0991556E,
171400N,0991626E,
171358N,0991657E,
171355N,0991727E,
171351N,0991758E,
171347N,0991828E,
171342N,0991858E,
171336N,0991928E,
171330N,0991958E,
171323N,0992027E,
171315N,0992057E,
171306N,0992126E,
171257N,0992155E,
171247N,0992224E,
171237N,0992252E,
171225N,0992321E,
171213N,0992348E,
171201N,0992416E,
171148N,0992443E,
171134N,0992510E,
171119N,0992537E,
171104N,0992603E,
171049N,0992629E,
171032N,0992654E,
171015N,0992719E,
170958N,0992744E,
170940N,0992808E,
170921N,0992832E,
170902N,0992855E,
170842N,0992918E,
170822N,0992940E,
170802N,0993001E,
170740N,0993022E,
170719N,0993043E,
170656N,0993103E,
170634N,0993123E,
170611N,0993141E,
170547N,0993200E,
170523N,0993217E,
170459N,0993234E,
170434N,0993251E,
170409N,0993307E,
170343N,0993322E,
170317N,0993336E,
170251N,0993350E,
170225N,0993403E,
170158N,0993416E,
170131N,0993427E,
170104N,0993439E,
170036N,0993449E,
170008N,0993459E,
165940N,0993508E,
165912N,0993516E,
165843N,0993524E,
165815N,0993530E,
165746N,0993537E,
165717N,0993542E,
165648N,0993547E,
165610N,0994055E,
164614N,0993900E,
164649N,0993437E,
