VTBB,,
0,0,
VTSB_APP,129.6,APP
0,110,
093739N,0991202E,
093734N,0991233E,
093730N,0991304E,
093724N,0991335E,
093718N,0991406E,
093712N,0991437E,
093705N,0991507E,
093657N,0991538E,
093649N,0991608E,
093641N,0991638E,
093632N,0991708E,
093622N,0991738E,
093612N,0991808E,
093601N,0991838E,
093550N,0991907E,
093539N,0991936E,
093527N,0992005E,
093514N,0992034E,
093501N,0992102E,
093447N,0992131E,
092959N,0991952E,
092945N,0992018E,
092931N,0992043E,
092916N,0992108E,
092901N,0992133E,
092845N,0992157E,
092829N,0992221E,
092813N,0992245E,
092756N,0992309E,
092739N,0992332E,
092721N,0992355E,
092702N,0992417E,
092644N,0992439E,
092625N,0992501E,
092605N,0992522E,
092545N,0992543E,
092525N,0992604E,
092504N,0992624E,
092443N,0992644E,
092422N,0992703E,
092400N,0992722E,
092338N,0992741E,
092315N,0992759E,
092252N,0992816E,
092229N,0992834E,
092206N,0992850E,
092142N,0992907E,
092118N,0992923E,
092053N,0992938E,
092028N,0992953E,
092003N,0993007E,
091938N,0993021E,
091913N,0993035E,
091847N,0993048E,
091821N,0993100E,
091755N,0993112E,
091728N,0993124E,
091701N,0993134E,
091634N,0993145E,
091607N,0993155E,
091540N,0993204E,
091513N,0993213E,
091445N,0993221E,
091417N,0993229E,
091349N,0993236E,
091321N,0993243E,
091253N,0993249E,
091225N,0993255E,
091157N,0993300E,
091128N,0993305E,
091059N,0993309E,
091031N,0993312E,
091002N,0993315E,
090933N,0993317E,
090905N,0993319E,
090836N,0993320E,
090807N,0993321E,
090738N,0993321E,
090709N,0993321E,
090641N,0993320E,
090612N,0993318E,
090543N,0993316E,
090514N,0993313E,
090446N,0993310E,
090417N,0993306E,
090349N,0993302E,
090320N,0993257E,
090252N,0993252E,
090224N,0993246E,
090156N,0993239E,
090128N,0993232E,
090100N,0993225E,
090032N,0993217E,
090005N,0993208E,
085937N,0993159E,
085910N,0993149E,
085843N,0993139E,
085816N,0993128E,
085750N,0993117E,
085723N,0993105E,
085657N,0993053E,
085631N,0993040E,
085325N,0993444E,
085258N,0993429E,
085231N,0993414E,
085205N,0993358E,
085139N,0993342E,
085113N,0993325E,
085047N,0993308E,
085022N,0993250E,
084957N,0993232E,
084932N,0993213E,
084908N,0993154E,
