VTBB,,
0,0,
VTSC_APP,125.55,APP
0,110,
065645N,1014418E,
065645N,1014447E,
065645N,1014516E,
065644N,1014545E,
065642N,1014614E,
065640N,1014643E,
065638N,1014711E,
065634N,1014740E,
065631N,1014809E,
065626N,1014837E,
065622N,1014906E,
065616N,1014934E,
065610N,1015003E,
065604N,1015031E,
065557N,1015059E,
065550N,1015127E,
065542N,1015154E,
065533N,1015222E,
065524N,1015249E,
065514N,1015317E,
065504N,1015344E,
065454N,1015411E,
065442N,1015437E,
065431N,1015504E,
065419N,1015530E,
065406N,1015556E,
065353N,1015622E,
065339N,1015647E,
065325N,1015712E,
065310N,1015737E,
065255N,1015802E,
065240N,1015826E,
065224N,1015850E,
065207N,1015914E,
065150N,1015937E,
065133N,1020000E,
065115N,1020023E,
065057N,1020045E,
065038N,1020107E,
065019N,1020129E,
065000N,1020150E,
064940N,1020211E,
064919N,1020232E,
064859N,1020252E,
064838N,1020312E,
064816N,1020331E,
064754N,1020350E,
064732N,1020409E,
064710N,1020427E,
064647N,1020444E,
064624N,1020501E,
064600N,1020518E,
064536N,1020534E,
064512N,1020550E,
064448N,1020606E,
064423N,1020621E,
064358N,1020635E,
064333N,1020649E,
064307N,1020702E,
064241N,1020715E,
064215N,1020728E,
064149N,1020740E,
064123N,1020751E,
064056N,1020802E,
064029N,1020813E,
064002N,1020822E,
063934N,1020832E,
063907N,1020841E,
063839N,1020849E,
063812N,1020857E,
063744N,1020904E,
063716N,1020911E,
063647N,1020917E,
063619N,1020923E,
063551N,1020928E,
063522N,1020932E,
063453N,1020936E,
063425N,1020940E,
063356N,1020943E,
063327N,1020945E,
063258N,1020947E,
063230N,1020948E,
063201N,1020949E,
063132N,1020949E,
063103N,1020949E,
063034N,1020948E,
063005N,1020946E,
062937N,1020944E,
062908N,1020941E,
062839N,1020938E,
062810N,1020935E,
062742N,1020930E,
062713N,1020926E,
062645N,1020920E,
062617N,1020914E,
062549N,1020908E,
062521N,1020901E,
062453N,1020853E,
062425N,1020845E,
062357N,1020837E,
062330N,1020828E,
062303N,1020818E,
062236N,1020808E,
062209N,1020757E,
062142N,1020746E,
062116N,1020735E,
062050N,1020722E,
062024N,1020710E,
061958N,1020657E,
061933N,1020643E,
061908N,1020629E,
061843N,1020614E,
061818N,1020559E,
061754N,1020544E,
061730N,1020528E,
061706N,1020511E,
061643N,1020454E,
061620N,1020437E,
061557N,1020419E,
061534N,1020401E,
061512N,1020342E,
061451N,1020323E,
061429N,1020303E,
061409N,1020244E,
061348N,1020223E,
061328N,1020203E,
061308N,1020142E,
061249N,1020120E,
061230N,1020058E,
061211N,1020036E,
061153N,1020014E,
061136N,1015951E,
061119N,1015928E,
061102N,1015904E,
061045N,1015840E,
061030N,1015816E,
061014N,1015752E,
060959N,1015727E,
060945N,1015702E,
060931N,1015637E,
060918N,1015611E,
060905N,1015546E,
060852N,1015520E,
060840N,1015453E,
060829N,1015427E,
060818N,1015400E,
060807N,1015333E,
060757N,1015306E,
060748N,1015239E,
060739N,1015211E,
060731N,1015144E,
060723N,1015116E,
060716N,1015048E,
060709N,1015020E,
060703N,1014952E,
060657N,1014924E,
060652N,1014855E,
060647N,1014827E,
060643N,1014758E,
060640N,1014730E,
060637N,1014701E,
060635N,1014632E,
060633N,1014603E,
060631N,1014534E,
060631N,1014506E,
060631N,1014437E,
060631N,1014408E,
060632N,1014339E,
060633N,1014310E,
060635N,1014242E,
060638N,1014213E,
060641N,1014144E,
060645N,1014116E,
060649N,1014047E,
060654N,1014019E,
060659N,1013950E,
060705N,1013922E,
060711N,1013854E,
060718N,1013826E,
060726N,1013758E,
060734N,1013730E,
060742N,1013703E,
060751N,1013635E,
060801N,1013608E,
060811N,1013541E,
060822N,1013514E,
060833N,1013448E,
060844N,1013421E,
060857N,1013355E,
060909N,1013329E,
060922N,1013303E,
060936N,1013238E,
060950N,1013213E,
061005N,1013148E,
061020N,1013123E,
061035N,1013059E,
061051N,1013035E,
061108N,1013011E,
061125N,1012948E,
061142N,1012925E,
061200N,1012902E,
061218N,1012840E,
061237N,1012818E,
061256N,1012756E,
061315N,1012735E,
061335N,1012714E,
061355N,1012653E,
061416N,1012633E,
061437N,1012613E,
061458N,1012554E,
061520N,1012535E,
061542N,1012517E,
061605N,1012459E,
061628N,1012441E,
061651N,1012424E,
061714N,1012407E,
061738N,1012351E,
061802N,1012335E,
061827N,1012319E,
061852N,1012304E,
061917N,1012250E,
061942N,1012236E,
062007N,1012223E,
062033N,1012210E,
