VTBB,,
0,0,
VTSE_APP,122.6,APP
0,160,
105742N,0994216E,
105719N,0994234E,
105655N,0994250E,
105631N,0994307E,
105607N,0994322E,
105543N,0994338E,
105518N,0994353E,
105453N,0994407E,
105428N,0994421E,
105402N,0994434E,
105337N,0994447E,
105311N,0994500E,
105245N,0994511E,
105218N,0994523E,
105151N,0994534E,
105125N,0994544E,
105058N,0994554E,
105030N,0994603E,
105003N,0994612E,
104935N,0994620E,
104908N,0994628E,
104840N,0994635E,
104812N,0994642E,
104744N,0994648E,
104716N,0994654E,
104647N,0994659E,
104619N,0994703E,
104551N,0994707E,
104522N,0994710E,
104453N,0994713E,
104425N,0994716E,
104356N,0994717E,
104327N,0994718E,
104259N,0994719E,
104230N,0994719E,
104201N,0994719E,
104133N,0994718E,
104104N,0994716E,
104035N,0994714E,
104007N,0994711E,
103938N,0994708E,
103910N,0994704E,
103841N,0994700E,
103813N,0994655E,
103745N,0994650E,
103717N,0994644E,
103649N,0994637E,
103621N,0994630E,
103553N,0994622E,
103525N,0994614E,
103458N,0994606E,
103431N,0994556E,
103404N,0994547E,
103337N,0994537E,
103310N,0994526E,
103244N,0994515E,
103217N,0994503E,
103151N,0994451E,
103125N,0994438E,
103100N,0994424E,
103035N,0994411E,
103010N,0994357E,
102945N,0994342E,
102920N,0994327E,
102856N,0994311E,
102832N,0994255E,
102809N,0994238E,
102745N,0994221E,
102722N,0994204E,
102700N,0994146E,
102637N,0994128E,
102616N,0994109E,
102554N,0994050E,
102533N,0994030E,
102512N,0994010E,
102452N,0993950E,
102431N,0993929E,
102412N,0993908E,
102353N,0993846E,
102334N,0993824E,
102315N,0993802E,
102257N,0993740E,
102240N,0993717E,
102223N,0993653E,
102206N,0993630E,
102150N,0993606E,
102134N,0993542E,
102118N,0993517E,
102104N,0993452E,
102049N,0993427E,
102035N,0993402E,
102022N,0993336E,
102009N,0993310E,
101956N,0993244E,
101944N,0993218E,
101933N,0993151E,
101922N,0993124E,
101911N,0993057E,
101901N,0993030E,
101852N,0993003E,
101843N,0992935E,
101835N,0992907E,
101827N,0992839E,
101819N,0992811E,
101813N,0992743E,
101806N,0992715E,
101801N,0992646E,
101755N,0992618E,
101751N,0992549E,
101747N,0992521E,
101743N,0992452E,
101740N,0992423E,
101737N,0992354E,
101735N,0992325E,
101734N,0992256E,
101733N,0992227E,
101733N,0992158E,
101733N,0992129E,
101734N,0992100E,
101735N,0992031E,
101737N,0992002E,
101739N,0991933E,
101742N,0991904E,
101746N,0991836E,
101750N,0991807E,
101754N,0991738E,
101800N,0991710E,
101805N,0991641E,
101811N,0991613E,
101818N,0991545E,
101342N,0991330E,
101351N,0991301E,
101359N,0991232E,
101409N,0991204E,
101419N,0991135E,
101429N,0991107E,
101440N,0991039E,
101451N,0991011E,
101503N,0990943E,
101515N,0990916E,
101528N,0990848E,
101541N,0990821E,
101555N,0990754E,
101608N,0990728E,
101623N,0990701E,
102112N,0990844E,
102128N,0990819E,
102143N,0990755E,
102159N,0990731E,
102216N,0990707E,
102233N,0990643E,
102251N,0990620E,
102308N,0990557E,
102327N,0990535E,
102346N,0990513E,
102405N,0990451E,
102424N,0990430E,
102444N,0990409E,
102505N,0990348E,
102525N,0990328E,
102547N,0990308E,
102608N,0990249E,
102630N,0990230E,
102652N,0990211E,
102715N,0990153E,
102738N,0990135E,
102801N,0990118E,
102825N,0990101E,
102848N,0990045E,
102913N,0990029E,
102937N,0990014E,
103002N,0985959E,
103027N,0985945E,
103052N,0985931E,
103118N,0985917E,
103144N,0985904E,
103210N,0985852E,
103236N,0985840E,
103302N,0985828E,
103329N,0985818E,
103356N,0985807E,
103423N,0985757E,
103451N,0985748E,
103518N,0985739E,
103546N,0985731E,
103613N,0985723E,
103641N,0985716E,
103709N,0985709E,
103738N,0985703E,
103806N,0985657E,
103834N,0985652E,
103903N,0985648E,
103931N,0985644E,
104000N,0985641E,
104029N,0985638E,
104057N,0985635E,
