VTBB,,
0,0,
VTSF_APP,119.75,APP
0,110,
084627N,0994217E,
084648N,0994238E,
084708N,0994259E,
084728N,0994320E,
084747N,0994343E,
084806N,0994405E,
084824N,0994428E,
084842N,0994452E,
084859N,0994515E,
084915N,0994540E,
084931N,0994604E,
084946N,0994629E,
085001N,0994655E,
085015N,0994720E,
085028N,0994746E,
085041N,0994813E,
085053N,0994840E,
085104N,0994907E,
085115N,0994934E,
085125N,0995001E,
085135N,0995029E,
085143N,0995057E,
085151N,0995125E,
085159N,0995154E,
085206N,0995222E,
085212N,0995251E,
085217N,0995320E,
085222N,0995349E,
085226N,0995418E,
085229N,0995447E,
085232N,0995516E,
085233N,0995545E,
085235N,0995614E,
085235N,0995644E,
085235N,0995713E,
085234N,0995742E,
085232N,0995812E,
085230N,0995841E,
085227N,0995910E,
085223N,0995939E,
085219N,1000008E,
085213N,1000037E,
085208N,1000106E,
085201N,1000134E,
085154N,1000203E,
085146N,1000231E,
085137N,1000259E,
085128N,1000327E,
085118N,1000354E,
085107N,1000422E,
085056N,1000449E,
085044N,1000516E,
085032N,1000542E,
085019N,1000608E,
085005N,1000634E,
084950N,1000700E,
084935N,1000725E,
084920N,1000749E,
084903N,1000814E,
084847N,1000838E,
084829N,1000901E,
084811N,1000924E,
084753N,1000947E,
084734N,1001009E,
084714N,1001031E,
084654N,1001052E,
084634N,1001113E,
084613N,1001133E,
084551N,1001153E,
084529N,1001212E,
084507N,1001231E,
084444N,1001249E,
084420N,1001307E,
084356N,1001324E,
084332N,1001340E,
084308N,1001356E,
084243N,1001411E,
084254N,1002514E,
084224N,1002524E,
084154N,1002534E,
084124N,1002544E,
084054N,1002553E,
084024N,1002602E,
083954N,1002610E,
083923N,1002617E,
083852N,1002624E,
083821N,1002630E,
083751N,1002636E,
083720N,1002642E,
083648N,1002646E,
083617N,1002651E,
083546N,1002654E,
083515N,1002657E,
083443N,1002700E,
083412N,1002702E,
083341N,1002704E,
083309N,1002705E,
083238N,1002705E,
083206N,1002705E,
083135N,1002704E,
083103N,1002703E,
083032N,1002701E,
083001N,1002659E,
082929N,1002656E,
082858N,1002652E,
082827N,1002648E,
082756N,1002644E,
082725N,1002639E,
082654N,1002633E,
082623N,1002627E,
082552N,1002620E,
082522N,1002613E,
082451N,1002605E,
082421N,1002557E,
082351N,1002548E,
082320N,1002539E,
082251N,1002529E,
082221N,1002519E,
082151N,1002508E,
082122N,1002456E,
082053N,1002444E,
082024N,1002432E,
081955N,1002419E,
081927N,1002406E,
081859N,1002352E,
081831N,1002337E,
081803N,1002322E,
081735N,1002307E,
081708N,1002251E,
081641N,1002235E,
081615N,1002218E,
081548N,1002201E,
