VTBB,,
0,0,
VTSG_APP,120.05,APP
0,160,
073554N,0991258E,
075020N,0984337E,
075102N,0984404E,
075128N,0984421E,
075156N,0984437E,
075223N,0984452E,
075251N,0984507E,
075319N,0984522E,
075347N,0984536E,
075415N,0984549E,
075444N,0984602E,
075513N,0984615E,
075542N,0984627E,
075611N,0984638E,
075641N,0984649E,
075711N,0984700E,
075741N,0984710E,
075811N,0984719E,
075841N,0984728E,
075911N,0984736E,
075942N,0984744E,
080012N,0984751E,
080043N,0984758E,
080114N,0984804E,
080145N,0984810E,
080216N,0984815E,
080247N,0984820E,
080318N,0984824E,
080349N,0984827E,
080421N,0984830E,
080452N,0984833E,
080524N,0984835E,
080555N,0984836E,
080627N,0984837E,
080658N,0984837E,
080729N,0984837E,
080801N,0984836E,
080832N,0984834E,
080904N,0984832E,
080935N,0984830E,
081007N,0984827E,
081038N,0984823E,
081109N,0984819E,
081140N,0984814E,
081211N,0984809E,
081242N,0984803E,
081313N,0984757E,
081344N,0984750E,
081414N,0984743E,
081445N,0984735E,
081515N,0984726E,
081545N,0984717E,
081615N,0984708E,
081645N,0984658E,
081715N,0984647E,
081744N,0984636E,
081814N,0984625E,
081843N,0984612E,
081911N,0984600E,
081940N,0984547E,
082008N,0984533E,
082037N,0984519E,
082105N,0984504E,
082114N,0984459E,
082121N,0984507E,
082140N,0984529E,
082158N,0984550E,
082216N,0984613E,
082234N,0984636E,
082250N,0984659E,
082307N,0984722E,
082322N,0984746E,
082337N,0984811E,
082352N,0984835E,
082406N,0984900E,
082419N,0984926E,
082432N,0984951E,
082444N,0985017E,
082456N,0985043E,
082506N,0985110E,
082517N,0985137E,
082526N,0985204E,
082535N,0985231E,
082544N,0985258E,
082551N,0985326E,
082558N,0985354E,
082605N,0985422E,
082611N,0985450E,
082616N,0985518E,
082620N,0985546E,
083634N,0985737E,
083635N,0985808E,
083635N,0985840E,
083635N,0985911E,
083634N,0985943E,
083633N,0990014E,
083631N,0990045E,
083628N,0990117E,
083625N,0990148E,
083622N,0990219E,
083618N,0990250E,
083613N,0990321E,
083608N,0990353E,
083602N,0990423E,
083556N,0990454E,
083549N,0990525E,
083542N,0990556E,
083534N,0990626E,
083526N,0990656E,
083517N,0990726E,
082514N,0990549E,
082503N,0990616E,
082452N,0990643E,
082440N,0990709E,
082427N,0990736E,
082414N,0990802E,
082400N,0990827E,
082346N,0990853E,
082330N,0990918E,
082315N,0990942E,
082259N,0991007E,
082242N,0991030E,
082224N,0991054E,
082206N,0991117E,
082148N,0991139E,
082129N,0991201E,
082109N,0991223E,
082049N,0991244E,
082029N,0991305E,
082008N,0991325E,
081946N,0991345E,
081924N,0991404E,
081902N,0991422E,
081839N,0991440E,
081815N,0991458E,
081752N,0991515E,
081727N,0991531E,
081703N,0991547E,
081638N,0991602E,
081613N,0991616E,
081547N,0991630E,
081521N,0991643E,
081455N,0991656E,
081428N,0991708E,
081402N,0991719E,
081335N,0991730E,
081307N,0991740E,
081240N,0991749E,
081212N,0991758E,
081144N,0991806E,
081116N,0991813E,
081047N,0991820E,
081019N,0991826E,
080950N,0991831E,
080922N,0991836E,
080853N,0991840E,
080824N,0991843E,
080755N,0991845E,
080726N,0991847E,
080657N,0991848E,
080628N,0991848E,
080559N,0991848E,
080530N,0991847E,
080501N,0991845E,
080432N,0991843E,
080403N,0991840E,
080334N,0991836E,
080305N,0991831E,
080236N,0991826E,
080208N,0991820E,
080140N,0991814E,
080112N,0991806E,
080044N,0991758E,
080016N,0991750E,
075948N,0991740E,
075921N,0991730E,
075854N,0991720E,
075827N,0991708E,
075800N,0991656E,
075734N,0991644E,
075103N,0992303E,
075047N,0992239E,
075030N,0992216E,
075012N,0992154E,
074954N,0992131E,
074935N,0992109E,
074917N,0992048E,
074857N,0992027E,
074838N,0992006E,
074818N,0991945E,
074757N,0991925E,
074736N,0991905E,
074715N,0991846E,
074654N,0991827E,
074632N,0991809E,
074610N,0991751E,
074547N,0991733E,
074524N,0991716E,
074501N,0991659E,
074437N,0991643E,
074413N,0991627E,
074349N,0991611E,
074325N,0991557E,
074300N,0991542E,
074235N,0991528E,
074210N,0991515E,
074144N,0991502E,
074119N,0991449E,
074053N,0991437E,
074027N,0991425E,
074000N,0991414E,
073933N,0991404E,
073907N,0991354E,
073840N,0991344E,
073813N,0991335E,
073745N,0991327E,
073718N,0991319E,
073650N,0991311E,
073622N,0991304E,
073554N,0991258E,
