VTBB,,
0,0,
VTSM_APP,129.6,APP
0,110,
100321N,1000443E,
100319N,1000515E,
100317N,1000547E,
100315N,1000618E,
100312N,1000650E,
100308N,1000721E,
100304N,1000753E,
100259N,1000824E,
100254N,1000856E,
100248N,1000927E,
100242N,1000958E,
100235N,1001029E,
100227N,1001100E,
100219N,1001130E,
100211N,1001201E,
100202N,1001231E,
100152N,1001302E,
100142N,1001332E,
100132N,1001402E,
100121N,1001431E,
100109N,1001501E,
100057N,1001530E,
100044N,1001559E,
100031N,1001628E,
100018N,1001657E,
100004N,1001725E,
095949N,1001753E,
095934N,1001821E,
095918N,1001849E,
095902N,1001916E,
095846N,1001943E,
095829N,1002010E,
095811N,1002036E,
095754N,1002103E,
095735N,1002128E,
095717N,1002154E,
095657N,1002219E,
095638N,1002244E,
095618N,1002308E,
095557N,1002332E,
095536N,1002356E,
095515N,1002419E,
095453N,1002442E,
095431N,1002505E,
095409N,1002527E,
095346N,1002549E,
095323N,1002611E,
095259N,1002632E,
095235N,1002652E,
095211N,1002712E,
095146N,1002732E,
095121N,1002751E,
095056N,1002810E,
095030N,1002829E,
095004N,1002846E,
094938N,1002904E,
094912N,1002921E,
094845N,1002938E,
094818N,1002954E,
094750N,1003009E,
094722N,1003024E,
094655N,1003039E,
094626N,1003053E,
094558N,1003107E,
094529N,1003120E,
094500N,1003133E,
094431N,1003145E,
094402N,1003156E,
094333N,1003207E,
094303N,1003218E,
094233N,1003228E,
094203N,1003238E,
094133N,1003247E,
094103N,1003255E,
094032N,1003303E,
094002N,1003310E,
093931N,1003317E,
093900N,1003324E,
093829N,1003329E,
093319N,1002350E,
093249N,1002349E,
093220N,1002349E,
093151N,1002347E,
093122N,1002345E,
093053N,1002341E,
093025N,1002338E,
092956N,1002333E,
092927N,1002328E,
092859N,1002322E,
092830N,1002316E,
092802N,1002308E,
092734N,1002300E,
092706N,1002252E,
092639N,1002243E,
092611N,1002233E,
092544N,1002222E,
092517N,1002211E,
092451N,1002159E,
092424N,1002146E,
092358N,1002133E,
092333N,1002119E,
092307N,1002105E,
092242N,1002050E,
092218N,1002034E,
092153N,1002018E,
092130N,1002001E,
092106N,1001944E,
092043N,1001926E,
092021N,1001907E,
091959N,1001848E,
091937N,1001828E,
091916N,1001808E,
091855N,1001748E,
091835N,1001726E,
091815N,1001705E,
091756N,1001643E,
091737N,1001620E,
091719N,1001557E,
091702N,1001534E,
091645N,1001510E,
091629N,1001446E,
091613N,1001421E,
091558N,1001356E,
091543N,1001331E,
091529N,1001305E,
091516N,1001239E,
091503N,1001213E,
091451N,1001146E,
091439N,1001119E,
091429N,1001052E,
091419N,1001024E,
091409N,1000957E,
091400N,1000929E,
091352N,1000901E,
091345N,1000832E,
091338N,1000804E,
091332N,1000735E,
091326N,1000706E,
091322N,1000638E,
091318N,1000609E,
091314N,1000539E,
091312N,1000510E,
091310N,1000441E,
091308N,1000412E,
091308N,1000342E,
091308N,1000313E,
091309N,1000244E,
091311N,1000215E,
091313N,1000145E,
091316N,1000116E,
091320N,1000047E,
091324N,1000018E,
091329N,0995949E,
091335N,0995921E,
091341N,0995852E,
090447N,0995332E,
090458N,0995303E,
090508N,0995235E,
090519N,0995207E,
090531N,0995139E,
090543N,0995111E,
090555N,0995044E,
090608N,0995017E,
090622N,0994950E,
090636N,0994923E,
090650N,0994856E,
090704N,0994830E,
090720N,0994804E,
090735N,0994738E,
090751N,0994712E,
090808N,0994647E,
090824N,0994622E,
090842N,0994557E,
090859N,0994533E,
090917N,0994509E,
090936N,0994445E,
091831N,0994948E,
091852N,0994926E,
091912N,0994906E,
091933N,0994845E,
091955N,0994826E,
092017N,0994806E,
092040N,0994748E,
092102N,0994730E,
092126N,0994712E,
092150N,0994655E,
092214N,0994639E,
092239N,0994623E,
092304N,0994608E,
092329N,0994553E,
092355N,0994539E,
092421N,0994526E,
092447N,0994513E,
092513N,0994501E,
092540N,0994450E,
092608N,0994439E,
092635N,0994429E,
092703N,0994420E,
092730N,0994411E,
092758N,0994403E,
092827N,0994356E,
092855N,0994349E,
092924N,0994343E,
092952N,0994338E,
093021N,0994333E,
093050N,0994329E,
093119N,0994326E,
093148N,0994324E,
093217N,0994322E,
093247N,0994321E,
093316N,0994321E,
093345N,0994321E,
093414N,0994322E,
093443N,0994324E,
093512N,0994326E,
093541N,0994330E,
093610N,0994334E,
093639N,0994338E,
093708N,0994344E,
093736N,0994350E,
093805N,0994356E,
093833N,0994404E,
093901N,0994412E,
093929N,0994421E,
093956N,0994430E,
094024N,0994440E,
094051N,0994451E,
094118N,0994503E,
094144N,0994515E,
094210N,0994527E,
094236N,0994541E,
094302N,0994555E,
094327N,0994610E,
094352N,0994625E,
094417N,0994641E,
094441N,0994657E,
094505N,0994714E,
094528N,0994732E,
094551N,0994750E,
094614N,0994809E,
094636N,0994828E,
094657N,0994848E,
094718N,0994908E,
094739N,0994929E,
094759N,0994950E,
094818N,0995012E,
094837N,0995035E,
094856N,0995057E,
094914N,0995121E,
094931N,0995144E,
094948N,0995208E,
095004N,0995233E,
095020N,0995258E,
095035N,0995323E,
095049N,0995348E,
095103N,0995414E,
095116N,0995441E,
095129N,0995507E,
095141N,0995534E,
095152N,0995601E,
095202N,0995629E,
095212N,0995656E,
095222N,0995724E,
095230N,0995752E,
095238N,0995821E,
095245N,0995849E,
095252N,0995918E,
095258N,0995947E,
095303N,1000015E,
095307N,1000045E,
095311N,1000114E,
095314N,1000143E,
095316N,1000212E,
095318N,1000242E,
100321N,1000443E,
