VTBB,,
0,0,
VTSP_APP,127.6,APP
0,160,
083703N,0981754E,
083703N,0981825E,
083702N,0981857E,
083702N,0981929E,
083700N,0982000E,
083658N,0982032E,
083656N,0982103E,
083653N,0982135E,
083649N,0982206E,
083645N,0982237E,
083640N,0982309E,
083635N,0982340E,
083629N,0982411E,
083623N,0982442E,
083616N,0982513E,
083609N,0982544E,
083601N,0982614E,
083552N,0982645E,
083543N,0982715E,
083534N,0982745E,
083524N,0982815E,
083513N,0982845E,
083502N,0982914E,
083451N,0982944E,
083438N,0983013E,
083426N,0983042E,
083413N,0983111E,
083359N,0983139E,
083345N,0983208E,
083331N,0983236E,
083316N,0983303E,
083300N,0983331E,
083244N,0983358E,
083228N,0983425E,
083211N,0983452E,
083153N,0983518E,
083135N,0983544E,
083117N,0983610E,
083058N,0983635E,
083039N,0983700E,
083020N,0983725E,
083000N,0983750E,
082939N,0983814E,
082918N,0983837E,
082857N,0983901E,
082835N,0983923E,
082813N,0983946E,
082751N,0984008E,
082728N,0984030E,
082705N,0984051E,
082641N,0984112E,
082617N,0984133E,
082553N,0984153E,
082528N,0984212E,
082503N,0984232E,
082438N,0984251E,
082412N,0984309E,
082346N,0984327E,
082320N,0984344E,
082254N,0984401E,
082227N,0984418E,
082200N,0984434E,
082132N,0984449E,
082105N,0984504E,
082037N,0984519E,
082008N,0984533E,
081940N,0984547E,
081911N,0984600E,
081843N,0984612E,
081814N,0984625E,
081744N,0984636E,
081715N,0984647E,
081645N,0984658E,
081615N,0984708E,
081545N,0984717E,
081515N,0984726E,
081445N,0984735E,
081414N,0984743E,
081344N,0984750E,
081313N,0984757E,
081242N,0984803E,
081211N,0984809E,
081140N,0984814E,
081109N,0984819E,
081038N,0984823E,
081007N,0984827E,
080935N,0984830E,
080904N,0984832E,
080832N,0984834E,
080801N,0984836E,
080729N,0984837E,
080658N,0984837E,
080627N,0984837E,
080555N,0984836E,
080524N,0984835E,
080452N,0984833E,
080421N,0984830E,
080349N,0984827E,
080318N,0984824E,
080247N,0984820E,
080216N,0984815E,
080145N,0984810E,
080114N,0984804E,
080043N,0984758E,
080012N,0984751E,
075942N,0984744E,
075911N,0984736E,
075841N,0984728E,
075811N,0984719E,
075741N,0984710E,
075711N,0984700E,
075641N,0984649E,
075611N,0984638E,
075542N,0984627E,
075513N,0984615E,
075444N,0984602E,
075415N,0984549E,
075347N,0984536E,
075319N,0984522E,
075251N,0984507E,
075223N,0984452E,
075156N,0984437E,
075128N,0984421E,
075102N,0984404E,
075035N,0984347E,
075009N,0984330E,
074943N,0984312E,
074917N,0984254E,
074852N,0984235E,
074827N,0984216E,
074802N,0984157E,
074738N,0984137E,
074714N,0984116E,
074650N,0984055E,
074627N,0984034E,
074604N,0984013E,
074541N,0983951E,
074519N,0983928E,
074457N,0983905E,
074436N,0983842E,
074415N,0983819E,
074354N,0983755E,
074334N,0983730E,
074315N,0983706E,
074255N,0983641E,
074236N,0983616E,
074218N,0983550E,
074200N,0983524E,
074143N,0983458E,
074126N,0983431E,
074109N,0983404E,
074053N,0983337E,
074037N,0983310E,
074022N,0983242E,
074007N,0983214E,
073953N,0983146E,
073939N,0983118E,
073926N,0983049E,
073914N,0983020E,
073901N,0982951E,
073850N,0982922E,
073838N,0982852E,
073828N,0982823E,
073818N,0982753E,
073808N,0982723E,
073759N,0982653E,
073750N,0982622E,
073742N,0982552E,
073735N,0982521E,
073728N,0982450E,
073721N,0982420E,
073715N,0982349E,
073710N,0982318E,
073705N,0982246E,
073701N,0982215E,
073657N,0982144E,
073654N,0982112E,
073651N,0982041E,
073649N,0982009E,
073647N,0981938E,
073646N,0981906E,
073646N,0981835E,
073646N,0981803E,
073646N,0981732E,
073648N,0981700E,
073649N,0981629E,
073652N,0981557E,
073654N,0981526E,
073658N,0981455E,
073702N,0981423E,
073706N,0981352E,
073711N,0981321E,
073716N,0981250E,
073722N,0981219E,
073729N,0981148E,
073736N,0981117E,
073744N,0981047E,
073752N,0981016E,
073801N,0980946E,
073810N,0980916E,
073820N,0980846E,
073830N,0980816E,
073841N,0980746E,
073852N,0980717E,
073904N,0980647E,
073916N,0980618E,
073929N,0980550E,
073942N,0980521E,
073956N,0980453E,
074010N,0980425E,
074025N,0980357E,
074040N,0980329E,
074056N,0980302E,
074112N,0980235E,
074129N,0980208E,
074146N,0980141E,
074204N,0980115E,
074222N,0980049E,
074240N,0980024E,
074259N,0975959E,
074318N,0975934E,
074338N,0975909E,
074358N,0975845E,
074419N,0975821E,
074440N,0975758E,
074501N,0975735E,
074523N,0975712E,
074545N,0975650E,
074608N,0975628E,
074631N,0975606E,
074654N,0975545E,
074718N,0975524E,
074742N,0975504E,
074807N,0975444E,
074831N,0975424E,
074857N,0975405E,
074922N,0975347E,
074948N,0975329E,
075014N,0975311E,
075040N,0975254E,
075107N,0975237E,
075134N,0975221E,
075201N,0975205E,
075228N,0975149E,
075256N,0975134E,
075324N,0975120E,
075353N,0975106E,
075421N,0975053E,
075450N,0975040E,
075519N,0975027E,
075548N,0975015E,
075617N,0975004E,
075647N,0974953E,
075716N,0974943E,
075746N,0974933E,
075816N,0974924E,
075847N,0974915E,
075917N,0974907E,
075948N,0974859E,
080018N,0974852E,
080049N,0974845E,
080120N,0974839E,
080151N,0974833E,
080222N,0974828E,
080253N,0974824E,
080324N,0974820E,
080356N,0974816E,
080427N,0974813E,
080458N,0974811E,
080530N,0974809E,
080601N,0974808E,
080633N,0974808E,
080704N,0974807E,
080736N,0974808E,
080807N,0974809E,
080839N,0974810E,
080910N,0974812E,
080941N,0974815E,
081013N,0974818E,
081044N,0974822E,
081115N,0974826E,
081146N,0974831E,
081217N,0974836E,
081248N,0974842E,
081319N,0974849E,
081350N,0974856E,
081420N,0974903E,
081451N,0974911E,
081521N,0974920E,
081551N,0974929E,
081621N,0974938E,
081651N,0974949E,
081721N,0974959E,
081750N,0975010E,
081819N,0975022E,
081848N,0975034E,
081917N,0975047E,
081946N,0975100E,
082014N,0975114E,
082042N,0975128E,
082110N,0975143E,
