VTBB,,
0,0,
VTSR_APP,125.1,APP
0,110,
093006N,0985631E,
092953N,0985605E,
092939N,0985540E,
092924N,0985515E,
092909N,0985450E,
092854N,0985425E,
092838N,0985401E,
092822N,0985337E,
092805N,0985313E,
092748N,0985250E,
092731N,0985227E,
092713N,0985205E,
092654N,0985142E,
092635N,0985120E,
092616N,0985059E,
092556N,0985038E,
092536N,0985017E,
092516N,0984956E,
092455N,0984936E,
092434N,0984917E,
092412N,0984858E,
092350N,0984839E,
092328N,0984821E,
092446N,0984719E,
092432N,0984654E,
092418N,0984628E,
092406N,0984602E,
092353N,0984536E,
092342N,0984509E,
092330N,0984442E,
092319N,0984415E,
092309N,0984348E,
092259N,0984321E,
092250N,0984253E,
092242N,0984226E,
092233N,0984158E,
092226N,0984130E,
092219N,0984101E,
092212N,0984033E,
092206N,0984005E,
092201N,0983936E,
092156N,0983907E,
092151N,0983839E,
092147N,0983810E,
092144N,0983741E,
092141N,0983712E,
092139N,0983643E,
092137N,0983614E,
092136N,0983545E,
092136N,0983516E,
092136N,0983447E,
092136N,0983418E,
092137N,0983349E,
092139N,0983320E,
092141N,0983251E,
092144N,0983222E,
092147N,0983153E,
092151N,0983124E,
092156N,0983055E,
092201N,0983026E,
092206N,0982958E,
092212N,0982929E,
092219N,0982901E,
092226N,0982833E,
092234N,0982805E,
092242N,0982737E,
092250N,0982709E,
092300N,0982642E,
092309N,0982614E,
092320N,0982547E,
092331N,0982520E,
092342N,0982453E,
092354N,0982427E,
092406N,0982401E,
092419N,0982335E,
092432N,0982309E,
092446N,0982243E,
092500N,0982218E,
092515N,0982153E,
092530N,0982128E,
092546N,0982104E,
092602N,0982040E,
092619N,0982016E,
092636N,0981952E,
092653N,0981929E,
092711N,0981906E,
092730N,0981844E,
092748N,0981822E,
092808N,0981800E,
092827N,0981739E,
092847N,0981718E,
092908N,0981657E,
092928N,0981637E,
092950N,0981617E,
093011N,0981558E,
093033N,0981539E,
093055N,0981521E,
093118N,0981502E,
093141N,0981445E,
093204N,0981428E,
093228N,0981411E,
093252N,0981355E,
093316N,0981339E,
093341N,0981323E,
093405N,0981308E,
093431N,0981254E,
093456N,0981240E,
093522N,0981227E,
093547N,0981214E,
093614N,0981201E,
093640N,0981150E,
093707N,0981138E,
093733N,0981127E,
093800N,0981117E,
093827N,0981107E,
093855N,0981058E,
093922N,0981049E,
093950N,0981041E,
094018N,0981033E,
094046N,0981026E,
094114N,0981019E,
094142N,0981013E,
094211N,0981007E,
094239N,0981002E,
094308N,0980958E,
094336N,0980954E,
094405N,0980951E,
094434N,0980948E,
094503N,0980946E,
094531N,0980944E,
094600N,0980943E,
094629N,0980942E,
094658N,0980942E,
094727N,0980943E,
094756N,0980944E,
094825N,0980946E,
094853N,0980948E,
094922N,0980951E,
094951N,0980954E,
095019N,0980958E,
095048N,0981002E,
095116N,0981007E,
095145N,0981013E,
095213N,0981019E,
095241N,0981026E,
095309N,0981033E,
095337N,0981041E,
095405N,0981049E,
095432N,0981058E,
095500N,0981107E,
095527N,0981117E,
095554N,0981127E,
095621N,0981138E,
095647N,0981150E,
095713N,0981202E,
095740N,0981214E,
095805N,0981227E,
095831N,0981240E,
095856N,0981254E,
095922N,0981309E,
095946N,0981324E,
100001N,0981333E,
100000N,0983448E,
095812N,0983544E,
101105N,0984111E,
101059N,0984134E,
101051N,0984202E,
101043N,0984230E,
101034N,0984258E,
101024N,0984325E,
101015N,0984353E,
101004N,0984420E,
100953N,0984447E,
100942N,0984514E,
100930N,0984540E,
100918N,0984607E,
100905N,0984633E,
100851N,0984659E,
100838N,0984724E,
100823N,0984750E,
100808N,0984815E,
100753N,0984839E,
100737N,0984904E,
100721N,0984928E,
100704N,0984952E,
100647N,0985015E,
100630N,0985038E,
100612N,0985101E,
100553N,0985123E,
100534N,0985145E,
100515N,0985207E,
100455N,0985228E,
100435N,0985249E,
100415N,0985310E,
100354N,0985330E,
100333N,0985350E,
100311N,0985409E,
100249N,0985428E,
100227N,0985446E,
100204N,0985504E,
100141N,0985522E,
100117N,0985539E,
100054N,0985556E,
100030N,0985612E,
100005N,0985628E,
095941N,0985643E,
095916N,0985658E,
095851N,0985712E,
095825N,0985726E,
095800N,0985739E,
095734N,0985752E,
095708N,0985804E,
095641N,0985816E,
095615N,0985828E,
095548N,0985838E,
095521N,0985849E,
095453N,0985858E,
095426N,0985908E,
095358N,0985916E,
095331N,0985924E,
095303N,0985932E,
095235N,0985939E,
095207N,0985946E,
095138N,0985951E,
095110N,0985957E,
095042N,0990002E,
095013N,0990006E,
094944N,0990010E,
094916N,0990013E,
094847N,0990016E,
094818N,0990018E,
094749N,0990019E,
094720N,0990020E,
094651N,0990021E,
094623N,0990021E,
094554N,0990020E,
094525N,0990019E,
094456N,0990017E,
094427N,0990015E,
094358N,0990012E,
094330N,0990008E,
094301N,0990004E,
094233N,0990000E,
094204N,0985955E,
094136N,0985949E,
094108N,0985943E,
094040N,0985936E,
094012N,0985929E,
093944N,0985921E,
093916N,0985912E,
093849N,0985903E,
093821N,0985854E,
093754N,0985844E,
093727N,0985834E,
093701N,0985823E,
093634N,0985811E,
093608N,0985759E,
093542N,0985746E,
093516N,0985733E,
093450N,0985720E,
093425N,0985706E,
093400N,0985651E,
093335N,0985636E,
093311N,0985621E,
093246N,0985605E,
093223N,0985549E,
093159N,0985532E,
093136N,0985515E,
093006N,0985631E,
