VTBB,,
0,0,
VTSS_APP,126.7,APP
0,160,
070234N,0994841E,
070310N,0994848E,
070346N,0994856E,
070421N,0994904E,
070457N,0994913E,
070532N,0994923E,
070608N,0994933E,
070643N,0994944E,
070717N,0994955E,
070752N,0995007E,
070827N,0995020E,
070901N,0995033E,
070935N,0995047E,
071008N,0995101E,
071042N,0995116E,
071115N,0995132E,
071148N,0995148E,
071221N,0995205E,
071253N,0995222E,
071325N,0995240E,
071357N,0995258E,
071428N,0995317E,
071459N,0995337E,
071530N,0995357E,
071600N,0995417E,
071630N,0995438E,
071700N,0995500E,
071729N,0995522E,
071758N,0995545E,
071827N,0995608E,
071855N,0995632E,
071922N,0995656E,
071950N,0995720E,
072017N,0995745E,
072043N,0995811E,
072109N,0995837E,
072134N,0995903E,
072159N,0995930E,
072224N,0995958E,
072248N,1000025E,
072311N,1000053E,
072334N,1000122E,
072357N,1000151E,
072419N,1000220E,
072441N,1000250E,
072502N,1000320E,
072522N,1000351E,
072542N,1000421E,
072602N,1000452E,
072620N,1000524E,
072639N,1000556E,
072657N,1000628E,
072714N,1000700E,
072731N,1000733E,
072747N,1000806E,
072802N,1000839E,
072817N,1000913E,
072831N,1000947E,
072845N,1001021E,
072858N,1001055E,
072911N,1001130E,
072923N,1001204E,
072934N,1001239E,
072945N,1001314E,
072955N,1001350E,
073005N,1001425E,
073014N,1001501E,
073022N,1001537E,
073029N,1001613E,
073037N,1001649E,
073043N,1001725E,
073049N,1001801E,
073054N,1001838E,
073058N,1001914E,
073102N,1001951E,
073106N,1002027E,
073108N,1002104E,
073110N,1002141E,
073111N,1002217E,
073112N,1002254E,
073112N,1002331E,
073112N,1002407E,
073110N,1002444E,
073109N,1002521E,
073106N,1002558E,
073103N,1002634E,
073059N,1002711E,
073055N,1002747E,
073050N,1002824E,
073044N,1002900E,
073038N,1002936E,
073031N,1003012E,
073023N,1003048E,
073015N,1003124E,
073006N,1003200E,
072957N,1003235E,
072947N,1003311E,
072936N,1003346E,
072925N,1003421E,
072913N,1003455E,
072901N,1003530E,
072848N,1003604E,
072834N,1003639E,
072820N,1003712E,
072805N,1003746E,
072750N,1003819E,
072734N,1003852E,
072717N,1003925E,
072700N,1003958E,
072642N,1004030E,
072624N,1004102E,
072605N,1004133E,
072546N,1004205E,
072526N,1004235E,
072506N,1004306E,
072445N,1004336E,
072423N,1004406E,
072401N,1004435E,
072339N,1004504E,
072316N,1004533E,
072252N,1004601E,
072229N,1004629E,
072204N,1004656E,
072139N,1004723E,
072114N,1004750E,
072048N,1004816E,
072022N,1004842E,
071955N,1004907E,
071928N,1004931E,
071900N,1004956E,
071832N,1005019E,
071804N,1005043E,
071735N,1005105E,
071706N,1005128E,
071636N,1005149E,
071606N,1005211E,
071536N,1005231E,
065625N,1004824E,
065557N,1004824E,
065530N,1004824E,
065502N,1004823E,
065434N,1004822E,
065406N,1004820E,
065338N,1004817E,
065311N,1004814E,
065243N,1004811E,
065215N,1004807E,
065148N,1004802E,
065120N,1004758E,
065053N,1004752E,
065026N,1004746E,
064959N,1004740E,
064932N,1004733E,
064905N,1004725E,
064838N,1004717E,
064812N,1004709E,
064745N,1004700E,
064719N,1004650E,
064653N,1004640E,
064627N,1004630E,
064655N,1004242E,
063607N,1003848E,
062643N,1003828E,
063214N,1002151E,
064209N,1001719E,
064141N,1001319E,
064250N,1001211E,
064507N,1000648E,
070007N,1000448E,
070234N,0994841E,
