VTBB,,
0,0,
VTST_APP,125.3,APP
0,160,
075539N,0993709E,
075539N,0993738E,
075538N,0993807E,
075537N,0993836E,
075536N,0993905E,
075534N,0993934E,
075531N,0994003E,
075528N,0994032E,
075525N,0994100E,
075520N,0994129E,
075516N,0994158E,
075510N,0994226E,
075504N,0994254E,
075458N,0994323E,
075451N,0994351E,
075443N,0994419E,
075435N,0994447E,
075427N,0994514E,
075418N,0994542E,
075408N,0994609E,
075358N,0994636E,
075347N,0994703E,
075336N,0994730E,
075325N,0994756E,
075313N,0994822E,
075300N,0994849E,
075247N,0994914E,
075233N,0994940E,
075219N,0995005E,
075204N,0995030E,
075149N,0995055E,
075134N,0995119E,
075118N,0995143E,
075101N,0995207E,
075044N,0995230E,
075027N,0995254E,
075009N,0995316E,
074951N,0995339E,
074932N,0995401E,
074913N,0995423E,
074854N,0995444E,
074834N,0995505E,
074813N,0995525E,
074753N,0995546E,
074732N,0995605E,
074710N,0995625E,
074648N,0995644E,
074626N,0995702E,
074604N,0995720E,
074541N,0995738E,
074518N,0995755E,
074454N,0995812E,
074430N,0995828E,
074406N,0995844E,
074342N,0995900E,
074317N,0995915E,
074252N,0995929E,
074227N,0995943E,
074201N,0995956E,
074135N,1000009E,
074109N,1000022E,
074043N,1000034E,
074016N,1000045E,
073950N,1000056E,
073923N,1000107E,
073856N,1000117E,
073828N,1000126E,
073801N,1000135E,
073733N,1000143E,
073705N,1000151E,
073637N,1000158E,
073609N,1000205E,
073541N,1000211E,
073513N,1000217E,
073444N,1000222E,
073416N,1000227E,
073347N,1000231E,
073319N,1000234E,
073250N,1000237E,
073221N,1000239E,
073152N,1000241E,
073123N,1000242E,
073055N,1000243E,
073026N,1000243E,
072957N,1000243E,
072928N,1000242E,
072859N,1000240E,
072830N,1000238E,
072802N,1000236E,
072733N,1000233E,
072704N,1000229E,
072636N,1000225E,
072607N,1000220E,
072539N,1000214E,
072511N,1000209E,
072443N,1000202E,
072415N,1000155E,
072357N,1000150E,
072311N,1000053E,
072248N,1000025E,
072224N,0995958E,
072159N,0995930E,
072134N,0995903E,
072109N,0995837E,
072043N,0995811E,
072017N,0995745E,
071950N,0995720E,
071922N,0995656E,
071855N,0995632E,
071827N,0995608E,
071758N,0995545E,
071729N,0995522E,
