VTBB,,
0,0,
VTUD_APP,126.2,APP
0,160,
172330N,1031752E,
172258N,1031752E,
172227N,1031751E,
172155N,1031750E,
172124N,1031749E,
172052N,1031747E,
172021N,1031744E,
171950N,1031741E,
171919N,1031737E,
171847N,1031732E,
171816N,1031727E,
171745N,1031722E,
171714N,1031716E,
171644N,1031709E,
171613N,1031702E,
171542N,1031654E,
171512N,1031646E,
171442N,1031637E,
171412N,1031628E,
171342N,1031618E,
171312N,1031607E,
171242N,1031556E,
171213N,1031545E,
171144N,1031532E,
171114N,1031520E,
171046N,1031507E,
171017N,1031453E,
170949N,1031439E,
170921N,1031424E,
170853N,1031409E,
170825N,1031353E,
170758N,1031337E,
170731N,1031320E,
170704N,1031303E,
170638N,1031246E,
170611N,1031228E,
170545N,1031209E,
170520N,1031150E,
170455N,1031130E,
170430N,1031110E,
170405N,1031050E,
170341N,1031029E,
170317N,1031008E,
170253N,1030946E,
170230N,1030924E,
170208N,1030902E,
170145N,1030839E,
170123N,1030815E,
170101N,1030751E,
170040N,1030727E,
170019N,1030703E,
165959N,1030638E,
165939N,1030613E,
165920N,1030547E,
165900N,1030521E,
165842N,1030455E,
165823N,1030428E,
165806N,1030401E,
165748N,1030334E,
165731N,1030306E,
165715N,1030239E,
165659N,1030210E,
165644N,1030142E,
165629N,1030113E,
165614N,1030044E,
165600N,1030015E,
165546N,1025946E,
165533N,1025916E,
165521N,1025846E,
165509N,1025816E,
165457N,1025745E,
165446N,1025715E,
165436N,1025644E,
165426N,1025613E,
165416N,1025542E,
165407N,1025510E,
165359N,1025439E,
165351N,1025407E,
165343N,1025336E,
165337N,1025304E,
165330N,1025232E,
165324N,1025200E,
165319N,1025127E,
165315N,1025055E,
165310N,1025023E,
165307N,1024950E,
165304N,1024918E,
165301N,1024845E,
165259N,1024812E,
165258N,1024740E,
165257N,1024707E,
165256N,1024635E,
165257N,1024602E,
165257N,1024529E,
165259N,1024457E,
165300N,1024424E,
165303N,1024351E,
165306N,1024319E,
165309N,1024246E,
165313N,1024214E,
165318N,1024142E,
165323N,1024109E,
165328N,1024037E,
165335N,1024005E,
165341N,1023933E,
165348N,1023901E,
165356N,1023830E,
165405N,1023758E,
165413N,1023727E,
165423N,1023656E,
165433N,1023625E,
165443N,1023554E,
165454N,1023523E,
165505N,1023453E,
165517N,1023422E,
165529N,1023352E,
165542N,1023323E,
165556N,1023253E,
165610N,1023224E,
165624N,1023155E,
165639N,1023126E,
165654N,1023057E,
165710N,1023029E,
165726N,1023001E,
165743N,1022933E,
165800N,1022906E,
165818N,1022839E,
165836N,1022812E,
165855N,1022746E,
165914N,1022720E,
165933N,1022654E,
165953N,1022629E,
170013N,1022604E,
170034N,1022539E,
170055N,1022515E,
170116N,1022451E,
170138N,1022428E,
170201N,1022405E,
170223N,1022342E,
170246N,1022320E,
170310N,1022258E,
170334N,1022236E,
170358N,1022215E,
170422N,1022155E,
170447N,1022135E,
170512N,1022115E,
170538N,1022056E,
170603N,1022037E,
170629N,1022019E,
170656N,1022001E,
170723N,1021944E,
170750N,1021927E,
170817N,1021911E,
170844N,1021855E,
170912N,1021839E,
170940N,1021825E,
171008N,1021810E,
171037N,1021756E,
171106N,1021743E,
171135N,1021730E,
171204N,1021718E,
171233N,1021706E,
171303N,1021655E,
171332N,1021645E,
171402N,1021634E,
171432N,1021625E,
171503N,1021616E,
171533N,1021607E,
171604N,1021559E,
171634N,1021552E,
171705N,1021545E,
171736N,1021539E,
171807N,1021533E,
171838N,1021528E,
171909N,1021524E,
171940N,1021520E,
172012N,1021516E,
172043N,1021513E,
172114N,1021511E,
172146N,1021509E,
172217N,1021508E,
172249N,1021507E,
172320N,1021507E,
172351N,1021508E,
172423N,1021509E,
172454N,1021511E,
172526N,1021513E,
172557N,1021516E,
172628N,1021519E,
172700N,1021523E,
172731N,1021528E,
172802N,1021533E,
172833N,1021538E,
172904N,1021545E,
172934N,1021551E,
173005N,1021559E,
173036N,1021607E,
173106N,1021615E,
173136N,1021624E,
173206N,1021633E,
173236N,1021644E,
173306N,1021654E,
173336N,1021705E,
173405N,1021717E,
173434N,1021729E,
173503N,1021742E,
173532N,1021755E,
173600N,1021809E,
173629N,1021823E,
173657N,1021838E,
173725N,1021854E,
173752N,1021909E,
173819N,1021926E,
173846N,1021943E,
173913N,1022000E,
173940N,1022018E,
174006N,1022036E,
174031N,1022055E,
174057N,1022114E,
174122N,1022134E,
174147N,1022154E,
174211N,1022214E,
174236N,1022235E,
174259N,1022257E,
174323N,1022319E,
174346N,1022341E,
174409N,1022404E,
174431N,1022427E,
174453N,1022451E,
174514N,1022515E,
174535N,1022539E,
174556N,1022604E,
174616N,1022629E,
174636N,1022654E,
174656N,1022720E,
174715N,1022746E,
174733N,1022813E,
174751N,1022840E,
174809N,1022907E,
174826N,1022934E,
174843N,1023002E,
174859N,1023030E,
174915N,1023058E,
174930N,1023127E,
174945N,1023156E,
174959N,1023225E,
175013N,1023255E,
175027N,1023325E,
175040N,1023354E,
175052N,1023425E,
175104N,1023455E,
175115N,1023526E,
175115N,1023527E,
175045N,1023523E,
174817N,1024043E,
175217N,1024125E,
175257N,1024233E,
175259N,1024252E,
175302N,1024324E,
175305N,1024357E,
175307N,1024430E,
175309N,1024502E,
175310N,1024535E,
175311N,1024608E,
175311N,1024641E,
175310N,1024714E,
175309N,1024747E,
175308N,1024819E,
175306N,1024852E,
175303N,1024925E,
175300N,1024958E,
175256N,1025030E,
175252N,1025103E,
175247N,1025135E,
175242N,1025208E,
175236N,1025240E,
175229N,1025312E,
175222N,1025344E,
175215N,1025416E,
175207N,1025448E,
175158N,1025519E,
175149N,1025551E,
175139N,1025622E,
175129N,1025653E,
175118N,1025724E,
175107N,1025755E,
175056N,1025825E,
175043N,1025855E,
175031N,1025925E,
175017N,1025955E,
175004N,1030025E,
174950N,1030054E,
174935N,1030123E,
174920N,1030152E,
174904N,1030220E,
174848N,1030249E,
174831N,1030316E,
174814N,1030344E,
174757N,1030411E,
174739N,1030438E,
174720N,1030505E,
174701N,1030531E,
174642N,1030557E,
174622N,1030623E,
174602N,1030648E,
174542N,1030713E,
174521N,1030737E,
174459N,1030801E,
174438N,1030825E,
174415N,1030848E,
174353N,1030911E,
174330N,1030934E,
174307N,1030956E,
174243N,1031017E,
174219N,1031038E,
174154N,1031059E,
174130N,1031119E,
174105N,1031139E,
174039N,1031159E,
174014N,1031217E,
173948N,1031236E,
173921N,1031254E,
173855N,1031311E,
173828N,1031328E,
173801N,1031345E,
173733N,1031401E,
173705N,1031416E,
173637N,1031431E,
173609N,1031446E,
173541N,1031500E,
173512N,1031513E,
173443N,1031526E,
173414N,1031538E,
173345N,1031550E,
173315N,1031602E,
173245N,1031612E,
173216N,1031623E,
173145N,1031632E,
173115N,1031641E,
173045N,1031650E,
173014N,1031658E,
172944N,1031706E,
172913N,1031713E,
172842N,1031719E,
172811N,1031725E,
172740N,1031730E,
172709N,1031735E,
172638N,1031739E,
172607N,1031742E,
172535N,1031745E,
172504N,1031748E,
172433N,1031750E,
172401N,1031751E,
172330N,1031752E,
