VTBB,,
0,0,
VTUI_APP,123.35,APP
0,160,
164243N,1040841E,
164243N,1040809E,
164243N,1040736E,
164244N,1040704E,
164246N,1040631E,
164248N,1040559E,
164250N,1040526E,
164253N,1040454E,
164257N,1040421E,
164301N,1040349E,
164305N,1040317E,
164311N,1040245E,
164316N,1040213E,
164323N,1040141E,
164329N,1040109E,
164337N,1040038E,
164345N,1040006E,
164353N,1035935E,
164402N,1035903E,
164411N,1035832E,
164421N,1035801E,
164432N,1035731E,
164443N,1035700E,
164454N,1035630E,
164506N,1035600E,
164518N,1035530E,
164531N,1035500E,
164545N,1035431E,
164559N,1035402E,
164613N,1035333E,
164628N,1035304E,
164643N,1035236E,
164659N,1035208E,
164716N,1035140E,
164732N,1035112E,
164750N,1035045E,
164807N,1035018E,
164825N,1034952E,
164844N,1034925E,
164903N,1034900E,
164922N,1034834E,
164942N,1034809E,
165003N,1034744E,
165023N,1034719E,
165044N,1034655E,
165106N,1034632E,
165128N,1034608E,
165150N,1034545E,
165213N,1034523E,
165236N,1034501E,
165259N,1034439E,
165323N,1034418E,
165347N,1034357E,
165411N,1034336E,
165436N,1034316E,
165501N,1034257E,
165527N,1034238E,
165552N,1034219E,
165619N,1034201E,
165645N,1034143E,
165712N,1034126E,
165738N,1034109E,
165806N,1034053E,
165833N,1034037E,
165901N,1034022E,
165929N,1034007E,
165957N,1033953E,
170025N,1033939E,
170054N,1033926E,
170123N,1033914E,
170152N,1033901E,
170221N,1033850E,
170251N,1033839E,
170321N,1033828E,
170350N,1033818E,
170420N,1033808E,
170451N,1033759E,
170521N,1033751E,
170551N,1033743E,
170622N,1033736E,
170653N,1033729E,
170723N,1033723E,
170754N,1033717E,
170825N,1033712E,
170856N,1033708E,
170927N,1033704E,
170959N,1033700E,
171030N,1033657E,
171101N,1033655E,
171133N,1033653E,
171204N,1033652E,
171235N,1033651E,
171307N,1033651E,
171338N,1033652E,
171409N,1033653E,
171441N,1033655E,
171512N,1033657E,
171543N,1033700E,
171614N,1033703E,
171646N,1033707E,
171717N,1033712E,
171748N,1033717E,
171819N,1033722E,
171849N,1033728E,
171920N,1033735E,
171951N,1033742E,
172021N,1033750E,
172051N,1033759E,
172122N,1033807E,
172152N,1033817E,
172221N,1033827E,
172251N,1033837E,
172321N,1033849E,
172350N,1033900E,
172419N,1033912E,
172448N,1033925E,
172517N,1033938E,
172545N,1033952E,
172613N,1034006E,
172641N,1034021E,
172709N,1034036E,
172737N,1034052E,
172804N,1034108E,
172831N,1034125E,
172857N,1034142E,
172924N,1034200E,
172950N,1034218E,
173016N,1034237E,
173041N,1034256E,
173106N,1034315E,
173131N,1034335E,
173155N,1034356E,
173220N,1034417E,
173243N,1034438E,
173307N,1034500E,
173330N,1034522E,
173352N,1034545E,
173415N,1034608E,
173437N,1034631E,
173458N,1034655E,
173519N,1034719E,
173540N,1034744E,
173600N,1034809E,
173620N,1034834E,
173639N,1034900E,
173659N,1034926E,
173717N,1034952E,
173735N,1035019E,
173753N,1035046E,
173810N,1035113E,
173827N,1035141E,
173843N,1035209E,
173859N,1035237E,
173914N,1035305E,
173929N,1035334E,
173944N,1035403E,
173958N,1035433E,
174011N,1035502E,
174024N,1035532E,
174036N,1035602E,
174048N,1035632E,
174100N,1035703E,
174111N,1035733E,
174121N,1035804E,
174131N,1035835E,
174140N,1035907E,
174149N,1035938E,
174157N,1040009E,
174205N,1040041E,
174212N,1040113E,
174219N,1040145E,
174225N,1040217E,
174231N,1040249E,
174236N,1040322E,
174241N,1040354E,
174245N,1040426E,
174248N,1040459E,
174251N,1040532E,
174253N,1040604E,
174255N,1040637E,
174257N,1040710E,
174257N,1040742E,
174256N,1042702E,
172400N,1044810E,
171035N,1044827E,
170101N,1044359E,
164240N,1044452E,
164243N,1040841E,
