VTBB,,
0,0,
VTUK_APP,123.4,APP
0,160,
165538N,1030016E,
165524N,1030046E,
165511N,1030115E,
165456N,1030144E,
165442N,1030212E,
165426N,1030241E,
165411N,1030309E,
165355N,1030336E,
165338N,1030404E,
165321N,1030431E,
165304N,1030458E,
165246N,1030525E,
165227N,1030551E,
165208N,1030617E,
165149N,1030642E,
165130N,1030707E,
165109N,1030732E,
165049N,1030757E,
165028N,1030821E,
165007N,1030844E,
164945N,1030908E,
164923N,1030931E,
164901N,1030953E,
164838N,1031015E,
164815N,1031037E,
164751N,1031058E,
164727N,1031119E,
164703N,1031140E,
164638N,1031200E,
164613N,1031219E,
164548N,1031238E,
164523N,1031257E,
164457N,1031315E,
164431N,1031333E,
164404N,1031350E,
164338N,1031407E,
164311N,1031423E,
164243N,1031439E,
164216N,1031454E,
164148N,1031509E,
164120N,1031523E,
164052N,1031537E,
164023N,1031550E,
163955N,1031603E,
163926N,1031616E,
163857N,1031627E,
163827N,1031638E,
163758N,1031649E,
163728N,1031659E,
163658N,1031709E,
163628N,1031718E,
163558N,1031727E,
163528N,1031735E,
163458N,1031742E,
163427N,1031749E,
163356N,1031755E,
163326N,1031801E,
163255N,1031806E,
163224N,1031811E,
163153N,1031815E,
163122N,1031819E,
163051N,1031822E,
163020N,1031824E,
162949N,1031826E,
162917N,1031828E,
162846N,1031828E,
162815N,1031829E,
162744N,1031828E,
162713N,1031828E,
162641N,1031826E,
162610N,1031824E,
162539N,1031822E,
162508N,1031819E,
162437N,1031815E,
162406N,1031811E,
162335N,1031806E,
162304N,1031801E,
162231N,1031935E,
162209N,1031922E,
162114N,1031850E,
162046N,1031835E,
162018N,1031820E,
161950N,1031806E,
161921N,1031753E,
161853N,1031740E,
161824N,1031727E,
161754N,1031715E,
161725N,1031704E,
161655N,1031653E,
161625N,1031642E,
161555N,1031632E,
161525N,1031623E,
161455N,1031614E,
161425N,1031606E,
161354N,1031558E,
161323N,1031551E,
161310N,1031548E,
161337N,1031432E,
161309N,1031416E,
161242N,1031400E,
161216N,1031343E,
161149N,1031325E,
161123N,1031307E,
161057N,1031249E,
161032N,1031230E,
161006N,1031210E,
160941N,1031151E,
160917N,1031130E,
160853N,1031110E,
160829N,1031048E,
160805N,1031027E,
160742N,1031005E,
160719N,1030943E,
160657N,1030920E,
160635N,1030857E,
160613N,1030833E,
160552N,1030809E,
160531N,1030745E,
160511N,1030720E,
160451N,1030655E,
160431N,1030630E,
160412N,1030604E,
160354N,1030538E,
160335N,1030511E,
160317N,1030445E,
160300N,1030417E,
160243N,1030350E,
160227N,1030322E,
160211N,1030254E,
160155N,1030226E,
160140N,1030158E,
160126N,1030129E,
160112N,1030100E,
160058N,1030031E,
160045N,1030001E,
160032N,1025931E,
160020N,1025901E,
160009N,1025831E,
155958N,1025801E,
155947N,1025730E,
155937N,1025659E,
155928N,1025628E,
155918N,1025557E,
155910N,1025526E,
