VTBB,,
0,0,
VTSP_APP,127.6,APP
0,160,
172844N,1012233E,
172913N,1012236E,
172942N,1012240E,
173011N,1012245E,
173040N,1012250E,
173108N,1012257E,
173137N,1012303E,
173205N,1012311E,
173233N,1012319E,
173301N,1012328E,
173329N,1012338E,
173356N,1012349E,
173423N,1012400E,
173450N,1012411E,
173517N,1012424E,
173543N,1012437E,
173609N,1012451E,
173635N,1012505E,
173700N,1012520E,
173725N,1012536E,
173750N,1012553E,
173814N,1012610E,
173838N,1012627E,
173901N,1012645E,
173924N,1012704E,
173947N,1012724E,
174009N,1012743E,
174030N,1012804E,
174052N,1012825E,
174112N,1012847E,
174132N,1012909E,
174152N,1012931E,
174211N,1012954E,
174230N,1013018E,
174248N,1013042E,
174305N,1013106E,
174322N,1013131E,
174338N,1013156E,
174354N,1013222E,
174409N,1013248E,
174423N,1013315E,
174437N,1013342E,
174450N,1013409E,
174503N,1013436E,
174515N,1013504E,
174526N,1013532E,
174537N,1013601E,
174547N,1013629E,
174556N,1013658E,
174604N,1013727E,
174612N,1013757E,
174620N,1013826E,
174626N,1013856E,
174632N,1013926E,
174637N,1013956E,
174642N,1014026E,
174645N,1014056E,
174649N,1014126E,
174651N,1014157E,
174653N,1014227E,
174653N,1014258E,
174654N,1014328E,
174653N,1014359E,
174652N,1014429E,
174650N,1014459E,
174648N,1014530E,
174644N,1014600E,
174640N,1014630E,
174635N,1014700E,
174630N,1014730E,
174624N,1014800E,
174617N,1014830E,
174610N,1014859E,
174602N,1014928E,
174553N,1014957E,
174543N,1015026E,
174533N,1015055E,
174522N,1015123E,
174511N,1015151E,
174458N,1015219E,
174446N,1015246E,
174432N,1015313E,
174418N,1015340E,
174404N,1015406E,
174348N,1015432E,
174332N,1015458E,
174316N,1015523E,
174259N,1015548E,
174241N,1015612E,
174223N,1015636E,
174204N,1015659E,
174145N,1015722E,
174125N,1015745E,
174105N,1015806E,
174044N,1015828E,
174023N,1015849E,
174001N,1015909E,
173939N,1015929E,
173916N,1015948E,
173853N,1020006E,
173829N,1020024E,
173805N,1020042E,
173741N,1020059E,
173716N,1020115E,
173651N,1020130E,
173626N,1020145E,
173600N,1020159E,
173534N,1020213E,
173507N,1020226E,
173441N,1020238E,
173414N,1020250E,
173346N,1020300E,
173319N,1020311E,
173251N,1020320E,
173223N,1020329E,
173155N,1020337E,
173127N,1020344E,
173058N,1020351E,
172929N,1021550E,
172900N,1021544E,
172830N,1021538E,
172800N,1021532E,
172730N,1021528E,
172700N,1021523E,
172630N,1021519E,
172600N,1021516E,
172530N,1021513E,
172500N,1021511E,
172430N,1021509E,
172359N,1021508E,
172329N,1021507E,
172259N,1021507E,
172228N,1021508E,
172158N,1021509E,
172128N,1021510E,
172058N,1021512E,
172028N,1021515E,
171957N,1021518E,
171927N,1021521E,
172056N,1020323E,
172028N,1020313E,
172001N,1020303E,
171933N,1020253E,
171906N,1020241E,
171839N,1020229E,
171813N,1020216E,
171746N,1020203E,
171720N,1020149E,
171655N,1020134E,
171629N,1020119E,
171604N,1020103E,
171540N,1020046E,
171516N,1020029E,
171452N,1020011E,
171428N,1015952E,
171405N,1015933E,
171343N,1015914E,
171321N,1015853E,
171300N,1015833E,
171239N,1015811E,
171218N,1015750E,
171158N,1015727E,
171139N,1015704E,
171120N,1015641E,
171101N,1015617E,
171043N,1015553E,
171026N,1015528E,
171010N,1015503E,
170953N,1015438E,
170938N,1015412E,
170923N,1015346E,
170909N,1015319E,
170855N,1015252E,
170842N,1015224E,
170830N,1015157E,
170818N,1015129E,
170807N,1015101E,
170757N,1015032E,
170747N,1015003E,
170738N,1014934E,
170730N,1014905E,
170722N,1014836E,
170715N,1014806E,
170709N,1014736E,
170703N,1014706E,
170658N,1014636E,
170654N,1014606E,
170651N,1014536E,
170648N,1014505E,
170646N,1014435E,
170645N,1014404E,
170644N,1014334E,
170644N,1014303E,
170645N,1014233E,
170646N,1014202E,
170649N,1014132E,
170652N,1014102E,
170655N,1014031E,
170700N,1014001E,
170705N,1013931E,
170710N,1013901E,
170717N,1013832E,
170724N,1013802E,
170732N,1013733E,
170740N,1013703E,
170750N,1013634E,
170800N,1013606E,
170810N,1013537E,
170821N,1013509E,
170833N,1013441E,
170846N,1013414E,
170859N,1013346E,
170913N,1013319E,
170927N,1013253E,
170942N,1013227E,
170958N,1013201E,
171014N,1013135E,
171031N,1013110E,
171048N,1013046E,
171106N,1013022E,
171125N,1012958E,
171144N,1012935E,
171203N,1012912E,
171223N,1012850E,
171244N,1012828E,
171305N,1012807E,
171327N,1012747E,
170918N,1011752E,
170943N,1011733E,
171009N,1011715E,
171035N,1011658E,
171101N,1011641E,
171127N,1011624E,
171154N,1011608E,
171220N,1011552E,
171248N,1011537E,
171315N,1011523E,
171342N,1011508E,
171410N,1011455E,
171438N,1011441E,
171506N,1011429E,
171535N,1011416E,
171604N,1011405E,
171632N,1011354E,
171701N,1011343E,
171730N,1011333E,
171800N,1011323E,
171829N,1011314E,
171859N,1011305E,
171929N,1011257E,
171959N,1011249E,
172029N,1011242E,
172059N,1011236E,
172129N,1011230E,
172159N,1011225E,
172230N,1011220E,
172300N,1011215E,
172331N,1011211E,
172401N,1011208E,
172432N,1011205E,
172503N,1011203E,
172533N,1011202E,
172604N,1011200E,
172635N,1011200E,
172706N,1011200E,
172844N,1012233E,
