VTBB,,
0,0,
VTUO_APP,125.55,APP
0,110,
152820N,1033024E,
152758N,1033045E,
152737N,1033105E,
152714N,1033124E,
152652N,1033143E,
152629N,1033202E,
152605N,1033220E,
152541N,1033237E,
152517N,1033254E,
152452N,1033310E,
152427N,1033325E,
152401N,1033340E,
152335N,1033354E,
152309N,1033408E,
152243N,1033420E,
152216N,1033433E,
152149N,1033444E,
152122N,1033455E,
152054N,1033505E,
152026N,1033514E,
151958N,1033523E,
151930N,1033531E,
151902N,1033539E,
151833N,1033545E,
151805N,1033551E,
151736N,1033556E,
151707N,1033601E,
151638N,1033604E,
151622N,1033606E,
151618N,1033624E,
151609N,1033653E,
151601N,1033721E,
151552N,1033749E,
151542N,1033817E,
151532N,1033845E,
151521N,1033912E,
151509N,1033940E,
151458N,1034007E,
151445N,1034034E,
151433N,1034100E,
151419N,1034127E,
151406N,1034153E,
151351N,1034218E,
151337N,1034244E,
151321N,1034309E,
151306N,1034334E,
151250N,1034359E,
151233N,1034423E,
151216N,1034447E,
151158N,1034511E,
151141N,1034534E,
151122N,1034557E,
151103N,1034619E,
151044N,1034641E,
151025N,1034703E,
151005N,1034724E,
150944N,1034745E,
150923N,1034806E,
150902N,1034826E,
150841N,1034846E,
150819N,1034905E,
150757N,1034924E,
150734N,1034943E,
150711N,1035000E,
150648N,1035018E,
150624N,1035035E,
150600N,1035052E,
150536N,1035108E,
150512N,1035123E,
150447N,1035139E,
150422N,1035153E,
150357N,1035207E,
150331N,1035221E,
150305N,1035234E,
150239N,1035247E,
150213N,1035259E,
150146N,1035311E,
150120N,1035322E,
150053N,1035332E,
150026N,1035342E,
145958N,1035352E,
145931N,1035401E,
145903N,1035409E,
145835N,1035417E,
145807N,1035424E,
145739N,1035431E,
145711N,1035437E,
145643N,1035443E,
145614N,1035448E,
145546N,1035452E,
145517N,1035456E,
145449N,1035500E,
145420N,1035503E,
145351N,1035505E,
145323N,1035507E,
145254N,1035508E,
145225N,1035508E,
145156N,1035508E,
145018N,1034953E,
144949N,1034950E,
144920N,1034946E,
144851N,1034942E,
144822N,1034936E,
144753N,1034930E,
144725N,1034923E,
144657N,1034916E,
144628N,1034908E,
144600N,1034859E,
144533N,1034849E,
144505N,1034839E,
144438N,1034828E,
144411N,1034817E,
144344N,1034804E,
144318N,1034751E,
144251N,1034738E,
144226N,1034723E,
144200N,1034708E,
144135N,1034653E,
144110N,1034637E,
144046N,1034620E,
144022N,1034603E,
143959N,1034545E,
143936N,1034526E,
143913N,1034507E,
143851N,1034447E,
143829N,1034427E,
143808N,1034406E,
143747N,1034345E,
143727N,1034323E,
143707N,1034301E,
143648N,1034238E,
143629N,1034215E,
143611N,1034151E,
143554N,1034127E,
143537N,1034103E,
143521N,1034038E,
143505N,1034012E,
143450N,1033947E,
143435N,1033920E,
143421N,1033854E,
143408N,1033827E,
143355N,1033800E,
143343N,1033733E,
143332N,1033705E,
143321N,1033637E,
143311N,1033609E,
143302N,1033540E,
143253N,1033511E,
143245N,1033442E,
143238N,1033413E,
143232N,1033344E,
143226N,1033314E,
143220N,1033245E,
143216N,1033215E,
143212N,1033145E,
143209N,1033115E,
143207N,1033045E,
143205N,1033015E,
143204N,1032945E,
143204N,1032915E,
143204N,1032845E,
143205N,1032815E,
143207N,1032745E,
143210N,1032715E,
143213N,1032645E,
143217N,1032616E,
143222N,1032546E,
143227N,1032516E,
143233N,1032447E,
143240N,1032418E,
143248N,1032349E,
143256N,1032320E,
143305N,1032251E,
143314N,1032223E,
143324N,1032154E,
143335N,1032126E,
143347N,1032059E,
143359N,1032031E,
143412N,1032004E,
143425N,1031938E,
143439N,1031911E,
143454N,1031845E,
143509N,1031820E,
143525N,1031754E,
143542N,1031729E,
143559N,1031705E,
143616N,1031641E,
143635N,1031617E,
143653N,1031554E,
143713N,1031532E,
143732N,1031509E,
143753N,1031448E,
143814N,1031427E,
143618N,1030919E,
143640N,1030901E,
143703N,1030843E,
143726N,1030825E,
143750N,1030808E,
143813N,1030751E,
143838N,1030735E,
143902N,1030719E,
143927N,1030704E,
143951N,1030650E,
144017N,1030635E,
144042N,1030622E,
144108N,1030608E,
144134N,1030556E,
144200N,1030543E,
144226N,1030532E,
144253N,1030521E,
144320N,1030510E,
144347N,1030500E,
144414N,1030450E,
144441N,1030441E,
144509N,1030433E,
144536N,1030425E,
