VTBB,,
0,0,
VTUO_APP,123.6,APP
0,160,
143626N,1013424E,
144624N,1014902E,
145944N,1021819E,
150220N,1023956E,
150155N,1024001E,
150120N,1024007E,
150044N,1024012E,
150009N,1024016E,
145933N,1024020E,
145858N,1024023E,
145822N,1024026E,
145746N,1024028E,
145710N,1024029E,
145634N,1024030E,
145619N,1024030E,
145345N,1021905E,
144128N,1015235E,
143145N,1013818E,
143150N,1013813E,
143216N,1013748E,
143243N,1013722E,
143311N,1013658E,
143339N,1013634E,
143407N,1013610E,
143435N,1013547E,
143504N,1013524E,
143534N,1013502E,
143603N,1013441E,
143626N,1013424E,
