VTBB,,
0,0,
VTUU_APP,123.5,APP
0,110,
154450N,1045127E,
154449N,1045055E,
154447N,1045023E,
154446N,1044950E,
154443N,1044918E,
154440N,1044845E,
154437N,1044813E,
154433N,1044741E,
154428N,1044709E,
154423N,1044637E,
154417N,1044605E,
154411N,1044533E,
154404N,1044501E,
154357N,1044430E,
154349N,1044358E,
154341N,1044327E,
154332N,1044256E,
154323N,1044225E,
154313N,1044154E,
154302N,1044123E,
154251N,1044053E,
154240N,1044023E,
154228N,1043953E,
154215N,1043923E,
154202N,1043853E,
154149N,1043824E,
154135N,1043755E,
154120N,1043726E,
154105N,1043657E,
154050N,1043629E,
154034N,1043601E,
154018N,1043533E,
154001N,1043506E,
153943N,1043439E,
153926N,1043412E,
153907N,1043345E,
153849N,1043319E,
153830N,1043254E,
153810N,1043228E,
153750N,1043203E,
153730N,1043138E,
153709N,1043114E,
153648N,1043050E,
153626N,1043026E,
153604N,1043003E,
153542N,1042940E,
153519N,1042918E,
153456N,1042856E,
153432N,1042834E,
153409N,1042813E,
153344N,1042753E,
153320N,1042732E,
153255N,1042712E,
153230N,1042653E,
153204N,1042634E,
153138N,1042616E,
153112N,1042558E,
153045N,1042540E,
153019N,1042523E,
152952N,1042507E,
152924N,1042451E,
152857N,1042435E,
152829N,1042420E,
152801N,1042406E,
152732N,1042351E,
152704N,1042338E,
152635N,1042325E,
152606N,1042312E,
152537N,1042300E,
152507N,1042249E,
152438N,1042238E,
152408N,1042228E,
152338N,1042218E,
152308N,1042209E,
152237N,1042200E,
152207N,1042152E,
152136N,1042144E,
152106N,1042137E,
152035N,1042130E,
152004N,1042124E,
151933N,1042119E,
151902N,1042114E,
151831N,1042110E,
151759N,1042106E,
151728N,1042103E,
151657N,1042100E,
151625N,1042058E,
151554N,1042056E,
151522N,1042055E,
151451N,1042055E,
151420N,1042055E,
151348N,1042056E,
151317N,1042057E,
151245N,1042059E,
151214N,1042101E,
151143N,1042104E,
151111N,1042108E,
151040N,1042112E,
151009N,1042117E,
150938N,1042122E,
150907N,1042128E,
150836N,1042134E,
150805N,1042141E,
150735N,1042148E,
150704N,1042156E,
150634N,1042205E,
150604N,1042214E,
150534N,1042223E,
150504N,1042234E,
150434N,1042244E,
150404N,1042255E,
150335N,1042307E,
150306N,1042319E,
150237N,1042332E,
150208N,1042345E,
150140N,1042359E,
150112N,1042413E,
150044N,1042428E,
150016N,1042444E,
145949N,1042459E,
145921N,1042516E,
145854N,1042532E,
145828N,1042550E,
145801N,1042607E,
145735N,1042625E,
145710N,1042644E,
145644N,1042703E,
145619N,1042723E,
145554N,1042743E,
145530N,1042803E,
145506N,1042824E,
145442N,1042845E,
145419N,1042907E,
145356N,1042929E,
145333N,1042952E,
145311N,1043015E,
145249N,1043038E,
145228N,1043102E,
145207N,1043126E,
145146N,1043150E,
145126N,1043215E,
145107N,1043240E,
145047N,1043306E,
145028N,1043332E,
145010N,1043358E,
144952N,1043424E,
144934N,1043451E,
144917N,1043518E,
144901N,1043546E,
144844N,1043613E,
144829N,1043641E,
144813N,1043710E,
144759N,1043738E,
144744N,1043807E,
144731N,1043836E,
144717N,1043905E,
144705N,1043935E,
144652N,1044005E,
144640N,1044035E,
144629N,1044105E,
144618N,1044135E,
144608N,1044206E,
144558N,1044237E,
144549N,1044308E,
144541N,1044339E,
144532N,1044410E,
144525N,1044441E,
144518N,1044513E,
144511N,1044544E,
144505N,1044616E,
144500N,1044648E,
144455N,1044720E,
144450N,1044752E,
144446N,1044824E,
144443N,1044856E,
144440N,1044928E,
144438N,1045001E,
144436N,1045033E,
144435N,1045105E,
144435N,1045137E,
144435N,1045210E,
144435N,1045242E,
144436N,1045314E,
144438N,1045347E,
144440N,1045419E,
144443N,1045451E,
144446N,1045523E,
144449N,1045555E,
144454N,1045627E,
144459N,1045659E,
144504N,1045731E,
144510N,1045803E,
144516N,1045835E,
144523N,1045906E,
144531N,1045938E,
144539N,1050009E,
144548N,1050040E,
144557N,1050111E,
144606N,1050142E,
144616N,1050212E,
144627N,1050243E,
144638N,1050313E,
144650N,1050343E,
144702N,1050413E,
144715N,1050442E,
144728N,1050512E,
144742N,1050541E,
144756N,1050610E,
144810N,1050638E,
144826N,1050707E,
144841N,1050735E,
144857N,1050803E,
144914N,1050830E,
144931N,1050857E,
144948N,1050924E,
145006N,1050951E,
145025N,1051017E,
145043N,1051043E,
