VTBB,,
0,0,
VTUV_APP,125.4,APP
0,110,
163707N,1034550E,
163708N,1034622E,
163707N,1034655E,
163706N,1034727E,
163705N,1034800E,
163703N,1034833E,
163700N,1034905E,
163657N,1034938E,
163654N,1035010E,
163650N,1035042E,
163645N,1035115E,
163640N,1035147E,
163634N,1035219E,
163628N,1035251E,
163621N,1035323E,
163613N,1035354E,
163605N,1035426E,
163557N,1035457E,
163548N,1035529E,
163538N,1035600E,
163528N,1035631E,
163518N,1035701E,
163507N,1035732E,
163455N,1035802E,
163443N,1035832E,
163430N,1035902E,
163417N,1035932E,
163404N,1040001E,
163350N,1040030E,
163335N,1040059E,
163320N,1040128E,
163305N,1040156E,
163249N,1040224E,
163232N,1040252E,
163215N,1040320E,
163158N,1040347E,
163140N,1040414E,
163122N,1040440E,
163103N,1040506E,
163044N,1040532E,
163024N,1040558E,
163004N,1040623E,
162944N,1040648E,
162923N,1040712E,
162901N,1040736E,
162840N,1040800E,
162818N,1040823E,
162755N,1040846E,
162732N,1040908E,
162709N,1040930E,
162645N,1040952E,
162622N,1041013E,
162557N,1041033E,
162533N,1041054E,
162508N,1041114E,
162442N,1041133E,
162417N,1041152E,
162351N,1041210E,
162325N,1041228E,
162258N,1041246E,
162231N,1041303E,
162204N,1041319E,
162137N,1041335E,
162109N,1041351E,
162041N,1041406E,
162013N,1041420E,
161944N,1041434E,
161916N,1041448E,
161847N,1041501E,
161818N,1041513E,
161749N,1041525E,
161719N,1041536E,
161649N,1041547E,
161620N,1041558E,
161550N,1041607E,
161519N,1041617E,
161449N,1041625E,
161419N,1041633E,
161348N,1041641E,
161317N,1041648E,
161247N,1041655E,
161216N,1041700E,
161145N,1041706E,
161113N,1041711E,
161042N,1041715E,
161011N,1041719E,
160940N,1041722E,
160908N,1041724E,
160837N,1041726E,
160806N,1041728E,
160734N,1041728E,
160703N,1041729E,
160631N,1041728E,
160600N,1041728E,
160528N,1041726E,
160457N,1041724E,
160426N,1041722E,
160354N,1041719E,
160323N,1041715E,
160252N,1041711E,
160221N,1041706E,
160150N,1041701E,
160119N,1041655E,
160048N,1041648E,
160017N,1041641E,
155947N,1041634E,
155916N,1041625E,
155846N,1041617E,
155816N,1041608E,
155746N,1041558E,
155716N,1041548E,
155646N,1041537E,
155617N,1041525E,
155547N,1041514E,
155518N,1041501E,
155449N,1041448E,
155421N,1041435E,
155352N,1041421E,
155324N,1041406E,
155256N,1041351E,
155228N,1041336E,
155201N,1041320E,
155134N,1041304E,
155107N,1041247E,
155041N,1041229E,
155014N,1041211E,
154948N,1041153E,
154923N,1041134E,
154857N,1041115E,
154832N,1041055E,
154808N,1041035E,
154743N,1041015E,
154719N,1040953E,
154656N,1040932E,
154632N,1040910E,
154610N,1040848E,
154547N,1040825E,
154525N,1040802E,
154503N,1040739E,
154442N,1040715E,
154421N,1040650E,
154400N,1040626E,
154340N,1040601E,
154321N,1040535E,
154301N,1040510E,
154243N,1040444E,
154224N,1040417E,
154206N,1040351E,
154149N,1040324E,
154132N,1040256E,
154115N,1040229E,
154059N,1040201E,
154044N,1040133E,
154028N,1040104E,
154014N,1040035E,
154000N,1040006E,
153946N,1035937E,
153933N,1035908E,
153920N,1035838E,
153908N,1035808E,
153856N,1035738E,
153845N,1035708E,
153834N,1035637E,
153824N,1035606E,
153815N,1035535E,
153806N,1035504E,
153757N,1035433E,
153749N,1035402E,
153741N,1035330E,
153734N,1035258E,
153728N,1035227E,
153722N,1035155E,
153717N,1035123E,
153712N,1035051E,
153708N,1035019E,
153704N,1034946E,
153701N,1034914E,
153658N,1034842E,
153656N,1034809E,
153654N,1034737E,
153653N,1034704E,
153653N,1034632E,
153653N,1034600E,
153653N,1034527E,
153654N,1034455E,
153656N,1034422E,
153658N,1034350E,
153701N,1034318E,
153704N,1034245E,
153708N,1034213E,
153713N,1034141E,
153718N,1034109E,
153723N,1034037E,
153729N,1034005E,
153736N,1033933E,
153743N,1033902E,
153750N,1033830E,
153759N,1033759E,
153807N,1033728E,
153816N,1033657E,
153826N,1033626E,
153836N,1033555E,
153847N,1033524E,
153858N,1033454E,
153910N,1033424E,
153923N,1033354E,
153935N,1033324E,
153949N,1033255E,
154002N,1033226E,
154017N,1033157E,
154031N,1033128E,
154047N,1033100E,
154102N,1033032E,
154118N,1033004E,
154135N,1032936E,
154152N,1032909E,
154210N,1032842E,
154228N,1032815E,
154246N,1032749E,
154305N,1032723E,
154324N,1032657E,
154344N,1032632E,
154404N,1032607E,
154425N,1032543E,
154446N,1032519E,
154507N,1032455E,
154529N,1032431E,
154551N,1032408E,
154614N,1032346E,
154637N,1032323E,
154700N,1032302E,
154724N,1032240E,
154748N,1032219E,
154812N,1032159E,
154837N,1032139E,
154902N,1032119E,
154928N,1032100E,
154953N,1032041E,
155019N,1032023E,
155046N,1032005E,
155112N,1031948E,
155139N,1031931E,
155206N,1031915E,
155234N,1031859E,
155302N,1031843E,
155330N,1031829E,
155358N,1031814E,
155426N,1031800E,
155455N,1031747E,
155524N,1031734E,
155553N,1031722E,
155622N,1031710E,
155652N,1031659E,
155722N,1031648E,
155751N,1031638E,
155821N,1031628E,
155852N,1031619E,
155922N,1031611E,
155952N,1031603E,
160023N,1031555E,
160054N,1031548E,
160125N,1031542E,
160156N,1031536E,
160227N,1031531E,
160258N,1031526E,
160329N,1031522E,
160400N,1031519E,
160432N,1031516E,
160503N,1031513E,
160534N,1031511E,
160606N,1031510E,
160637N,1031509E,
160709N,1031509E,
160740N,1031510E,
160812N,1031511E,
160843N,1031512E,
160914N,1031514E,
160946N,1031517E,
161017N,1031520E,
161048N,1031524E,
161120N,1031528E,
161151N,1031533E,
161222N,1031539E,
161253N,1031545E,
161323N,1031551E,
161354N,1031558E,
161425N,1031606E,
161455N,1031614E,
161525N,1031623E,
161555N,1031632E,
161625N,1031642E,
161655N,1031653E,
161725N,1031704E,
161754N,1031715E,
161824N,1031727E,
161853N,1031740E,
161921N,1031753E,
161950N,1031806E,
162018N,1031820E,
162046N,1031835E,
162114N,1031850E,
162142N,1031906E,
162209N,1031922E,
162236N,1031939E,
162303N,1031956E,
162330N,1032013E,
162356N,1032031E,
162422N,1032050E,
162447N,1032109E,
162513N,1032128E,
162537N,1032148E,
162602N,1032208E,
162626N,1032229E,
162650N,1032250E,
162714N,1032312E,
162737N,1032334E,
162800N,1032357E,
162822N,1032420E,
162844N,1032443E,
162906N,1032507E,
162927N,1032531E,
162948N,1032555E,
163008N,1032620E,
163028N,1032645E,
163047N,1032711E,
163107N,1032737E,
163125N,1032803E,
163143N,1032829E,
163201N,1032856E,
163219N,1032924E,
163235N,1032951E,
163252N,1033019E,
163308N,1033047E,
163323N,1033116E,
163338N,1033144E,
163353N,1033213E,
163407N,1033242E,
163420N,1033312E,
163433N,1033342E,
163445N,1033411E,
163457N,1033442E,
163509N,1033512E,
163520N,1033543E,
163530N,1033613E,
163540N,1033644E,
163550N,1033715E,
163559N,1033747E,
163607N,1033818E,
163615N,1033850E,
163622N,1033922E,
163629N,1033953E,
163635N,1034025E,
163641N,1034057E,
163646N,1034130E,
163650N,1034202E,
163654N,1034234E,
163658N,1034307E,
163701N,1034339E,
163703N,1034412E,
163705N,1034444E,
163707N,1034517E,
163707N,1034550E,
