VTBB,,
0,0,
VTUW_APP,123.35,APP
0,160,
171315N,1043827E,
171315N,1043756E,
171317N,1043724E,
171320N,1043653E,
171325N,1043622E,
171332N,1043551E,
171339N,1043521E,
171349N,1043451E,
171359N,1043421E,
171411N,1043352E,
171425N,1043324E,
171440N,1043257E,
171456N,1043230E,
171513N,1043204E,
171532N,1043139E,
171552N,1043116E,
171613N,1043053E,
171635N,1043031E,
171658N,1043011E,
171722N,1042951E,
171746N,1042933E,
171812N,1042917E,
171839N,1042901E,
171906N,1042848E,
171934N,1042835E,
172002N,1042824E,
172031N,1042815E,
172100N,1042807E,
172130N,1042800E,
172200N,1042755E,
172230N,1042752E,
172300N,1042750E,
172330N,1042750E,
172401N,1042752E,
172431N,1042755E,
172501N,1042759E,
172530N,1042806E,
172600N,1042813E,
172629N,1042822E,
172657N,1042833E,
172725N,1042845E,
172752N,1042859E,
172819N,1042914E,
172845N,1042931E,
172910N,1042948E,
172934N,1043008E,
172957N,1043028E,
173019N,1043049E,
173040N,1043112E,
173100N,1043136E,
173119N,1043201E,
173137N,1043226E,
173153N,1043253E,
173208N,1043320E,
173222N,1043348E,
173234N,1043417E,
173245N,1043447E,
173254N,1043517E,
173302N,1043547E,
173309N,1043618E,
173314N,1043649E,
173317N,1043720E,
173319N,1043748E,
172400N,1044810E,
172014N,1044815E,
171951N,1044807E,
171923N,1044755E,
171856N,1044742E,
171829N,1044728E,
171802N,1044712E,
171737N,1044655E,
171712N,1044637E,
171649N,1044617E,
171626N,1044556E,
171605N,1044534E,
171544N,1044511E,
171525N,1044446E,
171507N,1044421E,
171450N,1044355E,
171434N,1044328E,
171420N,1044300E,
171407N,1044232E,
171355N,1044203E,
171345N,1044133E,
171336N,1044103E,
171329N,1044032E,
171323N,1044001E,
171319N,1043930E,
171316N,1043859E,
171315N,1043827E,
