VTBB,,
0,0,
VYYY_CTR,126.75,ACC
130,460,
220859N,0923700E,
215833N,0923631E,
220055N,0924038E,
220902N,0924223E,
220332N,0925154E,
215658N,0925351E,
220138N,0925658E,
215855N,0925957E,
221146N,0930244E,
221106N,0931004E,
221415N,0930834E,
221535N,0931155E,
223213N,0930638E,
224645N,0930559E,
225434N,0930951E,
230316N,0930816E,
230012N,0931734E,
230809N,0932315E,
232051N,0932131E,
234049N,0932615E,
240447N,0931952E,
240440N,0932410E,
235709N,0933000E,
240000N,0934539E,
235544N,0934844E,
235659N,0935559E,
235119N,0940938E,
241908N,0941919E,
244151N,0943245E,
244230N,0943610E,
250119N,0944422E,
250745N,0944400E,
251237N,0943444E,
252314N,0943752E,
254404N,0950216E,
255528N,0950125E,
260348N,0951100E,
260643N,0950656E,
261828N,0950414E,
262817N,0950421E,
263716N,0950917E,
264049N,0951426E,
263835N,0951631E,
264152N,0952603E,
264842N,0953043E,
264832N,0953554E,
270028N,0954806E,
270156N,0955524E,
271327N,0960538E,
271725N,0961759E,
271735N,0963145E,
272200N,0963628E,
272056N,0964701E,
271508N,0965313E,
271059N,0965217E,
270538N,0970836E,
270805N,0970957E,
272730N,0965404E,
273627N,0965315E,
275427N,0971533E,
275346N,0972241E,
280102N,0972411E,
280603N,0971902E,
281317N,0972057E,
281738N,0972521E,
281625N,0972822E,
283235N,0973404E,
282814N,0973806E,
283044N,0974240E,
282005N,0974801E,
282219N,0975418E,
281552N,0980116E,
281212N,0980053E,
280924N,0980747E,
275807N,0980818E,
275436N,0981225E,
275142N,0980950E,
274940N,0981344E,
274355N,0981316E,
273139N,0981959E,
273439N,0982506E,
274120N,0982541E,
273442N,0984158E,
271901N,0984355E,
271249N,0984112E,
270308N,0984552E,
263711N,0984651E,
262304N,0984413E,
261856N,0984035E,
260803N,0984304E,
260528N,0984000E,
260845N,0983856E,
260708N,0983422E,
255158N,0984228E,
254815N,0983815E,
255054N,0983307E,
254829N,0982858E,
253343N,0982138E,
253723N,0981011E,
252323N,0980820E,
251325N,0975656E,
251604N,0975042E,
245850N,0974302E,
245048N,0974716E,
244428N,0973316E,
242609N,0973211E,
242643N,0974049E,
242117N,0974302E,
241825N,0974009E,
241643N,0974541E,
241011N,0974528E,
235616N,0973206E,
235040N,0973858E,
240036N,0975306E,
240606N,0980816E,
240746N,0983209E,
240541N,0983629E,
240918N,0985251E,
240302N,0985022E,
235735N,0984042E,
234844N,0984055E,
234540N,0984928E,
233704N,0985329E,
233232N,0984827E,
232523N,0985523E,
231952N,0985306E,
231738N,0985620E,
231130N,0985304E,
231021N,0990327E,
230537N,0990635E,
230807N,0992050E,
230501N,0993040E,
225619N,0993348E,
225429N,0993032E,
225648N,0992644E,
225104N,0992652E,
224503N,0991931E,
222957N,0992322E,
222315N,0991507E,
222054N,0991635E,
220918N,0991008E,
220559N,0992016E,
220814N,0992835E,
220617N,0993909E,
220235N,0994210E,
220440N,0994528E,
220126N,0995057E,
220358N,0995255E,
220307N,0995814E,
214421N,0995840E,
213935N,1001021E,
213447N,1000650E,
212621N,1001209E,
213225N,1002252E,
212728N,1002931E,
212858N,1004043E,
213857N,1005005E,
214634N,1010703E,
213941N,1010702E,
213610N,1011036E,
213140N,1011005E,
212331N,1010019E,
211741N,1004946E,
211843N,1004337E,
210738N,1004030E,
210133N,1003301E,
205352N,1003056E,
205231N,1003850E,
204839N,1003137E,
204925N,1002207E,
204448N,1001534E,
202120N,1000535E,
202747N,0995807E,
202631N,0995302E,
202008N,0994827E,
201855N,0994119E,
202321N,0992752E,
201209N,0993334E,
200841N,0993214E,
200350N,0991949E,
200737N,0991256E,
200533N,0990431E,
195037N,0990205E,
194438N,0985528E,
194841N,0985013E,
194023N,0983359E,
194257N,0983054E,
194042N,0981518E,
194612N,0981016E,
194830N,0980242E,
193925N,0980234E,
193425N,0975148E,
192956N,0975316E,
192357N,0974707E,
191744N,0975031E,
191617N,0974709E,
191241N,0975018E,
190556N,0974955E,
185643N,0974016E,
185142N,0974441E,
183445N,0974603E,
183336N,0973700E,
182930N,0973159E,
183402N,0972044E,
181609N,0973007E,
182013N,0973339E,
181715N,0973836E,
181359N,0973656E,
175816N,0974435E,
175201N,0974042E,
174259N,0974619E,
172210N,0980725E,
171715N,0980829E,
171327N,0981453E,
170334N,0981930E,
170256N,0982446E,
165640N,0983034E,
165120N,0983239E,
165006N,0982948E,
164835N,0983258E,
164331N,0982804E,
162759N,0983931E,
161604N,0984052E,
162556N,0984958E,
162351N,0985459E,
160829N,0985049E,
160828N,0984126E,
160323N,0983730E,
160309N,0983340E,
155757N,0983705E,
154141N,0983335E,
152143N,0983501E,
151944N,0983343E,
152309N,0982944E,
152136N,0982545E,
151504N,0982442E,
151836N,0981815E,
151413N,0981608E,
151402N,0981235E,
150559N,0981131E,
144853N,0981522E,
143155N,0982959E,
141852N,0983637E,
140550N,0985748E,
135647N,0990143E,
135326N,0990657E,
134225N,0991043E,
131524N,0991301E,
131149N,0991235E,
131128N,0990806E,
130403N,0990636E,
125905N,0991152E,
124332N,0991454E,
123453N,0992638E,
122718N,0992455E,
121607N,0992928E,
120756N,0992847E,
120819N,0993450E,
120037N,0993310E,
115933N,0993545E,
115212N,0993549E,
114855N,0994007E,
113731N,0993414E,
113702N,0992843E,
113133N,0992825E,
110617N,0991407E,
105723N,0990515E,
105744N,0990123E,
104953N,0990006E,
104908N,0985518E,
104039N,0984646E,
102653N,0984805E,
101039N,0984054E,
095821N,0983317E,
100000N,0983154E,
100000N,0942459E,
133000N,0942459E,
140000N,0920000E,
210000N,0920000E,
