VTBB,,
0,0,
WMFC_CTR,129.75,ACC
130,460,
100000N,0942459E,
100000N,0963000E,
071500N,0980000E,
063000N,0993000E,
062519N,0993433E,
063324N,0995251E,
062354N,1000224E,
062521N,1000716E,
062943N,1000932E,
063327N,1000925E,
063358N,1001101E,
063622N,1000958E,
064119N,1001016E,
064250N,1001211E,
064119N,1001340E,
064209N,1001719E,
063912N,1001911E,
063709N,1001930E,
063606N,1001825E,
063214N,1002151E,
063048N,1002538E,
063059N,1002927E,
062925N,1003104E,
062912N,1003412E,
062631N,1003906E,
062754N,1004204E,
063020N,1004401E,
062738N,1004504E,
062610N,1004901E,
061352N,1005102E,
061521N,1005221E,
061359N,1005418E,
061431N,1005644E,
061646N,1005828E,
061431N,1010122E,
061514N,1010629E,
061115N,1010726E,
061036N,1010503E,
060838N,1010341E,
060629N,1010733E,
060303N,1010618E,
055839N,1010715E,
055720N,1010542E,
055447N,1010506E,
055505N,1010154E,
054757N,1005903E,
054426N,1010154E,
054322N,1010444E,
053636N,1010818E,
054225N,1011529E,
054555N,1011508E,
054836N,1011612E,
054839N,1012054E,
055235N,1012348E,
055213N,1012858E,
055601N,1013502E,
055234N,1013735E,
055213N,1013934E,
054902N,1013939E,
054519N,1014140E,
054759N,1014511E,
054354N,1014933E,
054658N,1014933E,
055217N,1015617E,
055448N,1015502E,
055859N,1015624E,
060810N,1020504E,
061239N,1020440E,
061421N,1020550E,
061500N,1021500E,
064500N,1023959E,
045000N,1034359E,
034000N,1033959E,
023559N,1044500E,
012000N,1042000E,
012000N,1041223E,
012009N,1041228E,
012024N,1040838E,
012158N,1040550E,
012358N,1040707E,
012646N,1040355E,
012742N,1040416E,
012738N,1040243E,
012918N,1040356E,
012956N,1040244E,
013340N,1040202E,
013717N,1035815E,
013539N,1035812E,
013533N,1035645E,
013523N,1035836E,
013413N,1035807E,
013434N,1035938E,
013248N,1040049E,
013217N,1035936E,
013004N,1040055E,
012612N,1040010E,
012600N,1035436E,
012855N,1035005E,
012906N,1034800E,
012704N,1034543E,
012809N,1034236E,
012746N,1034114E,
012651N,1034142E,
012037N,1033635E,
011659N,1033559E,
011300N,1033000E,
013859N,1021004E,
060000N,0973000E,
060000N,0942459E,
100000N,0942459E,
