VTBB,,
0,0,
WSJC_CTR,133.25,ACC
130,460,
103000N,1140000E,
082500N,1163000E,
025050N,1091628E,
045659N,1081618E,
050011N,1080132E,
045904N,1075525E,
045202N,1074625E,
043819N,1073315E,
041311N,1071743E,
033045N,1055129E,
031726N,1052959E,
031452N,1052619E,
025009N,1051209E,
024347N,1050853E,
023641N,1051310E,
021837N,1052205E,
011946N,1044606E,
012920N,1043441E,
011800N,1043000E,
011500N,1040000E,
010759N,1034500E,
011045N,1034014E,
011159N,1033900E,
011407N,1033142E,
011659N,1033559E,
012037N,1033635E,
012208N,1033814E,
012228N,1033824E,
012258N,1033804E,
012300N,1033814E,
012247N,1033835E,
012312N,1033901E,
012418N,1033919E,
012511N,1034009E,
012601N,1034026E,
012630N,1034105E,
012636N,1034131E,
012651N,1034142E,
012707N,1034143E,
012732N,1034115E,
012746N,1034114E,
012724N,1034144E,
012720N,1034204E,
012730N,1034228E,
012750N,1034244E,
012809N,1034236E,
012802N,1034259E,
012813N,1034316E,
012802N,1034343E,
012728N,1034415E,
012704N,1034543E,
012727N,1034623E,
012906N,1034800E,
012859N,1034825E,
012855N,1035005E,
012814N,1035131E,
012817N,1035155E,
012804N,1035216E,
012630N,1035315E,
012617N,1035335E,
012600N,1035436E,
012607N,1035549E,
012528N,1035811E,
012546N,1035828E,
012607N,1035824E,
012622N,1035835E,
012547N,1035851E,
012557N,1035942E,
012612N,1040010E,
012658N,1040047E,
012812N,1040057E,
012901N,1040037E,
013004N,1040055E,
013025N,1040047E,
013050N,1040014E,
013153N,1040010E,
013202N,1040004E,
013206N,1035943E,
013217N,1035936E,
013219N,1040011E,
013203N,1040025E,
013248N,1040049E,
013313N,1040040E,
013350N,1035958E,
013416N,1040001E,
013434N,1035938E,
013439N,1035910E,
013411N,1035848E,
013413N,1035807E,
013434N,1035841E,
013500N,1035855E,
013523N,1035836E,
013532N,1035740E,
013525N,1035650E,
013533N,1035645E,
013545N,1035718E,
013539N,1035812E,
013552N,1035817E,
013636N,1035805E,
013640N,1035745E,
013651N,1035742E,
013654N,1035802E,
013717N,1035815E,
013714N,1035857E,
013625N,1035928E,
013546N,1040013E,
013534N,1040102E,
013507N,1040103E,
013340N,1040202E,
013253N,1040222E,
013204N,1040211E,
013045N,1040223E,
012956N,1040244E,
013005N,1040339E,
012918N,1040356E,
012818N,1040310E,
012802N,1040247E,
012738N,1040243E,
012709N,1040322E,
012721N,1040402E,
012742N,1040416E,
012646N,1040355E,
012558N,1040529E,
012358N,1040707E,
012334N,1040707E,
012320N,1040658E,
012230N,1040550E,
012214N,1040543E,
012158N,1040550E,
012123N,1040746E,
012024N,1040838E,
012038N,1040929E,
012024N,1041024E,
012044N,1041112E,
012045N,1041142E,
012034N,1041204E,
012017N,1041210E,
012009N,1041228E,
012000N,1041223E,
012000N,1042000E,
023559N,1044500E,
034000N,1033959E,
045000N,1034359E,
064500N,1023959E,
070000N,1030000E,
070000N,1080000E,
103000N,1140000E,
